comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price
2966,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000084,1000,20600.00
2967,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000153,1000,27200.00
2988,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000084,2000,30900.00
2989,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000153,2000,41500.00
3010,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000084,3000,41500.00
3011,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000153,3000,55600.00
3032,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000084,4000,51500.00
3033,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000153,4000,69900.00
3054,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000084,5000,62000.00
3055,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000422,MAT_000153,5000,84100.00
3066,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000212,MAT_000084,1000,20000.00
3067,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000212,MAT_000153,1000,26100.00
3068,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000213,MAT_000084,1000,20600.00
3069,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000213,MAT_000153,1000,27200.00
3070,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000214,MAT_000084,1000,21500.00
3071,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000214,MAT_000153,1000,28500.00
3072,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000215,MAT_000084,1000,20000.00
3073,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000215,MAT_000153,1000,26100.00
3074,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000216,MAT_000084,1000,20000.00
3075,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000216,MAT_000153,1000,26100.00
3076,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000217,MAT_000084,1000,20600.00
3077,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000217,MAT_000153,1000,27200.00
3078,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000218,MAT_000084,1000,24000.00
3079,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000218,MAT_000153,1000,33300.00
3080,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000219,MAT_000084,1000,18500.00
3081,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000219,MAT_000153,1000,23500.00
3082,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000220,MAT_000084,1000,20300.00
3083,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000220,MAT_000153,1000,26700.00
3084,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000221,MAT_000084,1000,22000.00
3085,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000221,MAT_000153,1000,29500.00
3086,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000222,MAT_000084,1000,24000.00
3087,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000222,MAT_000153,1000,33300.00
3088,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000223,MAT_000084,1000,35000.00
3089,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000223,MAT_000153,1000,52200.00
3090,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000212,MAT_000084,2000,30000.00
3091,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000212,MAT_000153,2000,39200.00
3092,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000213,MAT_000084,2000,30900.00
3093,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000213,MAT_000153,2000,41500.00
3094,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000214,MAT_000084,2000,32500.00
3095,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000214,MAT_000153,2000,46300.00
3096,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000215,MAT_000084,2000,30000.00
3097,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000215,MAT_000153,2000,39200.00
3098,COMP_GANGPAN_PRINT,2026-06-01,SIZ_000216,MAT_000084,2000,30000.00
