siz_cd,n_prd
SIZ_000001,3
SIZ_000002,7
SIZ_000003,11
SIZ_000004,10
SIZ_000005,2
SIZ_000006,3
SIZ_000007,8
SIZ_000008,10
SIZ_000009,1
SIZ_000011,10
SIZ_000012,5
SIZ_000013,2
SIZ_000014,2
SIZ_000015,1
SIZ_000016,1
SIZ_000018,1
SIZ_000028,1
SIZ_000031,1
SIZ_000032,1
SIZ_000033,1
SIZ_000034,1
SIZ_000035,1
SIZ_000036,2
SIZ_000037,1
SIZ_000038,1
SIZ_000039,1
SIZ_000041,1
SIZ_000043,4
SIZ_000044,1
SIZ_000045,1
SIZ_000046,1
SIZ_000047,1
SIZ_000048,1
SIZ_000050,1
SIZ_000058,2
SIZ_000059,2
SIZ_000060,3
SIZ_000061,1
SIZ_000062,1
SIZ_000063,1
SIZ_000064,1
SIZ_000065,1
SIZ_000068,1
SIZ_000069,2
SIZ_000070,2
SIZ_000071,1
SIZ_000072,1
SIZ_000073,1
SIZ_000074,1
SIZ_000075,1
SIZ_000076,1
SIZ_000077,1
SIZ_000078,1
SIZ_000079,2
SIZ_000080,2
SIZ_000081,2
SIZ_000082,1
SIZ_000083,1
SIZ_000084,1
SIZ_000085,2
SIZ_000086,1
SIZ_000087,1
SIZ_000088,1
SIZ_000089,1
SIZ_000090,1
SIZ_000091,1
SIZ_000092,1
SIZ_000093,1
SIZ_000094,1
SIZ_000095,1
SIZ_000096,2
SIZ_000097,1
SIZ_000098,1
SIZ_000099,1
SIZ_000100,1
SIZ_000101,1
SIZ_000102,1
SIZ_000103,1
SIZ_000104,1
SIZ_000105,1
SIZ_000106,1
SIZ_000107,1
SIZ_000108,1
SIZ_000109,1
SIZ_000110,1
SIZ_000111,1
SIZ_000119,2
SIZ_000124,3
SIZ_000129,1
SIZ_000132,1
SIZ_000133,4
SIZ_000135,1
SIZ_000148,5
SIZ_000170,19
SIZ_000172,19
SIZ_000174,22
SIZ_000176,1
SIZ_000195,1
SIZ_000196,4
SIZ_000197,19
SIZ_000199,1
SIZ_000211,1
SIZ_000212,1
SIZ_000213,1
SIZ_000214,1
SIZ_000215,1
SIZ_000216,1
SIZ_000217,1
SIZ_000218,1
SIZ_000219,1
SIZ_000220,1
SIZ_000221,1
SIZ_000222,1
SIZ_000223,1
SIZ_000224,1
SIZ_000226,1
SIZ_000228,1
SIZ_000230,1
SIZ_000232,1
SIZ_000234,1
SIZ_000236,1
SIZ_000238,1
SIZ_000240,1
SIZ_000242,1
SIZ_000244,1
SIZ_000245,1
SIZ_000246,1
SIZ_000247,1
SIZ_000249,1
SIZ_000253,2
SIZ_000255,2
SIZ_000258,2
SIZ_000266,1
SIZ_000269,1
SIZ_000274,1
SIZ_000293,11
SIZ_000295,1
SIZ_000296,1
SIZ_000297,1
SIZ_000298,1
SIZ_000300,1
SIZ_000301,1
SIZ_000304,1
SIZ_000306,1
SIZ_000308,1
SIZ_000310,1
SIZ_000315,1
SIZ_000317,1
SIZ_000319,1
SIZ_000320,2
SIZ_000321,2
SIZ_000322,2
SIZ_000323,1
SIZ_000324,2
SIZ_000325,2
SIZ_000326,2
SIZ_000327,2
SIZ_000328,1
SIZ_000329,1
SIZ_000330,8
SIZ_000331,2
SIZ_000332,1
SIZ_000333,7
SIZ_000334,2
SIZ_000335,1
SIZ_000336,4
SIZ_000344,2
SIZ_000346,2
SIZ_000348,2
SIZ_000350,2
SIZ_000352,1
SIZ_000353,1
SIZ_000354,1
SIZ_000355,1
SIZ_000356,1
SIZ_000357,1
SIZ_000358,1
SIZ_000359,2
SIZ_000360,1
SIZ_000361,2
SIZ_000364,1
SIZ_000365,1
SIZ_000366,1
SIZ_000367,1
SIZ_000368,1
SIZ_000369,1
SIZ_000370,1
SIZ_000371,1
SIZ_000372,1
SIZ_000373,1
SIZ_000374,1
SIZ_000375,4
SIZ_000377,1
SIZ_000379,2
SIZ_000380,1
SIZ_000384,2
SIZ_000386,2
SIZ_000388,2
SIZ_000396,1
SIZ_000399,1
SIZ_000402,1
SIZ_000406,1
SIZ_000413,1
SIZ_000415,1
SIZ_000419,1
SIZ_000420,1
SIZ_000421,1
SIZ_000422,2
SIZ_000423,1
SIZ_000424,1
SIZ_000425,1
SIZ_000426,1
SIZ_000448,1
SIZ_000449,1
SIZ_000492,1
SIZ_000494,1
SIZ_000496,1
SIZ_000500,2
SIZ_000501,1
SIZ_000502,1
SIZ_000503,1
SIZ_000504,1
SIZ_000505,1
SIZ_000506,1
SIZ_000507,1
SIZ_000508,1
SIZ_000509,1
SIZ_000510,1
SIZ_000520,4
