source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,디지털인쇄,,98 x 98 mm,"{""work"": ""100 x 100"", ""cut"": ""98 x 98""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,100 x 150 mm,"{""work"": ""102 x 152"", ""cut"": ""100 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""137 x 137"", ""cut"": ""135 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 210 mm,"{""work"": ""150 x 212"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,투명엽서,98 x 98 mm,"{""work"": ""100 x 100"", ""cut"": ""98 x 98""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,100 x 150 mm,"{""work"": ""102 x 152"", ""cut"": ""100 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""137 x 137"", ""cut"": ""135 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 210 mm,"{""work"": ""150 x 212"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,화이트인쇄엽서,98 x 98 mm,"{""work"": ""100 x 100"", ""cut"": ""98 x 98""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,100 x 150 mm,"{""work"": ""102 x 152"", ""cut"": ""100 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""137 x 137"", ""cut"": ""135 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 210 mm,"{""work"": ""150 x 212"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,핑크별색엽서,98 x 98 mm,"{""work"": ""100 x 100"", ""cut"": ""98 x 98""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,100 x 150 mm,"{""work"": ""102 x 152"", ""cut"": ""100 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""137 x 137"", ""cut"": ""135 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 210 mm,"{""work"": ""150 x 212"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,금은별색엽서,98 x 98 mm,"{""work"": ""100 x 100"", ""cut"": ""98 x 98""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,100 x 150 mm,"{""work"": ""102 x 152"", ""cut"": ""100 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""137 x 137"", ""cut"": ""135 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,148 x 210 mm,"{""work"": ""150 x 212"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,모양엽서,90 x 90 mm,"{""work"": ""100 x 100"", ""cut"": ""90 x 90""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,포토카드,55 x 86 mm,"{""work"": ""57 x 88"", ""cut"": ""55 x 86""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,투명포토카드,55 x 86 mm,"{""work"": ""57 x 88"", ""cut"": ""55 x 86""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,종이슬로건,300 x 100 mm,"{""work"": ""302 x 102"", ""cut"": ""300 x 100""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,400 x 145 mm,"{""work"": ""402 x 147"", ""cut"": ""400 x 145""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,2단접지카드,100 x 150 mm,"{""work"": ""202 x 152"", ""cut"": ""200 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,150 x 100 mm,"{""work"": ""152 x 202"", ""cut"": ""150 x 200""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""274 x 139"", ""cut"": ""270 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,110 x 170 mm,"{""work"": ""224 x 174"", ""cut"": ""220 x 170""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,170 x 110 mm,"{""work"": ""174 x 224"", ""cut"": ""170 x 220""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,미니접지카드,90 x 50 mm,"{""work"": ""92 x 104"", ""cut"": ""90 x 100""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,50 x 90 mm,{},mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,86 x 52 mm,"{""work"": ""88 x 106"", ""cut"": ""86 x 104""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,52 x  86 mm,{},mm,작업/재단(완제 디스플레이)
master,디지털인쇄,3단접지카드,100 x 150 mm,"{""work"": ""300 x 152"", ""cut"": ""298 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,150 x 100 mm,"{""work"": ""152 x 300"", ""cut"": ""150 x 298""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""407 x 139"", ""cut"": ""403 x 135""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,135 x 135 mm,"{""work"": ""139 x 407"", ""cut"": ""135 x 403""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,지그재그엽서,600 x 150 mm,"{""work"": ""604 x 154"", ""cut"": ""600 x 150""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,150 x 600 mm,"{""work"": ""154 x 604"", ""cut"": ""150 x 600""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,프리미엄명함,90 x 50 mm,"{""work"": ""92 x 52"", ""cut"": ""90 x 50""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,90 x 55 mm,"{""work"": ""92 x 57"", ""cut"": ""90 x 55""}",mm,작업/재단(완제 디스플레이)
master,디지털인쇄,,86 x 52 mm,"{""work"": ""88 x 54"", ""cut"": ""86 x 52""}",mm,작업/재단(완제 디스플레이)
