code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
SIZ_000001,73x98,"{""work_w"": ""75.00"", ""work_h"": ""100.00"", ""cut_w"": ""73.00"", ""cut_h"": ""98.00""}",mm,작업+재단 보유,prd_sizes=3;plate=0,N,live,
SIZ_000002,98x98,"{""work_w"": ""100.00"", ""work_h"": ""100.00"", ""cut_w"": ""98.00"", ""cut_h"": ""98.00""}",mm,작업+재단 보유,prd_sizes=7;plate=0,N,live,
SIZ_000003,100x150,"{""work_w"": ""102.00"", ""work_h"": ""152.00"", ""cut_w"": ""100.00"", ""cut_h"": ""150.00""}",mm,작업+재단 보유,prd_sizes=11;plate=0,Y,live,cp_rows=156
SIZ_000004,135x135,"{""work_w"": ""137.00"", ""work_h"": ""137.00"", ""cut_w"": ""135.00"", ""cut_h"": ""135.00""}",mm,작업+재단 보유,prd_sizes=10;plate=1,Y,live,cp_rows=156
SIZ_000005,95x210,"{""work_w"": ""97.00"", ""work_h"": ""212.00"", ""cut_w"": ""95.00"", ""cut_h"": ""210.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000006,110x170,"{""work_w"": ""112.00"", ""work_h"": ""172.00"", ""cut_w"": ""110.00"", ""cut_h"": ""170.00""}",mm,작업+재단 보유,prd_sizes=3;plate=0,N,live,
SIZ_000007,A5 (148X210),"{""work_w"": ""150.00"", ""work_h"": ""212.00"", ""cut_w"": ""148.00"", ""cut_h"": ""210.00""}",mm,작업+재단 보유,prd_sizes=8;plate=9,N,live,
SIZ_000008,90x50,"{""work_w"": ""92.00"", ""work_h"": ""52.00"", ""cut_w"": ""90.00"", ""cut_h"": ""50.00""}",mm,작업+재단 보유,prd_sizes=10;plate=1,Y,live,cp_rows=2
SIZ_000009,90x55,"{""work_w"": ""92.00"", ""work_h"": ""57.00"", ""cut_w"": ""90.00"", ""cut_h"": ""55.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000010,86x55,"{""work_w"": ""88.00"", ""work_h"": ""57.00"", ""cut_w"": ""86.00"", ""cut_h"": ""55.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000011,50x50,"{""work_w"": ""60.00"", ""work_h"": ""60.00"", ""cut_w"": ""50.00"", ""cut_h"": ""50.00""}",mm,작업+재단 보유,prd_sizes=10;plate=1,Y,live,cp_rows=2
SIZ_000012,55x86,"{""work_w"": ""57.00"", ""work_h"": ""88.00"", ""cut_w"": ""55.00"", ""cut_h"": ""86.00""}",mm,작업+재단 보유,prd_sizes=5;plate=2,Y,live,cp_rows=2
SIZ_000013,148x68,"{""work_w"": ""152.00"", ""work_h"": ""72.00"", ""cut_w"": ""148.00"", ""cut_h"": ""68.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000014,148x75,"{""work_w"": ""158.00"", ""work_h"": ""77.00"", ""cut_w"": ""148.00"", ""cut_h"": ""75.00""}",mm,작업+재단 보유,prd_sizes=2;plate=0,N,live,
SIZ_000015,300x100,"{""work_w"": ""302.00"", ""work_h"": ""102.00"", ""cut_w"": ""300.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000016,400x145,"{""work_w"": ""402.00"", ""work_h"": ""147.00"", ""cut_w"": ""400.00"", ""cut_h"": ""145.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000017,100x90,"{""work_w"": ""102.00"", ""work_h"": ""92.00"", ""cut_w"": ""100.00"", ""cut_h"": ""90.00""}",mm,작업+재단 보유,prd_sizes=0;plate=4,N,live,
SIZ_000018,90x100,"{""work_w"": ""92.00"", ""work_h"": ""102.00"", ""cut_w"": ""90.00"", ""cut_h"": ""100.00""}",mm,작업+재단 보유,prd_sizes=1;plate=0,N,live,
SIZ_000019,104x86,"{""work_w"": ""106.00"", ""work_h"": ""88.00"", ""cut_w"": ""104.00"", ""cut_h"": ""86.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000020,86x104,"{""work_w"": ""88.00"", ""work_h"": ""106.00"", ""cut_w"": ""86.00"", ""cut_h"": ""104.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000021,200x150,"{""work_w"": ""202.00"", ""work_h"": ""152.00"", ""cut_w"": ""200.00"", ""cut_h"": ""150.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000022,150x200,"{""work_w"": ""152.00"", ""work_h"": ""202.00"", ""cut_w"": ""150.00"", ""cut_h"": ""200.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000023,274x139,"{""work_w"": ""274.00"", ""work_h"": ""139.00"", ""cut_w"": ""274.00"", ""cut_h"": ""139.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000024,139x274,"{""work_w"": ""139.00"", ""work_h"": ""274.00"", ""cut_w"": ""139.00"", ""cut_h"": ""274.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,del_yn=Y(논리삭제)
SIZ_000025,220x170,"{""work_w"": ""224.00"", ""work_h"": ""174.00"", ""cut_w"": ""220.00"", ""cut_h"": ""170.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000026,170x220,"{""work_w"": ""174.00"", ""work_h"": ""224.00"", ""cut_w"": ""170.00"", ""cut_h"": ""220.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000027,300x150,"{""work_w"": ""302.00"", ""work_h"": ""152.00"", ""cut_w"": ""300.00"", ""cut_h"": ""150.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000028,150x300,"{""work_w"": ""152.00"", ""work_h"": ""302.00"", ""cut_w"": ""150.00"", ""cut_h"": ""300.00""}",mm,작업+재단 보유,prd_sizes=1;plate=1,Y,live,cp_rows=5
SIZ_000029,403x135,"{""work_w"": ""407.00"", ""work_h"": ""139.00"", ""cut_w"": ""403.00"", ""cut_h"": ""135.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
SIZ_000030,135x403,"{""work_w"": ""139.00"", ""work_h"": ""407.00"", ""cut_w"": ""135.00"", ""cut_h"": ""403.00""}",mm,작업+재단 보유,prd_sizes=0;plate=0,N,live,
