siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,margin_top,margin_bot,margin_lft,margin_rgt,impos_yn,use_yn,note,reg_dt,upd_dt,del_yn
SIZ_000001,73x98,75.00,100.00,73.00,98.00,1.00,1.00,1.00,1.00,N,Y,판걸이=18.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000002,98x98,100.00,100.00,98.00,98.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000003,100x150,102.00,152.00,100.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=8.0 / 전지=316x467 / 적용=엽서 / 엽서북내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000004,135x135,137.00,137.00,135.00,135.00,1.00,1.00,1.00,1.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=엽서 / 엽서북내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000005,95x210,97.00,212.00,95.00,210.00,1.00,1.00,1.00,1.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000006,110x170,112.00,172.00,110.00,170.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000007,A5 (148X210),150.00,212.00,148.00,210.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-16 19:47:21.844387,N
SIZ_000008,90x50,92.00,52.00,90.00,50.00,1.00,1.00,1.00,1.00,N,Y,판걸이=24.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000009,90x55,92.00,57.00,90.00,55.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000010,86x55,88.00,57.00,86.00,55.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000011,50x50,60.00,60.00,50.00,50.00,5.00,5.00,5.00,5.00,N,Y,"판걸이=35.0 / 전지=316x467 / 적용=미니모양명함, 라벨택",2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000012,55x86,57.00,88.00,55.00,86.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=포토카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000013,148x68,152.00,72.00,148.00,68.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=상품권,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000014,148x75,158.00,77.00,148.00,75.00,2.00,2.00,2.00,2.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=상품권,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000015,300x100,302.00,102.00,300.00,100.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=종이슬로건,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000016,400x145,402.00,147.00,400.00,145.00,1.00,1.00,1.00,1.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=종이슬로건,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000017,100x90,102.00,92.00,100.00,90.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000018,90x100,92.00,102.00,90.00,100.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000019,104x86,106.00,88.00,104.00,86.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000020,86x104,88.00,106.00,86.00,104.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000021,200x150,202.00,152.00,200.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000022,150x200,152.00,202.00,150.00,200.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000023,274x139,274.00,139.00,274.00,139.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=3.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000024,139x274,139.00,274.00,139.00,274.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=3.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000025,220x170,224.00,174.00,220.00,170.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000026,170x220,174.00,224.00,170.00,220.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000027,300x150,302.00,152.00,300.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=3.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000028,150x300,152.00,302.00,150.00,300.00,1.00,1.00,1.00,1.00,N,Y,판걸이=3.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000029,403x135,407.00,139.00,403.00,135.00,2.00,2.00,2.00,2.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000030,135x403,139.00,407.00,135.00,403.00,2.00,2.00,2.00,2.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000031,600x150,604.00,154.00,600.00,150.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=미지정 / 적용=지그재그카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000032,150x600,154.00,604.00,150.00,600.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=미지정 / 적용=지그재그카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000033,76x100,80.00,104.00,76.00,100.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000034,76x120,80.00,124.00,76.00,120.00,2.00,2.00,2.00,2.00,N,Y,판걸이=9.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000035,86x120,90.00,124.00,86.00,120.00,2.00,2.00,2.00,2.00,N,Y,판걸이=9.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000036,94x94,98.00,98.00,94.00,94.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000037,62x180,66.00,184.00,62.00,180.00,2.00,2.00,2.00,2.00,N,Y,판걸이=8.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
