comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,proc_cd,opt_cd,dim_vals,print_opt_cd,plt_siz_cd,siz_width,siz_height
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,500,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 500장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,600,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 600장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,700,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 700장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,800,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 800장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,900,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 900장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1000,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1200,95.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1200장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1400,88.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1400장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1600,88.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1600장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1800,81.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1800장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2000,81.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 2000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2500,75.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 2500장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3000,75.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 3000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3500,68.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 3500장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4000,68.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 4000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4500,61.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 4500장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,5000,61.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 5000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,6000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 6000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,7000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 7000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,8000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 8000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,9000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 9000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,10000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 10000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1000000,54.00,디지털인쇄 출력비(3절)/흑백(1도)/단면 출력매수 1000000장 이상,PROC_000004,,,POPT_000001,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,1,3000.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 1장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,2,2000.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 2장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,3,1600.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 3장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4,1400.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 4장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,5,1200.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 5장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,6,900.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 6장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,7,800.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 7장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,8,700.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 8장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,9,600.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 9장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,10,500.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 10장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,15,450.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 15장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,20,400.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 20장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,25,350.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 25장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,30,300.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 30장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,35,280.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 35장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,40,250.00,디지털인쇄 출력비(국4절)/흑백(1도)/단면 출력매수 40장 이상,PROC_000004,,,POPT_000001,SIZ_000499,,
