comp_cd,comp_price_id,apply_ymd,proc_cd,dv,min_qty,unit_price,note
COMP_PP_CORNER_RIGHT,8229,2026-06-01,PROC_000027,"",1,0.00,모서리/직각모서리 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8247,2026-06-01,PROC_000028,"",1,2000.00,모서리/둥근모서리 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8230,2026-06-01,PROC_000027,"",100,0.00,모서리/직각모서리 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8248,2026-06-01,PROC_000028,"",100,2000.00,모서리/둥근모서리 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8231,2026-06-01,PROC_000027,"",300,0.00,모서리/직각모서리 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8249,2026-06-01,PROC_000028,"",300,4000.00,모서리/둥근모서리 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8232,2026-06-01,PROC_000027,"",500,0.00,모서리/직각모서리 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8250,2026-06-01,PROC_000028,"",500,6000.00,모서리/둥근모서리 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8233,2026-06-01,PROC_000027,"",1000,0.00,모서리/직각모서리 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8251,2026-06-01,PROC_000028,"",1000,11000.00,모서리/둥근모서리 주문수량 1000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8252,2026-06-01,PROC_000028,"",2000,21000.00,모서리/둥근모서리 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8234,2026-06-01,PROC_000027,"",2000,0.00,모서리/직각모서리 주문수량 2000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8253,2026-06-01,PROC_000028,"",3000,31000.00,모서리/둥근모서리 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8235,2026-06-01,PROC_000027,"",3000,0.00,모서리/직각모서리 주문수량 3000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8236,2026-06-01,PROC_000027,"",4000,0.00,모서리/직각모서리 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8254,2026-06-01,PROC_000028,"",4000,41000.00,모서리/둥근모서리 주문수량 4000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8237,2026-06-01,PROC_000027,"",5000,0.00,모서리/직각모서리 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_CORNER_RIGHT,8255,2026-06-01,PROC_000028,"",5000,51000.00,모서리/둥근모서리 주문수량 5000건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8189,2026-06-01,PROC_000090,"{""줄수"": 1}",1,5000.00,오시/1줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8209,2026-06-01,PROC_000090,"{""줄수"": 2}",1,6000.00,오시/2줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8219,2026-06-01,PROC_000090,"{""줄수"": 3}",1,7000.00,오시/3줄 주문수량 1건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8190,2026-06-01,PROC_000090,"{""줄수"": 1}",50,5000.00,오시/1줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8210,2026-06-01,PROC_000090,"{""줄수"": 2}",50,6000.00,오시/2줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8220,2026-06-01,PROC_000090,"{""줄수"": 3}",50,7000.00,오시/3줄 주문수량 50건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8191,2026-06-01,PROC_000090,"{""줄수"": 1}",100,10000.00,오시/1줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8211,2026-06-01,PROC_000090,"{""줄수"": 2}",100,12000.00,오시/2줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8221,2026-06-01,PROC_000090,"{""줄수"": 3}",100,14000.00,오시/3줄 주문수량 100건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8192,2026-06-01,PROC_000090,"{""줄수"": 1}",300,15000.00,오시/1줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8212,2026-06-01,PROC_000090,"{""줄수"": 2}",300,17000.00,오시/2줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8222,2026-06-01,PROC_000090,"{""줄수"": 3}",300,19000.00,오시/3줄 주문수량 300건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8193,2026-06-01,PROC_000090,"{""줄수"": 1}",500,17000.00,오시/1줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8213,2026-06-01,PROC_000090,"{""줄수"": 2}",500,19000.00,오시/2줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8223,2026-06-01,PROC_000090,"{""줄수"": 3}",500,21000.00,오시/3줄 주문수량 500건 이상 / 작업 1건 고정 금액
COMP_PP_CREASE_1L,8194,2026-06-01,PROC_000090,"{""줄수"": 1}",1000,25000.00,오시/1줄 주문수량 1000건 이상 / 작업 1건 고정 금액
