sheet,row_seq,prd_nm,_anchor_ffilled,_row_hidden,_work_size_col,_work_size_value,구분,ID,MES ITEM_CD,상품명,상품(옵션),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,선택(옵션)_선택,선택(옵션)_가격,가격,가공(옵션)_가공,가공(옵션)_가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,구간할인적용테이블,Z,AA,AB,AC,AD,AE,cell_meta_json
굿즈파우치(가격포함),3,틴거울,false,false,파일사양_작업사이즈,100 x 90,소품,14637.0,,틴거울,무광 75mm,,100 x 90,,,틴거울,JPG,디지털인쇄,Y,Y,,,3000.0,,,1.0,10000.0,1.0,,,굿즈상품 B타입,틴거울_75,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),4,컴팩트거울,true,false,파일사양_작업사이즈,100 x 90,소품,14638.0,,컴팩트거울,무광 75mm,,100 x 90,,,컴팩드,JPG,디지털인쇄,Y,Y,,,3600.0,,,1.0,10000.0,1.0,,,굿즈상품 B타입,[상품명]_[옵션명]_[거래처]_[파일번호]_[주문자]_[수량],,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),5,카드거울,true,false,파일사양_작업사이즈,57 x 91,소품,14639.0,,카드거울,,,57 x 91,,,카드거,JPG x 3P,전사인쇄,Y,Y,,,2500.0,,,3.0,10000.0,3.0,,,굿즈상품 B타입,카드거울,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),6,사각손거울,true,false,파일사양_작업사이즈,85 x 140,소품,14640.0,,사각손거울,S (75x130 mm),,85 x 140,,,손거울,PDF,UV인쇄,Y,Y,,,5000.0,,,1.0,10000.0,1.0,,,굿즈상품 A타입,사각손거울,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),7,사각손거울,true,false,파일사양_작업사이즈,105 x 176,소품,14640.0,,사각손거울,M (95x166 mm),,105 x 176,,,,PDF,UV인쇄,Y,Y,,,5500.0,,,1.0,10000.0,1.0,,,,,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),8,사각손거울,true,false,파일사양_작업사이즈,130 x 228,소품,14640.0,,사각손거울,L (120x218 mm),,130 x 228,,,,PDF,UV인쇄,Y,Y,,,6000.0,,,1.0,10000.0,1.0,,,,,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),9,블랙사각손거울,true,false,파일사양_작업사이즈,85 x 140,소품,14641.0,,블랙사각손거울,S (75x130 mm),,85 x 140,,,손거울,PDF,UV인쇄,Y,Y,,,6000.0,,,1.0,10000.0,1.0,,,굿즈상품 A타입,,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),10,블랙사각손거울,true,false,파일사양_작업사이즈,105 x 176,소품,14641.0,,블랙사각손거울,M (95x166 mm),,105 x 176,,,,PDF,UV인쇄,Y,Y,,,7500.0,,,1.0,10000.0,1.0,,,,,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),11,블랙사각손거울,true,false,파일사양_작업사이즈,130 x 228,소품,14641.0,,블랙사각손거울,L (120x218 mm),,130 x 228,,,,PDF,UV인쇄,Y,Y,,,9000.0,,,1.0,10000.0,1.0,,,,,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
굿즈파우치(가격포함),12,레더코스터,false,false,파일사양_작업사이즈,100 x 100,라이프,14643.0,,레더코스터,원형 90mm,,100 x 100,,,레더코스터,JPG,실사출력,Y,Y,,,3300.0,,,1.0,10000.0,1.0,,,굿즈상품 A타입,레더코스터,,,,,,"{""구분"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""ID"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""MES ITEM_CD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품(옵션)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_블리드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력용지규격"": {""font_rgb"": ""Values must be of type <class 'str'>"", ""col_hidden"": true}, ""파일사양_파일명약어"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_출력파일"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""파일사양_폴더"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_업로드"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""주문방법(필수)_편집기"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_선택"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""선택(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가공"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""가공(옵션)_가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최소"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_최대"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""제작수량(필수)_증가"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""추가상품(옵션)_추가가격"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""구간할인적용테이블"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""Z"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AA"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AB"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AC"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AD"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""AE"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
