comp_price_id,comp_cd,siz_cd,siz_width,siz_height,mat_cd,min_qty,unit_price
5259,COMP_ACRYL_CLEAR3T,SIZ_000067,,,MAT_000043,1,16700.00
5260,COMP_ACRYL_CLEAR3T,SIZ_000113,,,MAT_000043,1,12700.00
5261,COMP_ACRYL_CLEAR3T,SIZ_000119,,,MAT_000043,1,10700.00
5262,COMP_ACRYL_CLEAR3T,SIZ_000132,,,MAT_000043,1,6900.00
5263,COMP_ACRYL_CLEAR3T,SIZ_000147,,,MAT_000043,1,8500.00
5264,COMP_ACRYL_CLEAR3T,SIZ_000148,,,MAT_000043,1,5900.00
5265,COMP_ACRYL_CLEAR3T,SIZ_000211,,,MAT_000043,1,7300.00
5266,COMP_ACRYL_CLEAR3T,SIZ_000243,,,MAT_000043,1,7400.00
5267,COMP_ACRYL_CLEAR3T,SIZ_000246,,,MAT_000043,1,9500.00
5268,COMP_ACRYL_CLEAR3T,SIZ_000248,,,MAT_000043,1,10600.00
5269,COMP_ACRYL_CLEAR3T,SIZ_000266,,,MAT_000043,1,10900.00
5270,COMP_ACRYL_CLEAR3T,SIZ_000329,,,MAT_000043,1,2700.00
5271,COMP_ACRYL_CLEAR3T,SIZ_000330,,,MAT_000043,1,3100.00
5272,COMP_ACRYL_CLEAR3T,SIZ_000331,,,MAT_000043,1,3400.00
5273,COMP_ACRYL_CLEAR3T,SIZ_000332,,,MAT_000043,1,4300.00
5274,COMP_ACRYL_CLEAR3T,SIZ_000333,,,MAT_000043,1,3800.00
5275,COMP_ACRYL_CLEAR3T,SIZ_000334,,,MAT_000043,1,4200.00
5276,COMP_ACRYL_CLEAR3T,SIZ_000335,,,MAT_000043,1,4700.00
5277,COMP_ACRYL_CLEAR3T,SIZ_000336,,,MAT_000043,1,2500.00
5278,COMP_ACRYL_CLEAR3T,SIZ_000344,,,MAT_000043,1,6600.00
5279,COMP_ACRYL_CLEAR3T,SIZ_000346,,,MAT_000043,1,3400.00
5280,COMP_ACRYL_CLEAR3T,SIZ_000350,,,MAT_000043,1,4700.00
5281,COMP_ACRYL_CLEAR3T,SIZ_000357,,,MAT_000043,1,9900.00
5282,COMP_ACRYL_CLEAR3T,SIZ_000358,,,MAT_000043,1,13700.00
5283,COMP_ACRYL_CLEAR3T,SIZ_000359,,,MAT_000043,1,16700.00
5284,COMP_ACRYL_CLEAR3T,SIZ_000361,,,MAT_000043,1,22700.00
5285,COMP_ACRYL_CLEAR3T,SIZ_000365,,,MAT_000043,1,8400.00
5286,COMP_ACRYL_CLEAR3T,SIZ_000370,,,MAT_000043,1,6600.00
5287,COMP_ACRYL_CLEAR3T,SIZ_000371,,,MAT_000043,1,7200.00
5288,COMP_ACRYL_CLEAR3T,SIZ_000372,,,MAT_000043,1,7800.00
5289,COMP_ACRYL_CLEAR3T,SIZ_000373,,,MAT_000043,1,8500.00
5290,COMP_ACRYL_CLEAR3T,SIZ_000448,,,MAT_000043,1,9500.00
5291,COMP_ACRYL_CLEAR3T,SIZ_000449,,,MAT_000043,1,6400.00
5292,COMP_ACRYL_CLEAR3T,SIZ_000493,,,MAT_000043,1,3800.00
5293,COMP_ACRYL_CLEAR3T,SIZ_000495,,,MAT_000043,1,4700.00
5294,COMP_ACRYL_CLEAR3T,SIZ_000497,,,MAT_000043,1,6400.00
5332,COMP_ACRYL_CLEAR3T,SIZ_000008,,,MAT_000042,1,5520.00
