prd_cd,bdl_qty,bdl_unit_typ_cd,dflt_yn,disp_seq,_note
PRD_000001,50,QTY_UNIT.02,N,,from siz_nm 70x200mm(50장) (siz_cd SIZ_000078)
PRD_000002,50,QTY_UNIT.02,N,,from siz_nm 80x100mm(50장) (siz_cd SIZ_000079)
PRD_000002,20,QTY_UNIT.02,N,,from siz_nm 60x90mm(20장) (siz_cd SIZ_000089)
PRD_000003,20,QTY_UNIT.02,N,,from siz_nm 160x110mm(20장) (siz_cd SIZ_000096)
PRD_000003,40,QTY_UNIT.02,N,,from siz_nm 160x110mm(40장) (siz_cd SIZ_000097)
PRD_000003,100,QTY_UNIT.02,N,,from siz_nm 160x110mm(100장) (siz_cd SIZ_000098)
PRD_000003,30,QTY_UNIT.02,N,,from siz_nm 70x100mm(30장) (siz_cd SIZ_000102)
PRD_000004,10,QTY_UNIT.02,N,,from siz_nm 화이트165x115mm(10장) (siz_cd SIZ_000104)
PRD_000005,10,QTY_UNIT.02,N,,from siz_nm 240x230mm(10장) (siz_cd SIZ_000106)
PRD_000009,10,QTY_UNIT.01,N,,from siz_nm PP투명케이스42x57x20mm(10개) (siz_cd SIZ_000108)
PRD_000011,20,QTY_UNIT.01,N,,from siz_nm 20x20(20개입) (siz_cd SIZ_000111)
PRD_000066,8,QTY_UNIT.01,N,,from siz_nm 정사각10x10mm(8EA) (siz_cd SIZ_000212)
PRD_000066,6,QTY_UNIT.01,N,,from siz_nm 정사각20x20mm(6EA) (siz_cd SIZ_000214)
PRD_000066,3,QTY_UNIT.01,N,,from siz_nm 정사각25x25mm(3EA) (siz_cd SIZ_000215)
PRD_000066,2,QTY_UNIT.01,N,,from siz_nm 정사각30x30mm(2EA) (siz_cd SIZ_000216)
PRD_000066,1,QTY_UNIT.01,N,,from siz_nm 정사각45x45mm(1EA) (siz_cd SIZ_000219)
PRD_000198,1,QTY_UNIT.04,N,,from siz_nm 100x70cm(1인용) (siz_cd SIZ_000399)
PRD_000198,2,QTY_UNIT.04,N,,from siz_nm 100x150cm(2인용) (siz_cd SIZ_000402)
