excel_sheet,excel_prd_nm,matched_prd_cd,matched_prd_nm,tier,cardinality,evidence,needs_human
acrylic,맥세이프 스마트톡,PRD_000151,맥세이프 스마트톡,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000151) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴 머리끈,PRD_000154,아크릴 머리끈,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000154) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴 코스터,PRD_000159,아크릴 코스터,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000159) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
acrylic,아크릴 포카키링,PRD_000158,아크릴 포카키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000158) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴네임택,PRD_000157,아크릴네임택,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000157) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴마그넷,PRD_000147,아크릴마그넷,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000147) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴명찰,PRD_000152,아크릴명찰,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000152) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴명찰(골드실버),PRD_000153,아크릴명찰(골드실버),EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000153),FALSE
acrylic,아크릴미니파츠,PRD_000163,아크릴미니파츠,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000163) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴뱃지,PRD_000148,아크릴뱃지,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000148) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴볼펜,PRD_000155,아크릴볼펜,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000155) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴스마트톡,PRD_000150,아크릴스마트톡,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000150) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴자유형스탠드,PRD_000160,아크릴자유형스탠드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000160) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴지비츠,PRD_000156,아크릴지비츠,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000156) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴집게,PRD_000149,아크릴집게,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000149) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴카라비너,PRD_000166,아크릴카라비너,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000166) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴코롯토,PRD_000164,아크릴코롯토,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000164) | matching.csv 확립 매핑 일치(보강) | 라이브 use_yn=N(미노출·비활성),FALSE
acrylic,아크릴키링,PRD_000146,아크릴키링,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000146) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,아크릴포카스탠드,PRD_000162,아크릴포카스탠드,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000162) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,판아크릴,PRD_000161,판아크릴,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000161) | matching.csv 확립 매핑 일치(보강),FALSE
acrylic,포카코롯토,PRD_000165,포카코롯토,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000165) | 라이브 use_yn=N(미노출·비활성),FALSE
booklet,PUR책자,PRD_000070,PUR책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000070) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,떡메모지,PRD_000097,떡메모지,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000097) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['booklet', 'stationery'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
booklet,레더 링바인더,PRD_000088,레더 링바인더,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000088) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,레더 하드커버책자,PRD_000077,레더 하드커버책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000077) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,링바인더 (보류중),PRD_000089; PRD_000090; PRD_000091; PRD_000092; PRD_000093; PRD_000088,레더 링바인더-표지(레더(화이트)); 레더 링바인더-면지; 레더 링바인더-면지(블랙면지); 레더 링바인더-면지(그레이면지); 레더 링바인더-면지(인쇄면지); 레더 링바인더,AMBIGUOUS,1:N,도메인 코어 '링바인더' 부분포함 후보: PRD_000089='레더 링바인더-표지(레더(화이트))'; PRD_000090='레더 링바인더-면지'; PRD_000091='레더 링바인더-면지(블랙면지)'; PRD_000092='레더 링바인더-면지(그레이면지)'; PRD_000093='레더 링바인더-면지(인쇄면지)'; PRD_000088='레더 링바인더',TRUE
booklet,무선책자,PRD_000069,무선책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000069) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,엽서북,PRD_000094,엽서북,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000094) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,중철책자,PRD_000068,중철책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000068) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,트윈링책자,PRD_000071,트윈링책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000071) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,하드커버 링책자,PRD_000082,하드커버 링책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000082) | matching.csv 확립 매핑 일치(보강),FALSE
booklet,하드커버책자,PRD_000072,하드커버책자,EXACT,1:1,prd_nm 문자열 정확 일치(라이브 PRD_000072) | matching.csv 확립 매핑 일치(보강),FALSE
calendar,미니탁상형캘린더,PRD_000109,미니탁상형캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000109) | MES 007-0002 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
calendar,벽걸이캘린더,PRD_000111,벽걸이캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000111) | MES 007-0004 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
calendar,엽서캘린더,PRD_000110,엽서캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000110) | MES 007-0003 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
calendar,와이드벽걸이캘린더,PRD_000112,와이드벽걸이캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000112) | MES 007-0005 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
calendar,탁상형캘린더,PRD_000108,탁상형캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000108) | MES 007-0001 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
design-calendar,미니탁상형캘린더,PRD_000109,미니탁상형캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000109) | MES 007-0002 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
design-calendar,벽걸이캘린더,PRD_000111,벽걸이캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000111) | MES 007-0004 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
design-calendar,엽서캘린더,PRD_000110,엽서캘린더,AMBIGUOUS,N:1,"prd_nm 문자열 정확 일치(라이브 PRD_000110) | MES 007-0003 라이브 일치(보강) | matching.csv 확립 매핑 일치(보강) | 동일 prd_nm 이 ['calendar', 'design-calendar'] 2시트 → 라이브 단일 prd_cd 수렴(일반/디자인 변형 별도 등록 여부 인간 확인)",TRUE
