comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note
9100000,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,200,12200,소형 일반박 가공비 가로10mm×세로20mm 수량200 (등급소멸 조인가)
9100001,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,300,14300,소형 일반박 가공비 가로10mm×세로20mm 수량300 (등급소멸 조인가)
9100002,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,400,16400,소형 일반박 가공비 가로10mm×세로20mm 수량400 (등급소멸 조인가)
9100003,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,500,18500,소형 일반박 가공비 가로10mm×세로20mm 수량500 (등급소멸 조인가)
9100004,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,600,20600,소형 일반박 가공비 가로10mm×세로20mm 수량600 (등급소멸 조인가)
9100005,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,700,22700,소형 일반박 가공비 가로10mm×세로20mm 수량700 (등급소멸 조인가)
9100006,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,800,24800,소형 일반박 가공비 가로10mm×세로20mm 수량800 (등급소멸 조인가)
9100007,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,900,26900,소형 일반박 가공비 가로10mm×세로20mm 수량900 (등급소멸 조인가)
9100008,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,1000,29000,소형 일반박 가공비 가로10mm×세로20mm 수량1000 (등급소멸 조인가)
9100009,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,2000,50000,소형 일반박 가공비 가로10mm×세로20mm 수량2000 (등급소멸 조인가)
9100010,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,3000,71000,소형 일반박 가공비 가로10mm×세로20mm 수량3000 (등급소멸 조인가)
9100011,COMP_FOIL_SMALL_GENERAL,2026-06-01,SIZ_000722,,,,,4000,92000,소형 일반박 가공비 가로10mm×세로20mm 수량4000 (등급소멸 조인가)
