siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,margin_top,margin_bot,margin_lft,margin_rgt,impos_yn,use_yn,del_yn,note
SIZ_000722,10x20,10,20,10,20,0,0,0,0,N,Y,N,"박 면적좌표 가로10mm×세로20mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000723,10x40,10,40,10,40,0,0,0,0,N,Y,N,"박 면적좌표 가로10mm×세로40mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000724,10x60,10,60,10,60,0,0,0,0,N,Y,N,"박 면적좌표 가로10mm×세로60mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000725,10x80,10,80,10,80,0,0,0,0,N,Y,N,"박 면적좌표 가로10mm×세로80mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000726,20x10,20,10,20,10,0,0,0,0,N,Y,N,"박 면적좌표 가로20mm×세로10mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000727,20x80,20,80,20,80,0,0,0,0,N,Y,N,"박 면적좌표 가로20mm×세로80mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000728,30x90,30,90,30,90,0,0,0,0,N,Y,N,"박 면적좌표 가로30mm×세로90mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000729,30x110,30,110,30,110,0,0,0,0,N,Y,N,"박 면적좌표 가로30mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000730,30x130,30,130,30,130,0,0,0,0,N,Y,N,"박 면적좌표 가로30mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000731,30x150,30,150,30,150,0,0,0,0,N,Y,N,"박 면적좌표 가로30mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000732,30x170,30,170,30,170,0,0,0,0,N,Y,N,"박 면적좌표 가로30mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000733,40x10,40,10,40,10,0,0,0,0,N,Y,N,"박 면적좌표 가로40mm×세로10mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000734,50x110,50,110,50,110,0,0,0,0,N,Y,N,"박 면적좌표 가로50mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000735,50x130,50,130,50,130,0,0,0,0,N,Y,N,"박 면적좌표 가로50mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000736,50x150,50,150,50,150,0,0,0,0,N,Y,N,"박 면적좌표 가로50mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000737,50x170,50,170,50,170,0,0,0,0,N,Y,N,"박 면적좌표 가로50mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000738,70x110,70,110,70,110,0,0,0,0,N,Y,N,"박 면적좌표 가로70mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000739,70x130,70,130,70,130,0,0,0,0,N,Y,N,"박 면적좌표 가로70mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000740,70x150,70,150,70,150,0,0,0,0,N,Y,N,"박 면적좌표 가로70mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000741,70x170,70,170,70,170,0,0,0,0,N,Y,N,"박 면적좌표 가로70mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000742,90x30,90,30,90,30,0,0,0,0,N,Y,N,"박 면적좌표 가로90mm×세로30mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000743,90x110,90,110,90,110,0,0,0,0,N,Y,N,"박 면적좌표 가로90mm×세로110mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000744,90x130,90,130,90,130,0,0,0,0,N,Y,N,"박 면적좌표 가로90mm×세로130mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000745,90x150,90,150,90,150,0,0,0,0,N,Y,N,"박 면적좌표 가로90mm×세로150mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000746,90x170,90,170,90,170,0,0,0,0,N,Y,N,"박 면적좌표 가로90mm×세로170mm (라이브 부재→신규). 면적직접입력형, margin0."
SIZ_000747,110x30,110,30,110,30,0,0,0,0,N,Y,N,"박 면적좌표 가로110mm×세로30mm (라이브 부재→신규). 면적직접입력형, margin0."
