적용일,공정,수량(이상),고정,비고
,PROC_000107,1,5000.0,
,PROC_000171,1,6000.0,
,PROC_000071,1,7000.0,
,PROC_000106,1,7000.0,
,PROC_000107,2,3000.0,
,PROC_000171,2,4000.0,
,PROC_000071,2,5000.0,
,PROC_000106,2,5000.0,
,PROC_000107,3,2000.0,
,PROC_000171,3,3000.0,
,PROC_000071,3,4000.0,
,PROC_000106,3,4000.0,
,PROC_000107,4,1500.0,
,PROC_000171,4,2000.0,
,PROC_000071,4,3000.0,
,PROC_000106,4,3000.0,
,PROC_000107,5,1000.0,
,PROC_000171,5,1500.0,
,PROC_000071,5,2000.0,
,PROC_000106,5,2000.0,
,PROC_000107,6,900.0,
,PROC_000171,6,1400.0,
,PROC_000071,6,1900.0,
,PROC_000106,6,1900.0,
,PROC_000107,7,900.0,
,PROC_000171,7,1300.0,
,PROC_000071,7,1700.0,
,PROC_000106,7,1700.0,
,PROC_000107,8,800.0,
,PROC_000171,8,1100.0,
,PROC_000071,8,1500.0,
,PROC_000106,8,1500.0,
,PROC_000107,9,800.0,
,PROC_000171,9,1000.0,
,PROC_000071,9,1300.0,
,PROC_000106,9,1300.0,
,PROC_000107,10,700.0,
,PROC_000171,10,800.0,
,PROC_000071,10,1100.0,
,PROC_000106,10,1100.0,
,PROC_000107,15,650.0,
,PROC_000171,15,750.0,
,PROC_000071,15,1000.0,
,PROC_000106,15,1000.0,
,PROC_000107,20,600.0,
,PROC_000171,20,700.0,
,PROC_000071,20,900.0,
,PROC_000106,20,900.0,
,PROC_000107,25,550.0,
,PROC_000171,25,650.0,
,PROC_000071,25,800.0,
,PROC_000106,25,800.0,
,PROC_000107,30,500.0,
,PROC_000171,30,600.0,
,PROC_000071,30,700.0,
,PROC_000106,30,700.0,
,PROC_000107,35,480.0,
,PROC_000171,35,570.0,
,PROC_000071,35,670.0,
,PROC_000106,35,670.0,
,PROC_000107,40,460.0,
,PROC_000171,40,540.0,
,PROC_000071,40,640.0,
,PROC_000106,40,640.0,
,PROC_000107,45,440.0,
,PROC_000171,45,510.0,
,PROC_000071,45,610.0,
,PROC_000106,45,610.0,
,PROC_000107,50,420.0,
,PROC_000171,50,480.0,
,PROC_000071,50,580.0,
,PROC_000106,50,580.0,
,PROC_000107,60,390.0,
