적용일,공정,수량(이상),합가,비고
,PROC_000126,1,2000.0,
,PROC_000127,1,4000.0,
,PROC_000126,100,2000.0,
,PROC_000127,100,4000.0,
,PROC_000126,300,4000.0,
,PROC_000127,300,8000.0,
,PROC_000126,500,6000.0,
,PROC_000127,500,12000.0,
,PROC_000126,1000,11000.0,
,PROC_000127,1000,22000.0,
,PROC_000126,2000,21000.0,
,PROC_000127,2000,42000.0,
,PROC_000126,3000,31000.0,
,PROC_000127,3000,62000.0,
,PROC_000126,4000,41000.0,
,PROC_000127,4000,82000.0,
,PROC_000126,5000,51000.0,
,PROC_000127,5000,102000.0,
,PROC_000126,6000,61000.0,
,PROC_000127,6000,122000.0,
,PROC_000126,7000,71000.0,
,PROC_000127,7000,142000.0,
,PROC_000126,8000,81000.0,
,PROC_000127,8000,162000.0,
,PROC_000126,9000,91000.0,
,PROC_000127,9000,182000.0,
,PROC_000126,10000,101000.0,
,PROC_000127,10000,202000.0,
