product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이사양,인쇄(필수),장수(필수),캘린더가공(필수)_삼각대컬러,캘린더가공(필수)_캘린더가공,캘린더가공(필수)_추가가격,캘린더가공(필수)_링칼라,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,개별포장(옵션),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,가이드파일,템플릿,디자인보유,0.0,AF,AG,AH,AI,AJ,AK,AL
14599,탁상형캘린더,탁상형캘린더,0,3,탁상형캘린더,14599,007-0001,탁상형캘린더,220 x 145 mm,2,224 x 149,220 x 145,316x467,탁상달력,PDF,디지털인쇄,Y,,*별도설정,양면,4(8P) / 8(16P) / 12(24P) / 16(32P),삼각대(그레이),,0,블랙,1,10000,1,개별포장없음,캘린더봉투 ★사이즈선택 : 220x145,,AI / PSD,,●,,,,,,,,
14599,탁상형캘린더,탁상형캘린더,1,4,,,,,130 x 220 mm,2,134 x 224,130 x 220,316x467,,PDF,,Y,,,,,,,,,,,,수축포장,캘린더봉투 240x230 mm 10장,,AI / PSD,,●,,,,,,,,
14599,탁상형캘린더,탁상형캘린더,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,캘린더봉투 ★사이즈선택 : 130x220,,,,,,,,,,,,
14599,탁상형캘린더,탁상형캘린더,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,캘린더봉투 150x310 mm 10장,,,,,,,,,,,,
14600,미니탁상형캘린더,,0,8,,14600,007-0002,미니탁상형캘린더,90 x 100 mm,2,94 x 104,90 x 100,316x467,미니달력,PDF,디지털인쇄,Y,,*별도설정,양면,12(24P) / 16(32P),삼각대(블랙),,0,블랙,1,10000,1,개별포장없음,,,AI / PSD,,●,,,,,,,,
14600,미니탁상형캘린더,,1,9,,,,,148 x 60 mm,2,152 x 64,148 x 60,316x467,,PDF,,Y,,,,,,,,,,,,수축포장,,,,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,0,11,엽서캘린더,14601,007-0003,엽서캘린더,145 x 145 mm,2,149 x 149,145 x 145,316x467,엽서달력,PDF,디지털인쇄,Y,,*별도설정,단면,12 / 13 / 14 / 15 / 16,,가공없음(재단만),0,,1,10000,1,,,,AI / PSD,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,1,12,,,,,220 x 130 mm,2,224 x 134,220 x 130,316x467,,PDF,,Y,,,,,,우드거치대,4000,,,,,,,,AI / PSD,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,2,13,,,,,220 x 145 mm,2,224 x 149,220 x 145,316x467,,PDF,,Y,,,,,,,,,,,,,,,AI / PSD,,,,,,,,,,
14601,엽서캘린더,엽서캘린더,3,15,,,,,130  x 220 mm,2,134 x 224,130  x 220,316x467,엽서달력,PDF,,Y,,,,,,가공없음(재단만),0,,,,,,,,AI / PSD,,,,,,,,,,
