product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),내지파일사양_MES ITEM_CD,내지파일사양_블리드,내지파일사양_작업사이즈,내지파일사양_재단사이즈,내지파일사양_파일명약어,내지파일사양_출력파일,내지파일사양_폴더,내지종이,내지인쇄,내지페이지(편집기)_최소,내지페이지(편집기)_최대,내지페이지(편집기)_증가,표지타입(필수),표지사양_MES ITEM_CD,표지사양_블리드,표지사양_작업사이즈,표지사양_재단사이즈,표지사양_파일명약어,표지사양_출력파일,표지사양_폴더,표지종이사양,표지인쇄사양,제본사양_제본,제본사양_면지,제본사양_책등,제작수량_최소,제작수량_최대,제작수량_증가,주문방법(필수)_업로드,주문방법(필수)_편집기,가이드파일,가격_기본(24P),가격_추가(2P)당,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD
포토북 [디자인명],포토북 [디자인명],포토북,0,3,포토북,,,포토북 [디자인명],8 x 8 (200 x 200 mm),,2,203x203,201x199,포토북하드,PDF,디지털인쇄,몽블랑130,양면,24,150,2,하드커버,,15,460x235,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,AI / PSD,15000,500,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,1,4,,,,,,,,,,포토북레더,,,,,,,,레더하드커버,,15,460x235,,cover,PDF,특수출력,레더,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,23000,500,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,2,5,,,,,,,,,,포토북소프트,,,,,,,,소프트커버,,7,420x213,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,4 / 6 / 8 / 10 / 12 / 14,1,1000,1,,Y,,12000,500,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,3,6,,,,,10 x 10 (250 x 250 mm),,2,254x254,252x250,포토북H,PDF,디지털인쇄,몽블랑130,양면,24,150,2,하드커버,,15,556x285,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,22000,1000,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,4,7,,,,,,,,,,포토북L,,,,,,,,레더하드커버,,15,556x285,,cover,PDF,특수출력,레더,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,32000,1000,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,5,8,,,,,,,,,,포토북S,,,,,,,,소프트커버,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,6,9,,,,,A5 (148 x 210 mm),,2,150x214,148x210,포토북H,PDF,디지털인쇄,몽블랑130,양면,24,150,2,하드커버,,15,352x248,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,12000,300,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,7,10,,,,,,,,,,포토북L,,,,,,,,레더하드커버,,15,352x248,,cover,PDF,특수출력,레더,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,19000,300,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,8,11,,,,,,,,,,포토북S,,,,,,,,소프트커버,,7,314x224,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,4 / 6 / 8 / 10 / 12 / 14,1,1000,1,,Y,,10000,300,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,9,12,,,,,A4 (210 x 297 mm),,3,213x303,210x297,포토북H,PDF,디지털인쇄,몽블랑130,양면,24,150,2,하드커버,,15,472x334,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,16000,600,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,10,13,,,,,,,,,,포토북L,,,,,,,,레더하드커버,,15,472x334,,cover,PDF,특수출력,레더,단면,PUR,그레이,10 / 12 / 14 /16,1,1000,1,,Y,,26000,600,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,11,14,,,,,,,,,,포토북S,,,,,,,,소프트커버,,7,440x313,,cover,PDF,디지털인쇄,아트250+무광코팅,단면,PUR,그레이,4 / 6 / 8 / 10 / 12 / 14,1,1000,1,,Y,,13000,600,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,12,15,,,,,,,,,,,,,,,,,,,,,*책등에따라다름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포토북 [디자인명],포토북 [디자인명],포토북,13,17,,,"제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 그레이칼라는 노출안되는 정해진 사양
상품단가+페이지당단가적용 
핑크는 편집기를 통해 나오는 사양이므로 옵션노출 없음
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
