product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14540,대형 자유형 스티커,,3,38,,,,,,,,,,,,*칼선분리,,,,,,,,,,,,,8조각,,,,,,,,,,,,
14540,대형 자유형 스티커,,4,39,,,,,,,,,,,,,,,,,,,,,,,,,9조각,,,,,,,,,,,,
14540,대형 자유형 스티커,,5,40,,,,,,,,,,,,,,,,,,,,,,,,,10조각,,,,,,,,,,,,
14540,대형 자유형 스티커,,6,41,,,,,,,,,,,,,,,,,,,,,,,,,*최소크기 30x30 / 10조각이내,,,,,,,,,,,,
14725,반칼원형스티커,,0,42,,14725,002-0008,반칼원형스티커,A5 (148 x 210 mm),,0,148 x 210,148 x 210,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,원형 25mm (24ea),,4,10000,4,,,,,,,,,
14725,반칼원형스티커,,1,43,,,,,,,,,,,,*아이마크,,,,비코팅스티커,,,,,,,,원형 30mm (20ea),,,,,,,,,,,,,
14725,반칼원형스티커,,2,44,,,,,,,,,,,,,,,,미색스티커,,,,,,,,원형 35mm (15ea),,,,,,,,,,,,,
14725,반칼원형스티커,,3,45,,,,,,,,,,,,,,,,무광코팅스티커,,,,,,,,원형 40mm (12ea),,,,,,,,,,,,,
14725,반칼원형스티커,,4,46,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,원형 45mm (8ea),,,,,,,,,,,,,
14725,반칼원형스티커,,5,47,,,,,,,,,,,,,,,,,,,,,,,,원형 50mm (6ea),,,,,,,,,,,,,
14725,반칼원형스티커,,6,48,,,,,,,,,,,,,,,,,,,,,,,,원형 55mm (6ea),,,,,,,,,,,,,
14725,반칼원형스티커,,7,49,,,,,,,,,,,,,,,,,,,,,,,,원형 60mm (6ea),,,,,,,,,,,,,
14725,반칼원형스티커,,8,50,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A5선택시,,,,,,,,,,,,,
14725,반칼원형스티커,,9,51,,,,,A4 (210 x 297 mm),,0,210 x 297,210 x 297,330x470,,,,,,,,,,,,,,원형 80mm (6ea),,2,10000,2,,,,,,,,,
14725,반칼원형스티커,,10,52,,,,,,,,,,,,,,,,,,,,,,,,원형 90mm (6ea),,,,,,,,,,,,,
14725,반칼원형스티커,,11,53,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A4선택시,,,,,,,,,,,,,
14542,반칼정사각스티커,,0,55,,14542,002-0009,반칼정사각스티커,A5 (148 x 210 mm),,0,148 x 210,148 x 210,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,30x30mm (20ea),,4,10000,4,,,,,,,,,
14542,반칼정사각스티커,,1,56,,,,,,,,,,,,,,,,비코팅스티커,,,,,,,,40x40mm (12ea),,,,,,,,,,,,,
14542,반칼정사각스티커,,2,57,,,,,,,,,,,,,,,,미색스티커,,,,,,,,50x50mm (6ea),,,,,,,,,,,,,
14542,반칼정사각스티커,,3,58,,,,,,,,,,,,,,,,무광코팅스티커,,,,,,,,60x60mm (6ea),,,,,,,,,,,,,
14542,반칼정사각스티커,,4,59,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,★사이즈선택 : A5선택시,,,,,,,,,,,,,
14542,반칼정사각스티커,,5,60,,,,,A4 (210 x 297 mm),,0,210 x 297,210 x 297,330x470,,,,,,,,,,,,,,80x80mm (6ea),,2,10000,2,,,,,,,,,
14542,반칼정사각스티커,,6,61,,,,,,,,,,,,,,,,,,,,,,,,90x90mm (6ea),,,,,,,,,,,,,
14542,반칼정사각스티커,,7,62,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A4선택시,,,,,,,,,,,,,
14543,반칼직사각스티커,,0,64,,14543,002-0010,반칼직사각스티커,A5 (148 x 210 mm),,0,148 x 210,148 x 210,330x470,반칼(규격),PDF,디지털인쇄,Y,Y,유포스티커,단면,,,,,,,20x40mm (20ea),,4,10000,4,,,,,,,,,
14543,반칼직사각스티커,,1,65,,,,,,,,,,,,,,,,비코팅스티커,,,,,,,,20x50mm (15ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,2,66,,,,,,,,,,,,,,,,미색스티커,,,,,,,,20x60mm (15ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,3,67,,,,,,,,,,,,,,,,무광코팅스티커,,,,,,,,30x40mm (16ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,4,68,,,,,,,,,,,,,,,,유광코팅스티커,,,,,,,,30x50mm (12ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,5,69,,,,,,,,,,,,,,,,,,,,,,,,30x60mm (12ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,6,70,,,,,,,,,,,,,,,,,,,,,,,,40x20mm (24ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,7,71,,,,,,,,,,,,,,,,,,,,,,,,40x30mm (15ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,8,72,,,,,,,,,,,,,,,,,,,,,,,,50x20mm (16ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,9,73,,,,,,,,,,,,,,,,,,,,,,,,50x30mm (10ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,10,74,,,,,,,,,,,,,,,,,,,,,,,,60x20mm (16ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,11,75,,,,,,,,,,,,,,,,,,,,,,,,60x30mm (10ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,12,76,,,,,,,,,,,,,,,,,,,,,,,,60x40mm (8ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,13,77,,,,,,,,,,,,,,,,,,,,,,,,90x40mm (6ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,14,78,,,,,,,,,,,,,,,,,,,,,,,,90x60mm (3ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,15,79,,,,,,,,,,,,,,,,,,,,,,,,120x40mm (4ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,16,80,,,,,,,,,,,,,,,,,,,,,,,,120x60mm (3ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,17,81,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : A5선택시,,,,,,,,,,,,,
14543,반칼직사각스티커,,18,82,,,,,A4 (210 x 297 mm),,0,210 x 297,210 x 297,330x470,,,,,,,,,,,,,,80x40mm (12ea),,2,10000,2,,,,,,,,,
14543,반칼직사각스티커,,19,83,,,,,,,,,,,,,,,,,,,,,,,,80x50mm (10ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,20,84,,,,,,,,,,,,,,,,,,,,,,,,80x60mm (8ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,21,85,,,,,,,,,,,,,,,,,,,,,,,,90x40mm (12ea),,,,,,,,,,,,,
14543,반칼직사각스티커,,22,86,,,,,,,,,,,,,,,,,,,,,,,,90x50mm (10ea),,,,,,,,,,,,,
