product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),비규격(최소/최대)_가로,비규격(최소/최대)_세로,가격,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,소재(필수),인쇄사양,조각수(옵션),가공(옵션)_가공,가공(옵션)_가격,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,COMMENT,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL
14626,아크릴마그넷,,1,14,,,,,30 x 30 mm,,,3100,,34 X 34,30 x 30,,,*AI(칼선),,,,,투명테두리★,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,2,15,,,,,30 x 40 mm,,,3400,,34 X 44,30 x 40,,,,,,,,단면인쇄,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,3,16,,,,,40 x 40 mm,,,3800,,44 X 44,40 x 40,,,,,,,,,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,4,17,,,,,40 x 50 mm,,,4200,,44 X 54,40 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,5,18,,,,,50 x 50 mm,,,4800,,54 X 54,50 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,6,19,,,,,60 x 60 mm,,,5900,,64 X 64,60 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,
14626,아크릴마그넷,,7,20,,,,,사용자입력,20~80,20~80,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14627,아크릴뱃지,,0,22,,14627,009-0003,아크릴뱃지,30 x 30 mm,,,3100,,34 X 34,30 x 30,,아크릴뱃지,PDF,UV인쇄,Y,,투명아크릴 3mm,풀빼다,,원형핀,*가격표참고,,,1,10000,1,,,,,,,,,,,
14627,아크릴뱃지,,1,23,,,,,40 x 40 mm,,,3800,,44 X 44,40 x 40,,,*AI(칼선),,,,,투명테두리★,,1구자석,,,,,,,,,,,,,,,,,
14627,아크릴뱃지,,2,24,,,,,50 x 50 mm,,,4800,,54 X 54,50 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,
14627,아크릴뱃지,,3,25,,,,,사용자입력,30~80,30~80,,,가로 x 세로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14621,아크릴집게,,0,27,,14621,009-0004,아크릴집게,30 x 30 mm,,,3100,,34 X 34,30 x 30,,아크릴집게,PDF,UV인쇄,Y,,투명아크릴 3mm,풀빼다,,투명집게,*가격표참고,,,1,10000,1,,,,,,,,,,,
