product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),내지파일사양_MES ITEM_CD,내지파일사양_블리드,내지파일사양_작업사이즈,내지파일사양_재단사이즈,내지파일사양_파일명약어,내지파일사양_출력파일,내지파일사양_폴더,내지(옵션),종이(옵션),내지인쇄사양,페이지사양_최소,페이지사양_최대,페이지사양_증가,표지파일사양_MES ITEM_CD,표지파일사양_블리드,표지파일사양_작업사이즈,표지파일사양_파일명약어,표지파일사양_출력파일,표지파일사양_폴더,표지사양,표지인쇄사양,제본옵션(옵션),제본사양,가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,주문방법(필수)_업로드,주문방법(필수)_편집기,개별포장(옵션),구간할인적용테이블,COMMENT
14592,만년다이어리(소프트커버),플래너,0,3,플래너,14592,008-0020,만년다이어리(소프트커버),130 x 190 mm,,,,,,,,,,,,,,006-5005,2,300 x 214,,,디지털인쇄,아트250 + 무광코팅,단면,,,9000,1,500,1,Y,,개별포장없음,문구 구간할인,*PVC커버
14592,만년다이어리(소프트커버),플래너,1,4,,,008-0021,만년다이어리(하드커버),130 x 190 mm,,,,,,,,,,,,,,,3,426 x 303,,,디지털인쇄,아트250 + 무광코팅,,,하드커버(면지?),12000,1,500,1,Y,,수축포장,,
14592,만년다이어리(소프트커버),플래너,2,5,,,008-0022,만년다이어리(레더하드커버),130 x 190 mm,,,,,,,,,,,,,,,,,,,특수인쇄,레더,,,하드커버(면지?),15000,1,500,1,Y,,,,
14592,만년다이어리(소프트커버),플래너,3,6,,,008-0023,만년다이어리(레더소프트커버),130 x 190 mm,,,,,,,,,,,,,,,,,,,특수인쇄,레더,,,,15000,1,500,1,Y,,,,*출력+미싱
14592,만년다이어리(소프트커버),플래너,4,8,,,008-0002,먼슬리플래너,A5 (148 x 210 mm),,2,150 x 216,148x210,먼슬리,PDF,디지털인쇄,,백모조100,양면,28,28,0,,2,302 x 216,_cover,PDF,디지털인쇄,아트250 + 무광코팅,단면,,,12000,1,500,1,,Y,,문구 구간할인,
14592,만년다이어리(소프트커버),플래너,5,10,노트,,008-0004,스프링노트,A5 (148 x 210 mm),,,,,,,,무지내지,백모조100,,,,,,2,152 x 214,,,디지털인쇄,아트250 + 무광코팅,단면,실버링,트윈링제본(좌철+실버링),4500,1,1000,1,Y,Y,개별포장없음,문구 구간할인,*합지보드
14592,만년다이어리(소프트커버),플래너,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수축포장,,
14592,만년다이어리(소프트커버),플래너,7,12,,,008-0005,스프링수첩,90 x 145 mm,,,,,,,,무지내지,백모조100,,,,,,,94 x 149,,,디지털인쇄,아트250 + 무광코팅,단면,실버링,트윈링제본(상철+실버링),3000,4,500,4,Y,Y,,문구 구간할인,*합지보드
14592,만년다이어리(소프트커버),플래너,8,14,,,008-0006,메모패드,144 x 206 mm,,,,,,,,무지내지,백모조100,,,,,,2,148 x 210,,,디지털인쇄,아트250 + 무광코팅,단면,,떡제본,5000,1,1000,1,Y,Y,,문구 구간할인,*합지보드
14592,만년다이어리(소프트커버),플래너,9,15,,,,,182 x 257 mm,,,,,,,,무지내지,백모조100,,,,,,2,186 x 261,,,,,,,,6000,1,1000,1,,,,,
14592,만년다이어리(소프트커버),플래너,10,17,,,,메모패드(내지커스텀) 준비중,144 x 206 mm,,,,,,,,,백모조120,,,,,,,,,,,,,,,,,,,,,,,
14592,만년다이어리(소프트커버),플래너,11,19,,,008-0007,중철노트,A6 (105 x 148 mm),,,,,,,,무지내지,백모조100,,,,,,2,216 x 154,,,디지털인쇄,아트250 + 무광코팅,단면,,중철제본,2500,4,500,4,Y,Y,,문구 구간할인,
14592,만년다이어리(소프트커버),플래너,12,21,,,008-0008,떡메모지,90 x 90 mm,,2,94 x 94,90 x 90,떡메모지,PDF,디지털인쇄,,백모조120,단면,3,3,3,,,,,,,,,50장1권,떡제본,*가격표참고,3,1000,3,Y,,,,
14592,만년다이어리(소프트커버),플래너,13,22,,,,,70 x 120 mm,,2,74 x 124,72 x 120,떡메모지,PDF,디지털인쇄,,,,3,3,3,,,,,,,,,100장1권,,,3,1000,3,Y,,,,
14592,만년다이어리(소프트커버),플래너,14,29,,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
