prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq,reg_dt,upd_dt,_provenance
PRD_000108,MAT_000090,USAGE.07,,Y,1,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 스노우지 200g→MAT_000090 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000113,USAGE.07,,N,3,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 아코팩(웜화이트) 250g→MAT_000113 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000114,USAGE.07,,N,4,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 리사이클러스 240g→MAT_000114 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000115,USAGE.07,,N,5,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 매쉬멜로우 233g→MAT_000115 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000116,USAGE.07,,N,6,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 린넨커버 216g→MAT_000116 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000123,USAGE.07,,N,7,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 띤또레또 200g→MAT_000123 (R3 G-CL-4, seoljeong-import-map)"
PRD_000108,MAT_000127,USAGE.07,,N,8,2026-06-05 00:00:00,,"IMPORT:탁상형캘린더● 스타드림(다이아몬드) 240g→MAT_000127 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000090,USAGE.07,,Y,1,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 스노우지 200g→MAT_000090 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000113,USAGE.07,,N,3,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 아코팩(웜화이트) 250g→MAT_000113 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000114,USAGE.07,,N,4,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 리사이클러스 240g→MAT_000114 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000115,USAGE.07,,N,5,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 매쉬멜로우 233g→MAT_000115 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000116,USAGE.07,,N,6,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 린넨커버 216g→MAT_000116 (R3 G-CL-4, seoljeong-import-map)"
PRD_000109,MAT_000127,USAGE.07,,N,7,2026-06-05 00:00:00,,"IMPORT:미니탁상형캘린더● 스타드림(다이아몬드) 240g→MAT_000127 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000090,USAGE.07,,Y,1,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 스노우지 200g→MAT_000090 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000098,USAGE.07,,N,2,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 앙상블 190g→MAT_000098 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000113,USAGE.07,,N,4,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 아코팩(웜화이트) 250g→MAT_000113 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000114,USAGE.07,,N,5,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 리사이클러스 240g→MAT_000114 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000115,USAGE.07,,N,6,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 매쉬멜로우 233g→MAT_000115 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000116,USAGE.07,,N,7,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 린넨커버 216g→MAT_000116 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000118,USAGE.07,,N,8,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 클래식 크래스트 스티플 270g→MAT_000118 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000123,USAGE.07,,N,9,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 띤또레또 200g→MAT_000123 (R3 G-CL-4, seoljeong-import-map)"
PRD_000110,MAT_000127,USAGE.07,,N,10,2026-06-05 00:00:00,,"IMPORT:엽서캘린더● 스타드림(다이아몬드) 240g→MAT_000127 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000074,USAGE.07,,Y,1,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 백색모조지 220g→MAT_000074 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000079,USAGE.07,,N,2,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 아트지 180g→MAT_000079 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000080,USAGE.07,,N,3,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 아트지 200g→MAT_000080 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000081,USAGE.07,,N,4,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 아트지 250g→MAT_000081 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000082,USAGE.07,,N,5,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 아트지 300g→MAT_000082 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000089,USAGE.07,,N,6,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 스노우지 180g→MAT_000089 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000090,USAGE.07,,N,7,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 스노우지 200g→MAT_000090 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000091,USAGE.07,,N,8,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 스노우지 250g→MAT_000091 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000092,USAGE.07,,N,9,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 스노우지 300g→MAT_000092 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000097,USAGE.07,,N,10,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 앙상블 160g→MAT_000097 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000098,USAGE.07,,N,11,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 앙상블 190g→MAT_000098 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000099,USAGE.07,,N,12,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 앙상블 210g→MAT_000099 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000108,USAGE.07,,N,14,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 몽블랑 210g→MAT_000108 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000113,USAGE.07,,N,15,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 아코팩(웜화이트) 250g→MAT_000113 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000114,USAGE.07,,N,16,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 리사이클러스 240g→MAT_000114 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000115,USAGE.07,,N,17,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 매쉬멜로우 233g→MAT_000115 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000116,USAGE.07,,N,18,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 린넨커버 216g→MAT_000116 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000118,USAGE.07,,N,19,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 클래식 크래스트 스티플 270g→MAT_000118 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000119,USAGE.07,,N,20,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 리브스디자인 250g→MAT_000119 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000123,USAGE.07,,N,21,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 띤또레또 200g→MAT_000123 (R3 G-CL-4, seoljeong-import-map)"
PRD_000111,MAT_000127,USAGE.07,,N,22,2026-06-05 00:00:00,,"IMPORT:벽걸이캘린더● 스타드림(다이아몬드) 240g→MAT_000127 (R3 G-CL-4, seoljeong-import-map)"
