prd_cd,prd_nm,combo,qty,hold,selections,final_price,price_nonzero,formula_comp_cnt,applied_comp_cnt,sensor1_missing_comps,sensor1_pass,sensor2_uncovered,sensor2_pass,warnings,errors,judged_at
PRD_000052,반칼 자유형 스티커,기본,8,Y,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,45600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000052,반칼 자유형 스티커,옵션변경(siz_cd),8,Y,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,50400,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000053,반칼 자유형 투명스티커,기본,8,Y,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,58400,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000053,반칼 자유형 투명스티커,옵션변경(siz_cd),8,Y,mat_cd=MAT_000371; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,53600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000054,반칼 자유형 홀로그램스티커,기본,8,Y,mat_cd=MAT_000590; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,53600,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000054,반칼 자유형 홀로그램스티커,옵션변경(siz_cd),8,Y,mat_cd=MAT_000590; print_opt_cd=POPT_000001; siz_cd=SIZ_000057,58400,Y,1,1,,Y,,Y,,,2026-09-03T08:45:06+09:00
PRD_000055,낱장 자유형 스티커,기본,1,,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000315,8000,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000055,낱장 자유형 스티커,옵션변경(siz_cd),1,,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000258,4000,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000056,낱장 자유형 투명스티커,기본,1,,mat_cd=MAT_000592; print_opt_cd=POPT_000001; siz_cd=SIZ_000258,7000,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000056,낱장 자유형 투명스티커,옵션변경(siz_cd),1,,mat_cd=MAT_000592; print_opt_cd=POPT_000001; siz_cd=SIZ_000315,14000,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000057,대형 자유형 스티커,기본,1,,mat_cd=MAT_000593; print_opt_cd=POPT_000001; siz_cd=SIZ_000199,16000,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
PRD_000058,반칼원형스티커,기본,4,,mat_cd=MAT_000584; print_opt_cd=POPT_000001; siz_cd=SIZ_000426,23200,Y,2,1,COMP_STK_PRINT,N,,Y,,,2026-09-03T08:45:06+09:00
