prd_cd,prd_nm,current_qty_unit_typ_cd,target_qty_unit_typ_cd,use_yn,_provenance
PRD_000146,아크릴키링,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴키링 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000147,아크릴마그넷,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴마그넷 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000148,아크릴뱃지,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴뱃지 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000149,아크릴집게,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴집게 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000150,아크릴스마트톡,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴스마트톡 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000151,맥세이프 스마트톡,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 맥세이프 스마트톡 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000152,아크릴명찰,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴명찰 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000153,아크릴명찰(골드실버),NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴명찰(골드실버) qty_unit NULL → QTY_UNIT.01(EA)
PRD_000154,아크릴 머리끈,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴 머리끈 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000155,아크릴볼펜,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴볼펜 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000156,아크릴지비츠,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴지비츠 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000157,아크릴네임택,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴네임택 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000158,아크릴 포카키링,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴 포카키링 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000159,아크릴 코스터,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴 코스터 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000160,아크릴자유형스탠드,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴자유형스탠드 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000161,판아크릴,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 판아크릴 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000162,아크릴포카스탠드,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴포카스탠드 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000163,아크릴미니파츠,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴미니파츠 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000164,아크릴코롯토,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴코롯토 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000165,포카코롯토,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 포카코롯토 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000166,아크릴카라비너,NULL,QTY_UNIT.01,N,C-4 굿즈→EA: 아크릴카라비너 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000168,아크릴입체코롯토,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴입체코롯토 qty_unit NULL → QTY_UNIT.01(EA)
PRD_000169,아크릴입체블럭,NULL,QTY_UNIT.01,Y,C-4 굿즈→EA: 아크릴입체블럭 qty_unit NULL → QTY_UNIT.01(EA)
