new_code,kind,가로,세로,라이브,권위,근거
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,20,없음,3520,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,교정(전치),50,30,2960,3040,라이브 전치 적재. 권위 r26~r35 c1~c11
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,30,없음,4480,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,40,없음,5520,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,교정(전치),30,50,3040,2960,라이브 전치 적재. 권위 r26~r35 c1~c11
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,50,없음,6320,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,60,없음,7360,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,70,없음,8160,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,80,없음,9120,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,90,없음,10160,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR15T_PRINT,신규(라이브 없음),120,100,없음,10960,권위에 있고 라이브에 없던 칸
ACRYLIC_CLEAR3T_PRINT,교정(전치),50,30,3700,3800,라이브 전치 적재. 권위 r4~r18 c1~c15
ACRYLIC_CLEAR3T_PRINT,교정(전치),30,50,3800,3700,라이브 전치 적재. 권위 r4~r18 c1~c15
ACRYLIC_MIRROR3T_PRINT,교정(전치),50,30,7400,7600,라이브 전치 적재. 권위 r42~r51 c1~c10
ACRYLIC_MIRROR3T_PRINT,교정(전치),30,50,7600,7400,라이브 전치 적재. 권위 r42~r51 c1~c10
POSTER_CLEARPVC_PRINT,신규(라이브 없음),600,1400,전치칸 55000,55000,권위에 있고 라이브에 없던 칸
POSTER_CLEARPVC_PRINT,신규(라이브 없음),800,1400,전치칸 61600,61600,권위에 있고 라이브에 없던 칸
POSTER_CLEARPVC_PRINT,신규(라이브 없음),1000,1400,전치칸 77000,77000,권위에 있고 라이브에 없던 칸
POSTER_CLEARPVC_PRINT,신규(라이브 없음),1200,1400,전치칸 92400,92400,권위에 있고 라이브에 없던 칸
POSTER_CLEARPVC_PRINT,신규(라이브 없음),600,1600,전치칸 55000,55000,권위에 있고 라이브에 없던 칸
POSTER_CLEARPVC_PRINT,신규(라이브 없음),800,1600,전치칸 70400,70400,권위에 있고 라이브에 없던 칸
