frm_cd,comp_cd,disp_seq,addtn_yn
CARDMIRROR_,CARDMIRROR_BUNDLE,,""
FORM_ACC_PPCASE,ACC_PPCASE,,""
FORM_GOODS_STAMP,GOODS_STAMP,,""
PINBOTTON_,PINBUTTON_,,""
PRF_ACC_ENV_CLR_BDL,COMP_ACC_ENV_CLR_BDL,1,""
PRF_ACC_ENV_ETC,COMP_ACC_ENV_ETC,1,""
PRF_ACC_ENV_OPP_ADH,COMP_ACC_ENV_OPP_ADH,1,""
PRF_ACC_ENV_OPP_NADH,COMP_ACC_ENV_OPP_NADH,1,""
PRF_ACC_ENV_TRACING,COMP_ACC_ENV_TRACING,1,""
PRF_ACC_PART_MAT,COMP_ACC_PART_MAT,1,""
PRF_ACC_WOOD_SIZ,ACC_WOODHANGER,,""
PRF_ACRYL_3DBLOCK_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_ACRYL_3DCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_ACRYL_BADGE,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_BADGE,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_BALLPEN,COMP_ACRYL_BALLPEN,1,N
PRF_ACRYL_CARABINER,COMP_ACRYL_CARABINER,1,N
PRF_ACRYL_CLIP,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_CLIP,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_FREESTAND,COMP_ACRYL_FREESTAND,1,N
PRF_ACRYL_HAIRBAND,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_HAIRBAND,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_KEYRING,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_KEYRING,COMP_ACRYL_FINISH,,""
PRF_ACRYL_MAGNET,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_MAGNET,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_MINIPART,COMP_ACRYL_MINIPART_TBD,1,N
PRF_ACRYL_NAMETAG,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_NAMETAG,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_NAMETAG_GS,COMP_ACRYL_FINISH,,""
PRF_ACRYL_NAMETAG_GS,COMP_ACRYL_NAMETAG_GS,1,N
PRF_ACRYL_PHCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_ACRYL_SHAKER_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_ACRYL_SHCOROTTO_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_ACRYL_SMARTTOK,COMP_ACRYL_CLEAR3T,1,N
PRF_ACRYL_SMARTTOK,COMP_ACRYL_FINISH,2,""
PRF_ACRYL_ZIBITZ2_TBD,COMP_ACRYL_PENDING_TBD,1,N
PRF_BIND_MUSEON,COMP_BIND_MUSEON,1,Y
PRF_BIND_MUSEON_FOIL,COMP_BIND_MUSEON,1,Y
PRF_BIND_MUSEON_FOIL,COMP_EMBOSS_PROC_LARGE_STD,6,Y
PRF_BIND_MUSEON_FOIL,COMP_EMBOSS_SETUP_LARGE,5,Y
PRF_BIND_MUSEON_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,4,Y
PRF_BIND_MUSEON_FOIL,COMP_FOIL_PROC_LARGE_STD,3,Y
PRF_BIND_MUSEON_FOIL,COMP_FOIL_SETUP_LARGE,2,Y
PRF_BIND_PUR,COMP_BIND_PUR,1,Y
PRF_BIND_PUR_FOIL,COMP_BIND_PUR,1,Y
PRF_BIND_PUR_FOIL,COMP_EMBOSS_PROC_LARGE_STD,6,Y
PRF_BIND_PUR_FOIL,COMP_EMBOSS_SETUP_LARGE,5,Y
PRF_BIND_PUR_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,4,Y
PRF_BIND_PUR_FOIL,COMP_FOIL_PROC_LARGE_STD,3,Y
PRF_BIND_PUR_FOIL,COMP_FOIL_SETUP_LARGE,2,Y
PRF_BIND_SUM,COMP_BIND_JUNGCHEOL,1,Y
PRF_BIND_TWINRING,COMP_BIND_TWINRING,1,Y
PRF_BOOK_COVER,COMP_COAT_MATTE,2,Y
PRF_BOOK_COVER,COMP_COVER_LEATHER,4,""
PRF_BOOK_COVER,COMP_PAPER,3,Y
PRF_BOOK_COVER,COMP_PRINT_DIGITAL_S1,1,Y
PRF_CLR_ACRYL,COMP_ACRYL_CLEAR3T,1,N
PRF_COROTTO_ACRYL,COMP_ACRYL_COROTTO,1,N
PRF_COROTTO_ACRYL_MTX,COMP_ACRYL_COROTTO,1,""
PRF_DGP_A,COMP_COAT_GLOSSY,,""
PRF_DGP_A,COMP_COAT_MATTE,,""
PRF_DGP_A,COMP_PAPER,2,Y
PRF_DGP_A,COMP_PP_CORNER_RIGHT,3,""
PRF_DGP_A,COMP_PP_CREASE_1L,4,Y
PRF_DGP_A,COMP_PP_PERF_1L,5,Y
PRF_DGP_A,COMP_PP_VARIMG_1EA,7,Y
PRF_DGP_A,COMP_PP_VARTEXT_1EA,6,Y
PRF_DGP_A,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,1,Y
PRF_DGP_A_FOIL,COMP_COAT_GLOSSY,,""
PRF_DGP_A_FOIL,COMP_COAT_MATTE,,""
PRF_DGP_A_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,10,Y
PRF_DGP_A_FOIL,COMP_FOIL_PROC_LARGE_STD,9,Y
PRF_DGP_A_FOIL,COMP_FOIL_SETUP_LARGE,8,Y
PRF_DGP_A_FOIL,COMP_PAPER,2,Y
PRF_DGP_A_FOIL,COMP_PP_CORNER_RIGHT,3,""
PRF_DGP_A_FOIL,COMP_PP_CREASE_1L,4,Y
PRF_DGP_A_FOIL,COMP_PP_PERF_1L,5,Y
PRF_DGP_A_FOIL,COMP_PP_VARIMG_1EA,7,Y
PRF_DGP_A_FOIL,COMP_PP_VARTEXT_1EA,6,Y
PRF_DGP_A_FOIL,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_A_FOIL,COMP_PRINT_SPOT_WHITE_S1,1,Y
PRF_DGP_B,COMP_CUT_FULL_DIECUT,2,Y
PRF_DGP_B,COMP_PAPER,1,Y
PRF_DGP_B,COMP_PRINT_DIGITAL_S1,0,""
PRF_DGP_C,COMP_CUT_FULL_DIECUT,,""
PRF_DGP_C,COMP_CUT_PERF_1H6,3,Y
PRF_DGP_C,COMP_PAPER,1,Y
PRF_DGP_C,COMP_PP_CREASE_1L,2,""
PRF_DGP_C,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_C_6CR,COMP_CUT_PERF_1H6,3,Y
PRF_DGP_C_6CR,COMP_FOLD_CARD_6CR,2,Y
PRF_DGP_C_6CR,COMP_PAPER,1,Y
PRF_DGP_C_6CR,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_CAL_DESK,COMP_BIND_CAL_WALL,2,Y
PRF_DGP_CAL_DESK,COMP_PAPER,1,Y
PRF_DGP_CAL_DESK,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_CAL_WIDE,COMP_BIND_CAL_WALL_OPT,,""
PRF_DGP_CAL_WIDE,COMP_CUT_PERF_CAL,,""
PRF_DGP_CAL_WIDE,COMP_PAPER,1,Y
PRF_DGP_CAL_WIDE,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_D,COMP_COAT_GLOSSY,1,Y
PRF_DGP_D,COMP_COAT_MATTE,2,Y
PRF_DGP_D,COMP_CUT_PERF_1H6,4,Y
PRF_DGP_D,COMP_PAPER,3,Y
PRF_DGP_D,COMP_PP_CORNER_RIGHT,9,Y
PRF_DGP_D,COMP_PP_CREASE_1L,5,Y
PRF_DGP_D,COMP_PP_PERF_1L,6,Y
PRF_DGP_D,COMP_PP_VARIMG_1EA,8,Y
PRF_DGP_D,COMP_PP_VARTEXT_1EA,7,Y
PRF_DGP_D,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_E,COMP_COAT_GLOSSY,1,Y
PRF_DGP_E,COMP_COAT_MATTE,2,Y
PRF_DGP_E,COMP_CUT_PERF_1H6,8,Y
PRF_DGP_E,COMP_FOLD_LEAF_3FOLD,5,Y
PRF_DGP_E,COMP_FOLD_LEAF_4ACC,6,Y
PRF_DGP_E,COMP_FOLD_LEAF_4GATE,7,Y
PRF_DGP_E,COMP_FOLD_LEAF_HALF,4,Y
PRF_DGP_E,COMP_PAPER,3,Y
PRF_DGP_E,COMP_PP_VARIMG_1EA,10,Y
PRF_DGP_E,COMP_PP_VARTEXT_1EA,9,Y
PRF_DGP_E,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_E_FOIL,COMP_COAT_GLOSSY,1,Y
PRF_DGP_E_FOIL,COMP_COAT_MATTE,2,Y
PRF_DGP_E_FOIL,COMP_CUT_PERF_1H6,8,Y
PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL,11,Y
PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_STD,10,Y
PRF_DGP_E_FOIL,COMP_FOIL_SETUP_LARGE,9,Y
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_3FOLD,5,Y
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_4ACC,6,Y
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_4GATE,7,Y
PRF_DGP_E_FOIL,COMP_FOLD_LEAF_HALF,4,Y
PRF_DGP_E_FOIL,COMP_PAPER,3,Y
PRF_DGP_E_FOIL,COMP_PP_VARIMG_1EA,13,Y
PRF_DGP_E_FOIL,COMP_PP_VARTEXT_1EA,12,Y
PRF_DGP_E_FOIL,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_F,COMP_CUT_FULL_DIECUT,2,Y
PRF_DGP_F,COMP_PAPER,1,Y
PRF_DGP_F,COMP_PRINT_DIGITAL_S1,0,Y
PRF_DGP_INNER,COMP_PAPER,2,Y
PRF_DGP_INNER,COMP_PRINT_DIGITAL_S1,1,Y
PRF_DGP_INNER_CAL,COMP_CUT_PERF_CAL,2,""
PRF_DGP_INNER_CAL,COMP_PAPER,1,""
PRF_DGP_INNER_CAL,COMP_PRINT_DIGITAL_S1,0,""
PRF_ENV_MAKING,COMP_ENV_MAKING,1,Y
PRF_FOLD_SUM,COMP_FOLD_CARD_2H,1,Y
PRF_GANGPAN_FIXED,COMP_GANGPAN_PRINT,1,Y
PRF_GOODS_FIX_186,COMP_GOODS_FIX_186,1,N
PRF_GOODS_FIX_187,COMP_GOODS_FIX_187,1,N
PRF_GOODS_FIXED_SIZ,COMP_GOODS_FIXED_SIZ,1,N
PRF_GOODS_SHAKER_COROTTO,COMP_GOODS_SHAKER_COROTTO,1,""
PRF_HC_MUSEON_SET,COMP_BIND_SSABARI,1,""
PRF_HC_TWINRING_SET,COMP_BIND_HC_TWINRING,1,Y
PRF_LEATHER_RINGBINDER_SET,COMP_HC_MUSEON_COVERBIND,1,Y
PRF_NAMECARD_CLEAR,COMP_NAMECARD_CLEAR_S1,1,Y
PRF_NAMECARD_CLEAR,COMP_PP_CORNER_RIGHT,2,""
PRF_NAMECARD_COAT,COMP_NAMECARD_COAT,1,Y
PRF_NAMECARD_COAT,COMP_PP_CORNER_RIGHT,2,""
PRF_NAMECARD_EMBOSS,COMP_EMBOSS_PROC_SMALL_STD,3,""
PRF_NAMECARD_EMBOSS,COMP_EMBOSS_SETUP_SMALL,2,""
PRF_NAMECARD_EMBOSS,COMP_NAMECARD_PREMIUM,1,""
PRF_NAMECARD_EMBOSS,COMP_PP_CORNER_RIGHT,4,""
PRF_NAMECARD_FIXED,COMP_NAMECARD_STD,1,Y
PRF_NAMECARD_FIXED,COMP_PP_CORNER_RIGHT,2,""
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,4,Y
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_PROC_SMALL_STD,3,Y
PRF_NAMECARD_FIXED_FOIL,COMP_FOIL_SETUP_SMALL,2,Y
PRF_NAMECARD_FIXED_FOIL,COMP_NAMECARD_STD,1,Y
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL,1,Y
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_SETUP_S1_STD,2,Y
PRF_NAMECARD_FOIL,COMP_NAMECARD_FOIL_SETUP_S2_STD,3,Y
PRF_NAMECARD_MINISHAPE,COMP_NAMECARD_MINISHAPE,1,Y
PRF_NAMECARD_PEARL,COMP_NAMECARD_PEARL,1,Y
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,4,Y
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_PROC_SMALL_STD,3,Y
PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_SETUP_SMALL,2,Y
PRF_NAMECARD_PEARL_FOIL,COMP_NAMECARD_PEARL,1,Y
PRF_NAMECARD_PEARL_FOIL,COMP_PP_CORNER_RIGHT,5,""
PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM,1,Y
PRF_NAMECARD_PREMIUM,COMP_PP_CORNER_RIGHT,4,Y
PRF_NAMECARD_PREMIUM,COMP_PP_VARIMG_1EA,3,Y
PRF_NAMECARD_PREMIUM,COMP_PP_VARTEXT_1EA,2,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,4,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_STD,3,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_SETUP_SMALL,2,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM,1,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_CORNER_RIGHT,7,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_VARIMG_1EA,6,Y
PRF_NAMECARD_PREMIUM_FOIL,COMP_PP_VARTEXT_1EA,5,Y
PRF_NAMECARD_SHAPE,COMP_NAMECARD_SHAPE,1,Y
PRF_NAMECARD_WHITE,COMP_NAMECARD_SPOT,2,Y
PRF_NAMECARD_WHITE,COMP_NAMECARD_WHITE,1,Y
PRF_NAMECARD_WHITE,COMP_PP_CORNER_RIGHT,3,""
PRF_PCB_FIXED,COMP_PCB,1,Y
PRF_PHOTOBOOK_FIXED,COMP_PHOTOBOOK_BASE,1,Y
PRF_PHOTOBOOK_INNER,COMP_PHOTOBOOK_PAGE,1,Y
PRF_PHOTOCARD_CLEAR,COMP_PHOTOCARD_CLEAR_SET,1,Y
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_CLEAR_SET,2,Y
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_SET,1,Y
PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_BULK,2,Y
PRF_POSTER_ACRYLSTK_GLOSS,COMP_POSTER_ACRYLSTK_GLOSS,1,Y
PRF_POSTER_ACRYLSTK_MIRROR,COMP_POSTER_ACRYLSTK_MIRROR,1,Y
PRF_POSTER_ADH_CLEAR,COMP_POSTER_ADH_CLEAR_PVC,1,Y
PRF_POSTER_ADH_WP,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_POSTER_ARTFABRIC,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_POSTER_ARTPAPER,COMP_POSTER_ARTPAPER_MATTE,1,Y
PRF_POSTER_ARTPRINT,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_POSTER_BANNER_M,COMP_BANNER_MESH_ADDON,,""
PRF_POSTER_BANNER_M,COMP_BANNER_MESH_OPTION,,""
PRF_POSTER_BANNER_M,COMP_POSTER_BANNER_MESH,1,Y
PRF_POSTER_BANNER_N,COMP_BANNER_ADDON,,""
PRF_POSTER_BANNER_N,COMP_BANNER_OPTION,,""
PRF_POSTER_BANNER_N,COMP_POSTER_BANNER_NORMAL,1,Y
PRF_POSTER_CANVAS,COMP_POSTER_CANVAS_FABRIC,1,Y
PRF_POSTER_CANVAS_HANGING,COMP_POSTER_CANVAS_HANGING,1,""
PRF_POSTER_CANVAS_HANGING,COMP_POSTEROPT_CANVAS_HANGING_WOODHANGER,2,Y
PRF_POSTER_FIXED,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_BOARD,2,Y
PRF_POSTER_FOMEXBOARD,COMP_POSTER_FOMEXBOARD_BOARD,1,Y
PRF_POSTER_FRAMELESS,COMP_POSTER_FRAMELESS_WOOD,1,Y
PRF_POSTER_JOKJA,COMP_POSTER_JOKJA,1,Y
PRF_POSTER_LEATHER_AP,COMP_POSTER_CANVAS_FABRIC,1,Y
PRF_POSTER_LEATHER_FRAME,COMP_POSTER_LEATHER_FRAME,1,Y
PRF_POSTER_LINEN,COMP_POSTER_LINEN_FABRIC,1,Y
PRF_POSTER_LINEN,COMP_POSTEROPT_LINEN_FINISH,2,Y
PRF_POSTER_LINEN_WOODBONG,COMP_POSTER_LINEN_WOODBONG,1,Y
PRF_POSTER_LINEN_WOODBONG,COMP_POSTEROPT_LINEN_WOODBONG_WOODBONG,2,Y
PRF_POSTER_MESH,COMP_POSTER_CANVAS_FABRIC,1,Y
PRF_POSTER_MESH_BANNER,COMP_POSTER_MESH_BANNER,1,Y
PRF_POSTER_MINI_BANNER,COMP_POSTER_MINI_BANNER,1,Y
PRF_POSTER_MINI_STANDBOARD,COMP_POSTER_MINI_STANDBOARD,1,Y
PRF_POSTER_PET_BANNER,COMP_POSTER_PET_BANNER,1,Y
PRF_POSTER_SHEETCUT_HOLO,COMP_POSTER_SHEETCUT_HOLO,1,Y
PRF_POSTER_SHEETCUT_MATTE,COMP_POSTER_SHEETCUT_MATTE,1,Y
PRF_POSTER_TYVEK,COMP_POSTER_CANVAS_FABRIC,1,Y
PRF_POSTER_WATERPROOF,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_STK_FIXED,COMP_STK_PRINT,1,Y
PRF_STK_PACK,COMP_STK_PACK,1,Y
PRF_STK_TATTOO,COMP_STK_TATTOO,1,Y
PRF_STN_DIARY_HARD,COMP_STN_DIARY_HARD,1,Y
PRF_STN_DIARY_LHARD,COMP_STN_DIARY_LHARD,1,Y
PRF_STN_DIARY_LSOFT,COMP_STN_DIARY_LSOFT,1,Y
PRF_STN_DIARY_SOFT,COMP_STN_DIARY_SOFT,1,Y
PRF_STN_JUNGCHEOL,COMP_STN_JUNGCHEOL,1,Y
PRF_STN_MEMOPAD,COMP_STN_MEMOPAD,1,Y
PRF_STN_MONTHLY,COMP_STN_MONTHLY,1,Y
PRF_STN_SPRINGNOTE,COMP_STN_SPRINGNOTE,1,Y
PRF_STN_SPRINGNOTEBK,COMP_STN_SPRINGNOTEBK,1,Y
PRF_TTEOKME_FIXED,COMP_TTEOKME,1,Y
PRF_ZIBITZ_ACRYL,COMP_ACRYL_FINISH,1,""
