comp_cd,comp_nm,comp_typ_cd,prc_typ_cd,use_dims,use_yn,del_yn
COMP_PP_VARIMG_2EA,가변이미지 2개,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,Y
COMP_PP_VARIMG_3EA,가변이미지 3개,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,Y
COMP_PP_VARTEXT_1EA,가변텍스트,PRC_COMPONENT_TYPE.04,PRICE_TYPE.03,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,N
COMP_PP_VARTEXT_2EA,가변텍스트 2개,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,Y
COMP_PP_VARTEXT_3EA,가변텍스트 3개,PRC_COMPONENT_TYPE.04,PRICE_TYPE.01,"[""proc_cd"", ""min_qty"", ""proc_grp:PROC_000085""]",Y,Y
COMP_PRINT_DIGITAL_S1,디지털인쇄,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,N
COMP_PRINT_DIGITAL_S2,디지털인쇄비,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""proc_cd"", ""plt_siz_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000001""]",Y,Y
COMP_PRINT_SPOT_CLEAR_S1,별색인쇄비 클리어(단면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_CLEAR_S2,별색인쇄비 클리어(양면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_GOLD_S1,별색인쇄비 금색(단면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_GOLD_S2,별색인쇄비 금색(양면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_PINK_S1,별색인쇄비 핑크(단면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_PINK_S2,별색인쇄비 핑크(양면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_SILVER_S1,별색인쇄비 은색(단면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_SILVER_S2,별색인쇄비 은색(양면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""spot_side_cnt"", ""min_qty"", ""proc_grp:PROC_000007""]",Y,N
COMP_PRINT_SPOT_WHITE_S2,별색인쇄비 화이트(양면),PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""plt_siz_cd"", ""proc_cd"", ""print_opt_cd"", ""min_qty"", ""proc_grp:PROC_000007""]",N,Y
COMP_STK_PACK,스티커 완제품가 팩(54장1세트),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STK_PRINT,스티커 완제품가(소재·규격),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N
COMP_STK_TATTOO,타투스티커 완제품가(3장세트),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""mat_cd"", ""min_qty""]",Y,N
COMP_STN_DIARY_HARD,만년다이어리(하드커버) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_DIARY_LHARD,만년다이어리(레더하드커버) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_DIARY_LSOFT,만년다이어리(레더소프트커버) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_DIARY_SOFT,만년다이어리(소프트커버) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_JUNGCHEOL,중철노트 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_MEMOPAD,메모패드 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_MONTHLY,먼슬리플래너 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_SPRINGNOTE,스프링노트 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_STN_SPRINGNOTEBK,스프링수첩 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_TTEOKME,떡메모지 완제품가(권당장수),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N
CUT_FULL_DIECUT,커팅(완칼) 후가공,PRC_COMPONENT_TYPE.04,PRICE_TYPE.02,"[""plt_siz_cd"", ""proc_cd"", ""min_qty"", ""proc_grp:PROC_000053""]",N,Y
GOODS_STAMP,만년스탬프,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
PINBUTTON_,핀버튼,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""bdl_qty"", ""min_qty""]",Y,N
