comp_cd,comp_nm,comp_typ_cd,prc_typ_cd,use_dims,use_yn,del_yn
COMP_NAMECARD_PEARL_S2,펄명함(스타드림) 완제품가 양면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",N,Y
COMP_NAMECARD_PREMIUM,프리미엄명함A 완제품가(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N
COMP_NAMECARD_PREMIUM_S1_MGA,프리미엄명함A 완제품가 단면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",N,Y
COMP_NAMECARD_PREMIUM_S1_MGB,프리미엄명함B 완제품가 단면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",N,Y
COMP_NAMECARD_PREMIUM_S2_MGA,프리미엄명함A 완제품가 양면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",N,Y
COMP_NAMECARD_PREMIUM_S2_MGB,프리미엄명함B 완제품가 양면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",N,Y
COMP_NAMECARD_SHAPE,모양명함 완제품가(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""print_opt_cd"", ""min_qty""]",Y,N
COMP_NAMECARD_SHAPE_S1,모양명함 완제품가 단면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",N,Y
COMP_NAMECARD_SHAPE_S2,모양명함 완제품가 양면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""min_qty"", ""print_opt_cd""]",N,Y
COMP_NAMECARD_SPOT,명함 별색인쇄비,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""proc_cd"", ""spot_side_cnt"", ""min_qty"", ""proc_grp:PROC_000007""]",Y,N
COMP_NAMECARD_STD,스탠다드명함 완제품가(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""print_opt_cd"", ""min_qty""]",Y,N
COMP_NAMECARD_STD_S1,스탠다드명함 완제품가 단면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",N,Y
COMP_NAMECARD_STD_S2,스탠다드명함 완제품가 양면(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""mat_cd"", ""min_qty"", ""print_opt_cd""]",N,Y
COMP_NAMECARD_WHITE,화이트인쇄명함 완제품가(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""proc_cd"", ""spot_side_cnt"", ""min_qty"", ""proc_grp:PROC_000007""]",Y,N
COMP_NAMECARD_WHITE_S1W_CL,화이트인쇄명함 완제품가 단면·코팅(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",N,Y
COMP_NAMECARD_WHITE_S1W_NOCL,화이트인쇄명함 완제품가 단면·무코팅(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",N,Y
COMP_NAMECARD_WHITE_S2W_CL,화이트인쇄명함 완제품가 양면·코팅(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",N,Y
COMP_NAMECARD_WHITE_S2W_NOCL,화이트인쇄명함 완제품가 양면·무코팅(용지포함),PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000081""]",N,Y
COMP_PAPER,용지비(종이별 절가),PRC_COMPONENT_TYPE.03,PRICE_TYPE.01,"[""mat_cd"", ""plt_siz_cd"", ""min_qty""]",Y,N
COMP_PCB,엽서북(내지) 사이즈/양단면/페이지수별 단가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""print_opt_cd"", ""page_cnt"", ""min_qty""]",Y,N
COMP_PCB_S1_20P,엽서북 완제품가 사이즈/양단면/페이지수별 단가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""print_opt_cd"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000082""]",N,Y
COMP_PCB_S1_30P,엽서북 완제품가 단면·30p,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",N,Y
COMP_PCB_S2_20P,엽서북 완제품가 양면·20p,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",N,Y
COMP_PCB_S2_30P,엽서북 완제품가 양면·30p,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty"", ""print_opt_cd"", ""opt_cd"", ""opt_grp:OPT_000082""]",N,Y
COMP_PHOTOBOOK_BASE,포토북 완제품가 기본24P(사이즈·표지타입별),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""opt_cd"", ""min_qty""]",Y,N
COMP_PHOTOBOOK_PAGE,포토북 추가2P당(사이즈별),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_PHOTOCARD_BULK,포토카드 완제품가 대량,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""min_qty""]",Y,N
COMP_PHOTOCARD_CLEAR_SET,포토카드 완제품가 투명세트,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""min_qty""]",Y,N
COMP_PHOTOCARD_SET,포토카드 완제품가 일반세트,PRC_COMPONENT_TYPE.06,PRICE_TYPE.02,"[""siz_cd"", ""bdl_qty"", ""opt_cd"", ""min_qty"", ""opt_grp:OPT_000084""]",Y,N
COMP_POPT_BNR_GAKMOK_STR_900_4,포스터 추가옵션 추가가격(별도 add-on 통가격) [COMP_POPT_BNR_GAKMOK_STR_900_4],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"",N,Y
COMP_POPT_BNR_GAKMOK_STR_900_4_GT,현수막 각목(900mm 초과)+끈(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N
COMP_POPT_BNR_GAKMOK_STR_900_4_LE,현수막 각목(900mm이하)+끈(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000004""]",Y,N
COMP_POSTER_ACRYLSTK_GLOSS,유광아크릴스티커 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_ACRYLSTK_MIRROR,미러아크릴스티커 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_ADH_CLEAR_PVC,실사 완제품가 (접착투명포스터),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N
COMP_POSTER_ADH_WATERPROOF_PVC,접착방수포스터 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_POSTER_ARTFABRIC_GRAPHIC,아트패브릭포스터 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_POSTER_ARTPAPER_MATTE,실사 완제품가 (아트페이퍼포스터),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N
COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_POSTER_BANNER_MESH,메쉬현수막 출력,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_POSTER_BANNER_NORMAL,일반현수막 출력,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_POSTER_CANVAS_FABRIC,실사 완제품가 (캔버스패브릭포스터·레더아트프린트·메쉬프린트·타이벡프린트),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""min_qty""]",Y,N
COMP_POSTER_CANVAS_HANGING,캔버스 행잉포스터 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height"", ""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_FOAMBOARD_BLACK,폼보드(블랙) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd""]",N,Y
COMP_POSTER_FOAMBOARD_BOARD,폼보드(보드칼라×사이즈) 완제품가,PRC_COMPONENT_TYPE.01,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_FOAMBOARD_WHITE,폼보드(화이트) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd""]",N,Y
COMP_POSTER_FOMEXBOARD_BOARD,포맥스보드(두께×사이즈) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_FOMEXBOARD_WHITE3MM,포맥스보드(화이트3mm) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd""]",N,Y
COMP_POSTER_FOMEXBOARD_WHITE5MM,포맥스보드(화이트5mm) 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd""]",N,Y
COMP_POSTER_FRAMELESS_WOOD,프레임리스우드액자 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_JOKJA,족자포스터 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_LEATHER_ARTPRINT,레더아트프린트 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_POSTER_LEATHER_FRAME,레더아트액자 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_LINEN_FABRIC,실사 완제품가 (린넨패브릭포스터),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",Y,N
COMP_POSTER_LINEN_WOODBONG,린넨우드봉족자 출력 가공,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_MESH_BANNER,메쉬배너 출력가공,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_MESH_PRINT,메쉬프린트 완제품가[레거시],PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_width"", ""siz_height""]",N,Y
COMP_POSTER_MINI_BANNER,미니배너 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTER_MINI_STANDBOARD,미니보드스탠딩 완제품가,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""siz_cd"", ""min_qty""]",Y,N
COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,메쉬현수막 큐방(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000023""]",Y,Y
COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,메쉬현수막 끈(4개) 추가가격,PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""opt_cd"", ""opt_grp:OPT_000023""]",Y,Y
COMP_POSTEROPT_BANNER_MESH_PROC_OPT,포스터 추가옵션 추가가격(별도 add-on 통가격),PRC_COMPONENT_TYPE.06,PRICE_TYPE.01,"[""min_qty""]",N,Y
