comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,spot_side_cnt,page_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price
1,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,1,-1,-1,2000.00
2,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,1,-1,-1,4000.00
5,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,2,-1,-1,1500.00
6,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,2,-1,-1,3000.00
9,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,5,-1,-1,1200.00
10,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,5,-1,-1,2400.00
13,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,10,-1,-1,1000.00
14,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,10,-1,-1,2000.00
17,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,20,-1,-1,800.00
18,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,20,-1,-1,1600.00
21,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,30,-1,-1,800.00
22,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,30,-1,-1,1600.00
25,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,40,-1,-1,700.00
26,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,40,-1,-1,1400.00
29,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,50,-1,-1,700.00
30,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,50,-1,-1,1400.00
33,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,70,-1,-1,600.00
34,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,70,-1,-1,1200.00
37,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,100,-1,-1,500.00
38,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,100,-1,-1,1000.00
41,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,150,-1,-1,400.00
42,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,2,-1,-1,-1,150,-1,-1,800.00
45,COMP_COAT_MATTE,2026-06-01,"","","",PROC_000015,"","",SIZ_000499,1,-1,-1,-1,200,-1,-1,300.00
