sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
포토북(가격포함),cell,3,AZ3,AZ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BA3,BA,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BB3,BB,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BC3,BC,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,3,BD3,BD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,A4,구분,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,B4,ID,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,C4,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,D4,상품명,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,E4,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,F4,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,G4,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,H4,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,I4,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,J4,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,K4,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,L4,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,M4,내지종이,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,N4,내지인쇄,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,O4,내지페이지(편집기)_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,P4,내지페이지(편집기)_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Q4,내지페이지(편집기)_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,R4,표지타입(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,S4,표지사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,T4,표지사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,U4,표지사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,V4,표지사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,W4,표지사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,X4,표지사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Y4,표지사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,Z4,표지종이사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AA4,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AB4,제본사양_제본,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AC4,제본사양_면지,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AD4,제본사양_책등,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AE4,제작수량_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AF4,제작수량_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AG4,제작수량_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AH4,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AI4,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AJ4,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AK4,가격_기본(24P),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AL4,가격_추가(2P)당,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AM4,AM,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AN4,AN,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AO4,AO,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AP4,AP,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AQ4,AQ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AR4,AR,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AS4,AS,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AT4,AT,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AU4,AU,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AV4,AV,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AW4,AW,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AX4,AX,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AY4,AY,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,AZ4,AZ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,BA4,BA,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,BB4,BB,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,BC4,BC,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,4,BD4,BD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,A5,구분,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,B5,ID,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,C5,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,D5,상품명,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,E5,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,F5,내지파일사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,G5,내지파일사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,H5,내지파일사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,I5,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,J5,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,K5,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,L5,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,M5,내지종이,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,N5,내지인쇄,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,O5,내지페이지(편집기)_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,P5,내지페이지(편집기)_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,Q5,내지페이지(편집기)_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,R5,표지타입(필수),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,S5,표지사양_MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,T5,표지사양_블리드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,U5,표지사양_작업사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,V5,표지사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,W5,표지사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,X5,표지사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,Y5,표지사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,Z5,표지종이사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AA5,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AB5,제본사양_제본,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AC5,제본사양_면지,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AD5,제본사양_책등,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AE5,제작수량_최소,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AF5,제작수량_최대,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AG5,제작수량_증가,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AH5,주문방법(필수)_업로드,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AI5,주문방법(필수)_편집기,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AJ5,가이드파일,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AK5,가격_기본(24P),,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AL5,가격_추가(2P)당,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AM5,AM,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AN5,AN,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AO5,AO,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AP5,AP,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AQ5,AQ,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AR5,AR,,,Values must be of type <class 'str'>,,,,,,,,
포토북(가격포함),cell,5,AS5,AS,,,Values must be of type <class 'str'>,,,,,,,,
