PRD_000016\t프리미엄엽서\t7\t2\t1\t21\t6\t0\t0
PRD_000017\t코팅엽서\t7\t2\t1\t2\t4\t0\t0
PRD_000018\t스탠다드엽서\t5\t2\t1\t7\t6\t0\t0
PRD_000019\t투명엽서\t4\t1\t5\t1\t2\t0\t0
PRD_000020\t화이트인쇄엽서\t4\t0\t1\t4\t0\t0\t0
PRD_000021\t핑크별색엽서\t4\t2\t1\t3\t0\t0\t0
PRD_000022\t금은별색엽서\t4\t2\t1\t3\t0\t0\t0
PRD_000023\t모양엽서\t1\t2\t1\t3\t0\t0\t0
PRD_000024\t포토카드\t1\t2\t1\t1\t4\t1\t0
PRD_000025\t투명포토카드\t1\t1\t2\t1\t2\t0\t0
PRD_000026\t종이슬로건\t2\t2\t1\t1\t2\t0\t0
PRD_000027\t2단접지카드\t5\t1\t1\t14\t12\t0\t0
PRD_000028\t미니접지카드\t4\t1\t1\t14\t0\t0\t0
PRD_000029\t3단접지카드\t3\t1\t1\t14\t12\t0\t0
PRD_000030\t지그재그엽서\t2\t1\t2\t1\t2\t0\t0
PRD_000031\t프리미엄명함\t3\t2\t1\t16\t12\t0\t0
PRD_000032\t코팅명함\t2\t2\t1\t2\t4\t0\t0
PRD_000033\t스탠다드명함\t2\t2\t1\t5\t4\t0\t0
PRD_000034\t펄명함\t1\t2\t1\t4\t10\t0\t0
PRD_000035\t모양명함\t1\t2\t1\t1\t0\t0\t0
PRD_000036\t미니모양명함\t1\t2\t1\t1\t0\t0\t0
PRD_000037\t오리지널박명함\t1\t0\t1\t5\t8\t0\t0
PRD_000038\t형압명함\t1\t2\t1\t0\t2\t0\t0
PRD_000039\t투명명함\t1\t1\t2\t1\t2\t0\t0
PRD_000040\t화이트인쇄명함\t1\t0\t1\t4\t2\t0\t0
PRD_000041\t스탠다드 쿠폰/상품권\t2\t2\t1\t4\t4\t0\t0
PRD_000042\t프리미엄 쿠폰/상품권\t2\t2\t1\t8\t12\t0\t0
PRD_000043\t인쇄배경지(OPP봉투타입)\t6\t2\t1\t1\t0\t0\t0
PRD_000044\t인쇄배경지(투명케이스타입)\t2\t2\t1\t1\t0\t0\t0
PRD_000045\t인쇄헤더택\t4\t1\t1\t1\t0\t0\t0
PRD_000046\t라벨/택\t3\t2\t1\t1\t0\t0\t0
PRD_000047\t소량전단지\t4\t2\t1\t47\t4\t0\t0
PRD_000048\t접지리플렛\t0\t1\t1\t47\t4\t0\t0
PRD_000049\t와이드 접지리플렛\t0\t1\t3\t5\t6\t0\t0
PRD_000050\t봉투제작\t0\t0\t4\t3\t0\t0\t0
PRD_000051\t썬캡\t1\t1\t1\t1\t0\t0\t0
