prd_cd,mat_cd,usage_cd,del_yn,mat_typ_cd
PRD_000108,MAT_000090,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000107,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000113,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000114,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000115,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000116,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000123,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000127,USAGE.07,N,MAT_TYPE.01
PRD_000108,MAT_000252,USAGE.07,N,MAT_TYPE.15
PRD_000108,MAT_000253,USAGE.07,N,MAT_TYPE.07
PRD_000109,MAT_000090,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000107,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000113,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000114,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000115,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000116,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000127,USAGE.07,N,MAT_TYPE.01
PRD_000109,MAT_000253,USAGE.07,N,MAT_TYPE.07
PRD_000109,MAT_000254,USAGE.07,N,MAT_TYPE.07
PRD_000110,MAT_000090,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000098,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000107,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000113,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000114,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000115,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000116,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000118,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000123,USAGE.07,N,MAT_TYPE.01
PRD_000110,MAT_000127,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000074,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000079,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000080,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000081,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000082,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000089,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000090,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000091,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000092,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000097,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000098,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000099,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000107,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000108,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000113,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000114,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000115,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000116,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000118,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000119,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000123,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000127,USAGE.07,N,MAT_TYPE.01
PRD_000111,MAT_000253,USAGE.07,N,MAT_TYPE.07
PRD_000112,MAT_000093,USAGE.07,N,MAT_TYPE.01
PRD_000112,MAT_000111,USAGE.07,N,MAT_TYPE.01
PRD_000112,MAT_000112,USAGE.07,N,MAT_TYPE.01
PRD_000112,MAT_000253,USAGE.07,N,MAT_TYPE.07
