prd_cd,prd_nm,current_nonspec_yn,target_nonspec_yn,nonspec_width_min,nonspec_width_max,nonspec_height_min,nonspec_height_max,use_yn,_provenance,_sheet
PRD_000146,아크릴키링,N,Y,20.00,100.00,20.00,100.00,Y,L1:아크릴키링 사용자입력+비규격 가로20~100/세로20~100 → nonspec 범위(G-AC-6),acrylic
PRD_000147,아크릴마그넷,N,Y,20.00,80.00,20.00,80.00,Y,L1:아크릴마그넷 사용자입력+비규격 가로20~80/세로20~80 → nonspec 범위(G-AC-6),acrylic
PRD_000148,아크릴뱃지,N,Y,30.00,80.00,30.00,80.00,Y,L1:아크릴뱃지 사용자입력+비규격 가로30~80/세로30~80 → nonspec 범위(G-AC-6),acrylic
PRD_000149,아크릴집게,N,Y,30.00,60.00,30.00,60.00,Y,L1:아크릴집게 사용자입력+비규격 가로30~60/세로30~60 → nonspec 범위(G-AC-6),acrylic
PRD_000150,아크릴스마트톡,N,Y,50.00,80.00,50.00,80.00,Y,L1:아크릴스마트톡 사용자입력+비규격 가로50~80/세로50~80 → nonspec 범위(G-AC-6),acrylic
PRD_000151,맥세이프 스마트톡,N,Y,50.00,80.00,50.00,80.00,Y,L1:맥세이프 스마트톡 사용자입력+비규격 가로50~80/세로50~80 → nonspec 범위(G-AC-6),acrylic
PRD_000152,아크릴명찰,N,Y,60.00,80.00,20.00,50.00,Y,L1:아크릴명찰 사용자입력+비규격 가로60~80/세로20~50 → nonspec 범위(G-AC-6),acrylic
PRD_000153,아크릴명찰(골드실버),N,Y,60.00,80.00,20.00,50.00,N,L1:아크릴명찰(골드실버) 사용자입력+비규격 가로60~80/세로20~50 → nonspec 범위(G-AC-6),acrylic
PRD_000154,아크릴 머리끈,N,Y,20.00,40.00,20.00,40.00,Y,L1:아크릴 머리끈 사용자입력+비규격 가로20~40/세로20~40 → nonspec 범위(G-AC-6),acrylic
PRD_000155,아크릴볼펜,N,Y,20.00,40.00,20.00,40.00,Y,L1:아크릴볼펜 사용자입력+비규격 가로20~40/세로20~40 → nonspec 범위(G-AC-6),acrylic
PRD_000156,아크릴지비츠,N,Y,15.00,35.00,15.00,35.00,N,L1:아크릴지비츠 사용자입력+비규격 가로15~35/세로15~35 → nonspec 범위(G-AC-6),acrylic
PRD_000164,아크릴코롯토,N,Y,30.00,80.00,30.00,80.00,N,L1:아크릴코롯토 사용자입력+비규격 가로30~80/세로30~80 → nonspec 범위(G-AC-6),acrylic
PRD_000118,아트프린트포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:아트프린트포스터 비규격(최소/최대) 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max 전 NULL. nonspec_yn 이미 Y(정정 불요),silsa
PRD_000119,아트페이퍼포스터,Y,Y,200.00,900.00,200.00,3000.00,,L1:아트페이퍼포스터 비규격 가로=200~900·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000120,방수포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:방수포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000121,접착방수포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:접착방수포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000122,접착투명포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:접착투명포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000123,아트패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:아트패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000124,린넨패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:린넨패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000125,캔버스패브릭포스터,Y,Y,200.00,1200.00,200.00,3000.00,,L1:캔버스패브릭포스터 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000126,레더아트프린트,Y,Y,200.00,600.00,200.00,3000.00,,L1:레더아트프린트 비규격 가로=200~600·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000127,타이벡프린트,Y,Y,200.00,1200.00,200.00,3000.00,,L1:타이벡프린트 비규격 가로=200~1200·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000128,메쉬프린트,Y,Y,200.00,600.00,200.00,3000.00,,L1:메쉬프린트 비규격 가로=200~600·세로=200~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000138,일반현수막,Y,Y,500.00,1750.00,500.00,5000.00,,L1:일반현수막 비규격 가로=500~1750·세로=500~5000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
PRD_000139,메쉬현수막,Y,Y,500.00,900.00,500.00,3000.00,,L1:메쉬현수막 비규격 가로=500~900·세로=500~3000mm (R4/G-SL-6). 라이브 nonspec_*_min/max NULL,silsa
