prd_cd,prd_nm,prd_typ,cats,opt_n,frm_n
PRD_000008,천정고리,PRD_TYPE.03,상품액세서리<포장,0,0
PRD_000010,행택끈,PRD_TYPE.03,봉투/케이스<포장,0,0
PRD_000042,프리미엄 쿠폰/상품권,PRD_TYPE.01,프리미엄 상품권/쿠폰<쿠폰/상품권,22,1
PRD_000100,포토북 [디자인명],PRD_TYPE.04,포토북<책자,0,0
PRD_000101,포토북 [디자인명]-내지(몽블랑130),PRD_TYPE.02,포토북<책자,0,0
PRD_000102,포토북 [디자인명]-표지(하드커버),PRD_TYPE.02,포토북<책자,0,0
PRD_000103,포토북 [디자인명]-표지(아트250+무광코팅),PRD_TYPE.02,포토북<책자,0,0
PRD_000104,포토북 [디자인명]-면지(그레이),PRD_TYPE.02,포토북<책자,0,0
PRD_000105,포토북 [디자인명]-표지(레더하드커버),PRD_TYPE.02,포토북<책자,0,0
PRD_000106,포토북 [디자인명]-표지(레더),PRD_TYPE.02,포토북<책자,0,0
PRD_000107,포토북 [디자인명]-표지(소프트커버),PRD_TYPE.02,포토북<책자,0,0
PRD_000131,프레임리스우드액자,PRD_TYPE.04,프레임리스액자<보드액자,0,1
PRD_000144,미니보드스탠딩,PRD_TYPE.04,미니스탠딩보드<POP,0,1
PRD_000168,아크릴입체코롯토,PRD_TYPE.04,조합형<아크릴,0,0
PRD_000169,아크릴입체블럭,PRD_TYPE.04,조합형<아크릴,0,0
PRD_000170,아크릴쉐이커★,PRD_TYPE.04,조합형<아크릴,0,0
PRD_000171,지비츠★,PRD_TYPE.04,조합형<아크릴,0,0
PRD_000191,린넨패브릭코스터,PRD_TYPE.03,라이프<-,0,0
PRD_000196,레더여권케이스,PRD_TYPE.03,여행/아웃도어<라이프,0,0
PRD_000218,타이벡북커버,PRD_TYPE.03,데스크/사무용품<데스크소품,0,0
