prd_nm,분류,엑셀값,DB값,비고
레더 링바인더,MATCH(dim)+비치수,dim일치 + 비치수:A4,0종,"dim 정합, 비치수옵션 별도"
레더아트프린트,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
린넨 우드봉 족자,MATCH(dim)+비치수,dim일치 + 비치수:A4|A3|A2,0종,"dim 정합, 비치수옵션 별도"
린넨패브릭포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,6종,"dim 정합, 비치수옵션 별도"
맥세이프 스마트톡,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
메쉬프린트,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
메쉬현수막,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
방수포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
벽걸이캘린더,DB-superset(EXTRA),210x297,210x297|210x420|300x420,DB가 엑셀 초과보유. 삭제금지
아크릴 머리끈,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴마그넷,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,7종,"dim 정합, 비치수옵션 별도"
아크릴명찰,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴명찰(골드실버),MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴뱃지,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴볼펜,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴스마트톡,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴지비츠,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,5종,"dim 정합, 비치수옵션 별도"
아크릴집게,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아크릴코롯토,DB-superset(EXTRA),,30x30|40x40|50x50|60x60|70x70|80x80,DB가 엑셀 초과보유. 삭제금지
아크릴키링,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,8종,"dim 정합, 비치수옵션 별도"
아트패브릭포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아트페이퍼포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
아트프린트포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
엽서캘린더,DB-superset(EXTRA),145x145,130x220|145x145|145x300|148x210|220x130|220x145,DB가 엑셀 초과보유. 삭제금지
일반현수막,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,1종,"dim 정합, 비치수옵션 별도"
접착방수포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
접착투명포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
캔버스패브릭포스터,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
키캡키링,MATCH(dim)+비치수,dim일치 + 비치수:2구|3구|4구,1종,"dim 정합, 비치수옵션 별도"
타이벡북커버,MATCH(dim)+비치수,dim일치 + 비치수:A5,0종,"dim 정합, 비치수옵션 별도"
타이벡프린트,MATCH(dim)+비치수,dim일치 + 비치수:사용자입력,3종,"dim 정합, 비치수옵션 별도"
포맥스보드,MISSING,엑셀 추가:594x841,297x420|420x594,엑셀O DB X
폼보드,MISSING,엑셀 추가:594x841,297x420|420x594,엑셀O DB X
프레임리스우드액자,MISSING,엑셀 추가:594x841,297x420|420x594,엑셀O DB X
합판도무송스티커,MATCH(dim)+비치수,dim일치 + 비치수:원형 10mm (8EA)|원형 15mm (8EA)|원형 20mm (6EA),26종,"dim 정합, 비치수옵션 별도"
LED투명키캡키링,EXCEL-only(비치수),1구|2구|3구,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
규조토코스터,EXCEL-only(비치수),원형 102mm|사각 100mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 볼륨 미니파우치,EXCEL-only(비치수),정사각|직사각,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 볼륨 파우치,EXCEL-only(비치수),정사각M|직사각M,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 삼각 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 스트링 파우치,EXCEL-only(비치수),M,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 슬림 미니파우치,EXCEL-only(비치수),직사각|정사각,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 슬림 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 아이패드/노트북 파우치,EXCEL-only(비치수),11인치|13인치|15인치,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 원형 미니파우치,EXCEL-only(비치수),마카롱,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더 플랫 파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더숄더백,EXCEL-only(비치수),세로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더스트랩키링,EXCEL-only(비치수),미니 50mm|일반 100mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
레더코스터,EXCEL-only(비치수),원형 90mm|사각 90mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
린넨 스트링 파우치,EXCEL-only(비치수),S|M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
린넨 에코백,EXCEL-only(비치수),세로형|가로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
린넨패브릭코스터,EXCEL-only(비치수),사각 110mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
링바인더 (보류중),EXCEL-only(비치수),A4 (두께A) 31mm|A4 (두께B) 42mm|A4 (두께B) 56mm,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
만년스탬프 리필잉크,EXCEL-only(비치수),청보라 (5cc)|빨강 (5cc)|검정 (5cc),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
말랑키링,EXCEL-only(비치수),원형|사각|꽃,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
머그컵,EXCEL-only(비치수),11온스,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
메쉬 에코백,EXCEL-only(비치수),가로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
메쉬 토트백,EXCEL-only(비치수),가로형,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
메쉬볼륨파우치,EXCEL-only(비치수),직사각L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
메쉬슬림파우치,EXCEL-only(비치수),M|L,(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
미니CD앨범,EXCEL-only(비치수),CD 커버 세트 (미조립),(DB 사이즈 미연결),비치수옵션(폰/색/사용자입력)
