sheet,gubun,prd_nm,mes_item_cd,source_values
디지털인쇄,엽서,프리미엄엽서,001-0001,*별도설정
디지털인쇄,,코팅엽서,001-0002,아트250 | 아트300
디지털인쇄,,스탠다드엽서,001-0003,*별도설정
디지털인쇄,,투명엽서,001-0004,투명PET 260g | 반투명PET 260g
디지털인쇄,,화이트인쇄엽서,001-0006,큐리어스스킨 블랙 270g | 큐리어스스킨 레드 270g | 큐리어스스킨 바이올렛 270g | 큐리어스스킨 다크블루 270g
디지털인쇄,,핑크별색엽서,,몽블랑190 | 몽블랑240 | 아코팩(웜화이트)250
디지털인쇄,,금은별색엽서,,몽블랑190 | 몽블랑240 | 아코팩(웜화이트)250
디지털인쇄,,모양엽서,,몽블랑190 | 몽블랑240 | 아코팩(웜화이트)250
디지털인쇄,포토카드,포토카드,001-0012,아트300
디지털인쇄,,투명포토카드,001-0013,투명PET 260g | 반투명PET 260g
디지털인쇄,,종이슬로건,001-0014,아트300
디지털인쇄,접지카드,2단접지카드,001-0014,*별도설정
디지털인쇄,,미니접지카드,,*별도설정
디지털인쇄,,3단접지카드,001-0009,*별도설정
디지털인쇄,,지그재그엽서,001-0010,몽블랑130g
디지털인쇄,명함,프리미엄명함,003-0001,*별도설정
디지털인쇄,,코팅명함,003-0002,아트250 | 아트300
디지털인쇄,,스탠다드명함,003-0003,백모조220 | 아트250 | 아트300 | 스노우250 | 스노우300
디지털인쇄,,펄명함,003-0004,스타드림(다이아)240 | 스타드림(실버)240 | 스타드림(골드)240 | 스타드림(로츠쿼츠)240
디지털인쇄,,모양명함,003-0007,몽블랑240
디지털인쇄,,미니모양명함,003-0008,몽블랑240
디지털인쇄,,오리지널박명함,003-0009,큐리어스스킨 화이트 270g | 큐리어스스킨 블랙 270g | 큐리어스스킨 레드 270g | 큐리어스스킨 바이올렛 270g | 큐리어스스킨 다크블루 270g
디지털인쇄,,형압명함,,*별도설정
디지털인쇄,,투명명함,003-0005,투명PET 260g | 반투명PET 260g
디지털인쇄,,화이트인쇄명함,003-0006,큐리어스스킨 블랙 270g | 큐리어스스킨 레드 270g | 큐리어스스킨 바이올렛 270g | 큐리어스스킨 다크블루 270g
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,백색모조지 100g | 아트지 150g | 스노우지 150g | 몽블랑 130g
디지털인쇄,,프리미엄 쿠폰/상품권,003-0014,몽블랑190 | 스타드림(다이아)240 | 스타드림(실버)240 | 스타드림(골드)240 | 스타드림(로츠쿼츠)240 | 클래식 크래스트 스티플 270 | 한지170 | 켄도250
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,스노우250
디지털인쇄,,인쇄배경지(투명케이스타입),012-0002,스노우250
디지털인쇄,,인쇄헤더택,012-0003,스노우250
디지털인쇄,,라벨/택,012-0010,몽블랑240
디지털인쇄,인쇄홍보물,소량전단지,003-0010,*별도설정
디지털인쇄,,접지리플렛,003-0011,*별도설정
디지털인쇄,,와이드 접지리플렛,003-0012,아트지 150g | 스노우지 250g | 몽블랑 130g | 몽블랑 190g | 몽블랑 240g
디지털인쇄,,봉투제작,003-0015,모조 120g | 레자크체크백색 110g | 레자크줄무늬백색 110g
디지털인쇄,,썬캡,003-0016,아이보리300
스티커,,반칼 자유형 스티커,002-0001,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼 자유형 투명스티커,002-0002,투명스티커
스티커,,반칼 자유형 홀로그램스티커,002-0015,홀로그램스티커
스티커,,낱장 자유형 스티커,002-0003,유포지+엠보코팅
스티커,,낱장 자유형 투명스티커,002-0004,투명전용지
스티커,,대형 자유형 스티커,002-0005,유포지+엠보코팅
스티커,,반칼원형스티커,002-0008,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼정사각스티커,002-0009,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼직사각스티커,002-0010,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼띠지스티커,002-0011,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼팬시스티커,002-0012,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,반칼팬시투명스티커,,투명스티커
스티커,,소량자유형스티커,002-0006,유포스티커 | 비코팅스티커 | 미색스티커 | 무광코팅스티커 | 유광코팅스티커
스티커,,스티커팩,002-0016,비코팅스티커 | 미색스티커
스티커,,합판도무송스티커,002-0013,유포스티커 | 비코팅스티커 | 무광코팅스티커 | 유광코팅스티커 | 투명데드롱스티커 | 은데드롱스티커
스티커,,타투스티커,002-0014,타투전용지
책자,책자,중철책자,006-0001,*별도설정 | *별도설정
책자,,무선책자,006-0002,*별도설정 | *별도설정
책자,,PUR책자,006-0003,*별도설정 | *별도설정
책자,,트윈링책자,006-0004,*별도설정 | *별도설정
책자,하드커버책자,하드커버책자,006-0005,*별도설정 | 전용지
책자,,레더 하드커버책자,006-0006,*별도설정 | 레더(화이트)
책자,,하드커버 링책자,006-0007,*별도설정 | 전용지
책자,,링바인더 (보류중),,전용지
책자,,레더 링바인더,,레더(화이트)
책자,엽서북,엽서북,,몽블랑240 | 스노우300
책자,떡메모지,떡메모지,008-0008,백모조120
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,몽블랑130 | 몽블랑130 | 몽블랑130 | 몽블랑130 | 아트250+무광코팅 | 레더 | 아트250+무광코팅 | 아트250+무광코팅 | 레더 | 아트250+무광코팅 | 레더 | 아트250+무광코팅 | 아트250+무광코팅 | 레더 | 아트250+무광코팅
캘린더,탁상형캘린더,탁상형캘린더,007-0001,*별도설정
캘린더,,미니탁상형캘린더,007-0002,*별도설정
캘린더,엽서캘린더,엽서캘린더,007-0003,*별도설정
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,*별도설정
캘린더,,와이드벽걸이캘린더,007-0005,스노우지 250g (3절) | 몽블랑 190g (3절) | 몽블랑 240g (3절)
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,몽블랑 190g
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,몽블랑 190g
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,몽블랑 190g
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,몽블랑 190g
디자인캘린더(가격포함),,와이드벽걸이캘린더,007-0005,몽블랑 190g (3절)
실사,,아트프린트포스터,004-0001,인화지
실사,,아트페이퍼포스터,004-0002,매트지
실사,,방수포스터,004-0003,PET
실사,,투명포스터★,,투명PET
실사,,접착방수포스터,004-0004,PVC
실사,,접착투명포스터,004-0005,투명PVC
실사,,아트패브릭포스터,004-0006,그래픽천
실사,,린넨패브릭포스터,004-0007,린넨
실사,,캔버스패브릭포스터,004-0008,캔버스(옥스포드)
실사,,레더아트프린트,004-0009,레더(화이트)
실사,,타이벡프린트,004-0010,타이벡(하드) | 타이벡(소프트)
실사,,메쉬프린트,004-0011,메쉬
실사,,폼보드,004-0012,
실사,,포맥스보드,004-0013,
실사,,프레임리스우드액자,004-0014,
실사,,레더아트액자,004-0015,
실사,,캔버스 행잉포스터,004-0017,캔버스(옥스포드)
실사,,린넨 우드봉 족자,004-0018,린넨
실사,,족자포스터,004-0016,PET
실사,,PET배너,005-0001,PET
실사,,메쉬배너,005-0002,메쉬
실사,,일반현수막,005-0003,현수막천
실사,,메쉬현수막,005-0004,메쉬
실사,,무광시트커팅,005-0005,화이트 | 블랙
실사,,홀로그램 시트커팅,005-0006,홀로그램
실사,,유광아크릴스티커,005-0007,화이트 | 블랙
실사,,미러아크릴스티커,005-0008,골드 | 실버
실사,,미니보드스탠딩,005-0009,
실사,,미니배너,005-0010,PET
아크릴,단품형,아크릴키링,009-0001,투명아크릴 3mm
아크릴,,아크릴마그넷,009-0002,투명아크릴 3mm
아크릴,,아크릴뱃지,009-0003,투명아크릴 3mm
아크릴,,아크릴집게,009-0004,투명아크릴 3mm
아크릴,,아크릴스마트톡,009-0005,투명아크릴 3mm
아크릴,,맥세이프 스마트톡,009-0006,투명아크릴 3mm
아크릴,,아크릴명찰,009-0007,투명아크릴 3mm
아크릴,,아크릴명찰(골드실버),,골드아크릴 3mm | 실버아크릴 3mm
아크릴,,아크릴 머리끈,009-0011,투명아크릴 3mm
아크릴,,아크릴볼펜,009-0008,투명아크릴 3mm
아크릴,,아크릴지비츠,,투명아크릴 3mm
아크릴,,아크릴네임택,009-0020,투명아크릴 3mm
아크릴,,아크릴 포카키링,009-0010,투명아크릴 3mm
아크릴,,아크릴 코스터,,투명아크릴 3mm
아크릴,조합형,아크릴자유형스탠드,009-0012,투명아크릴 3mm
아크릴,,판아크릴,009-0013,투명아크릴 3mm
아크릴,,아크릴포카스탠드,009-0014,투명아크릴 3mm
아크릴,,아크릴미니파츠,009-0015,투명아크릴 1.5mm
아크릴,,아크릴코롯토,,투명아크릴 8mm
아크릴,,포카코롯토,,투명아크릴 8mm
아크릴,,아크릴카라비너,,투명아크릴 3mm+3mm 접합
아크릴,,아크릴코롯토,,투명아크릴(8T)
아크릴,,아크릴입체코롯토,,
아크릴,,아크릴입체블럭,,투명아크릴라미(10T)
아크릴,,아크릴쉐이커★,,
아크릴,,지비츠★,,투명아크릴(3T)◀
