sheet,gubun,prd_nm,mes_item_cd,source_values
디지털인쇄,엽서,프리미엄엽서,001-0001,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장 | 트레싱지봉투 160x110 mm 20장
디지털인쇄,,코팅엽서,001-0002,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장 | 트레싱지봉투 160x110 mm 20장
디지털인쇄,,스탠다드엽서,001-0003,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장 | 트레싱지봉투 160x110 mm 20장
디지털인쇄,,투명엽서,001-0004,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장 | 트레싱지봉투 160x110 mm 20장
디지털인쇄,,화이트인쇄엽서,001-0006,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장 | 트레싱지봉투 160x110 mm 20장
디지털인쇄,,핑크별색엽서,,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장
디지털인쇄,,금은별색엽서,,엽서봉투 ★사이즈선택 : 100x150 | OPP비접착봉투 110x160 mm 50장 | OPP접착봉투 110x160 mm 50장 | 카드봉투(화이트) 165x115 mm 50장 | 카드봉투(블랙) 165x115 mm 50장
디지털인쇄,,모양엽서,,
디지털인쇄,포토카드,포토카드,001-0012,
디지털인쇄,,투명포토카드,001-0013,
디지털인쇄,,종이슬로건,001-0014,
디지털인쇄,접지카드,2단접지카드,001-0014,
디지털인쇄,,미니접지카드,,
디지털인쇄,,3단접지카드,001-0009,
디지털인쇄,,지그재그엽서,001-0010,
디지털인쇄,명함,프리미엄명함,003-0001,
디지털인쇄,,코팅명함,003-0002,
디지털인쇄,,스탠다드명함,003-0003,
디지털인쇄,,펄명함,003-0004,
디지털인쇄,,모양명함,003-0007,
디지털인쇄,,미니모양명함,003-0008,
디지털인쇄,,오리지널박명함,003-0009,
디지털인쇄,,형압명함,,
디지털인쇄,,투명명함,003-0005,
디지털인쇄,,화이트인쇄명함,003-0006,
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,
디지털인쇄,,프리미엄 쿠폰/상품권,003-0014,
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,봉투 ★사이즈선택 : 76x100 | OPP접착봉투 80x120 mm 50장 | 봉투 ★사이즈선택 : 76x120 | OPP접착봉투 80x120 mm 50장 | 봉투 ★사이즈선택 : 86x120 | OPP접착봉투 90x120 mm 50장 | 봉투 ★사이즈선택 : 94x94 | OPP접착봉투 100x100 mm 50장 | 봉투 ★사이즈선택 : 62x180 | OPP접착봉투 70x200 mm 50장 | 봉투 ★사이즈선택 : 105x160 | OPP접착봉투 110x160 mm 50장
디지털인쇄,,인쇄배경지(투명케이스타입),012-0002,투명케이스 ★사이즈선택 : 74x74 | PP투명케이스 75x75x15mm 50개 | 투명케이스 ★사이즈선택 : 74x109 | PP투명케이스 75x110x15mm 50개
디지털인쇄,,인쇄헤더택,012-0003,봉투 ★사이즈선택 : 80x80 | OPP비접착봉투 80x120 mm 50장 | 봉투 ★사이즈선택 : 110x80 | OPP비접착봉투 110x160 mm 50장 | OPP비접착봉투 110x250 mm 50장 | 봉투 ★사이즈선택 : 140x80 | OPP비접착봉투 140x180 mm 50장 | 봉투 ★사이즈선택 : 160x80 | OPP비접착봉투 160x250 mm 50장
디지털인쇄,,라벨/택,012-0010,
디지털인쇄,인쇄홍보물,소량전단지,003-0010,
디지털인쇄,,접지리플렛,003-0011,
디지털인쇄,,와이드 접지리플렛,003-0012,
디지털인쇄,,봉투제작,003-0015,
디지털인쇄,,썬캡,003-0016,
스티커,,반칼 자유형 스티커,002-0001,
스티커,,반칼 자유형 투명스티커,002-0002,
스티커,,반칼 자유형 홀로그램스티커,002-0015,
스티커,,낱장 자유형 스티커,002-0003,
스티커,,낱장 자유형 투명스티커,002-0004,
스티커,,대형 자유형 스티커,002-0005,
스티커,,반칼원형스티커,002-0008,
스티커,,반칼정사각스티커,002-0009,
스티커,,반칼직사각스티커,002-0010,
스티커,,반칼띠지스티커,002-0011,
스티커,,반칼팬시스티커,002-0012,
스티커,,반칼팬시투명스티커,,
스티커,,소량자유형스티커,002-0006,
스티커,,스티커팩,002-0016,
스티커,,합판도무송스티커,002-0013,
스티커,,타투스티커,002-0014,
책자,책자,중철책자,006-0001,
책자,,무선책자,006-0002,
책자,,PUR책자,006-0003,
책자,,트윈링책자,006-0004,
책자,하드커버책자,하드커버책자,006-0005,
책자,,레더 하드커버책자,006-0006,
책자,,하드커버 링책자,006-0007,
책자,,링바인더 (보류중),,
책자,,레더 링바인더,,
책자,엽서북,엽서북,,
책자,떡메모지,떡메모지,008-0008,
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,
캘린더,탁상형캘린더,탁상형캘린더,007-0001,캘린더봉투 ★사이즈선택 : 220x145 | 캘린더봉투 240x230 mm 10장 | 캘린더봉투 ★사이즈선택 : 130x220 | 캘린더봉투 150x310 mm 10장
캘린더,,미니탁상형캘린더,007-0002,
캘린더,엽서캘린더,엽서캘린더,007-0003,
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,
캘린더,,와이드벽걸이캘린더,007-0005,
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,캘린더봉투 ★사이즈선택 : 220x145 | 캘린더봉투 240x230 mm 10장 | 캘린더봉투 ★사이즈선택 : 130x220 | 캘린더봉투 150x310 mm 10장 | 2500.0 | 2400.0
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,
