prd_nm,분류,엑셀값,DB값,비고
PET배너,MATCH,PET,PET,usage=['USAGE.07']; 
금은별색엽서,MATCH(표기차브리지),몽블랑190|몽블랑240|아코팩(웜화이트)250,몽블랑 190g|몽블랑 240g|아코팩(웜화이트) 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
낱장 자유형 스티커,MATCH, +복합1(유포지+엠보코팅),유포지,usage=['USAGE.07']; 
낱장 자유형 투명스티커,MATCH,투명전용지,투명전용지,usage=['USAGE.07']; 
대형 자유형 스티커,MATCH, +복합1(유포지+엠보코팅),유포지,usage=['USAGE.07']; 
떡메모지,MATCH(표기차브리지),백모조120,백색모조지 120g,"usage=['USAGE.01', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
라벨/택,MATCH(표기차브리지),몽블랑240,몽블랑 240g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
레더 링바인더,MATCH,레더(화이트),D링 D링(31mm)|D링 D링(42mm)|D링 D링(56mm),"usage=['USAGE.02', 'USAGE.03', 'USAGE.07']; "
레더 하드커버책자,MATCH,레더(화이트) +*별도설정1,그레이면지|레더(화이트)|블랙면지,"usage=['USAGE.02', 'USAGE.03']; "
레더아트프린트,MATCH,레더(화이트),레더(화이트),usage=['USAGE.07']; 
린넨 우드봉 족자,MATCH,린넨,린넨,usage=['USAGE.07']; 
린넨패브릭포스터,MATCH,린넨,린넨,usage=['USAGE.07']; 
만년다이어리(레더소프트커버),MATCH(표기차브리지),레더,레더(화이트),usage=['USAGE.02']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
만년다이어리(레더하드커버),MATCH(표기차브리지),레더,레더(화이트),usage=['USAGE.02']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
만년다이어리(소프트커버),MATCH, +복합1(아트250 + 무광코팅),아트250 + 무광코팅,usage=['USAGE.02']; 
만년다이어리(하드커버),MATCH, +복합1(아트250 + 무광코팅),아트250 + 무광코팅,usage=['USAGE.02']; 
만년스탬프,MATCH,청보라|빨강|검정,검정|노랑|빨강,usage=['USAGE.07']; 
맥세이프 스마트톡,MATCH(표기차브리지),투명아크릴 3mm,투명아크릴,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
머그컵,MATCH,화이트|반투명|투명,11온스|반투명|투명,usage=['USAGE.07']; 
먼슬리플래너,MATCH(표기차브리지),백모조100 +복합1(아트250 + 무광코팅),백색모조지 100g|아트250 + 무광코팅,"usage=['USAGE.02', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
메모패드,MATCH(표기차브리지),무지내지|무지내지|백모조100 +복합1(아트250 + 무광코팅),무지내지|백색모조지 100g|아트250 + 무광코팅,"usage=['USAGE.01', 'USAGE.02', 'USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요"
메모패드(내지커스텀) 준비중,MATCH(표기차브리지),백모조120,백색모조지 120g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
메쉬배너,MATCH,메쉬,메쉬,usage=['USAGE.07']; 
메쉬프린트,MATCH,메쉬,메쉬,usage=['USAGE.07']; 
메쉬현수막,MATCH,메쉬,메쉬,usage=['USAGE.07']; 
모양명함,MATCH(표기차브리지),몽블랑240,몽블랑 240g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
모양엽서,MATCH(표기차브리지),몽블랑190|몽블랑240|아코팩(웜화이트)250,몽블랑 190g|몽블랑 240g|아코팩(웜화이트) 250g,usage=['USAGE.07']; 백모조→백색모조/아크릴두께drop/PET통합 브리지적용. 두께·평량 정보손실 확인필요
무광시트커팅,MATCH,화이트|블랙,블랙|화이트,usage=['USAGE.07']; 
미니매트,MATCH,화이트|블랙,블랙|화이트,usage=['USAGE.07']; 
