prd_nm,분류,엑셀값,DB값,비고
PET배너,MISSING(실addon 미적재),거치대없음 | 실내용배너거치대 | 실외용배너거치대 | 0.0 | 10000.0 | 23000.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
만년스탬프,MISSING(실addon 미적재),청보라 5cc | 빨강 5cc | 검정 5cc | 파랑 5cc | 초록 5cc | 핑크 5cc | 노랑 5cc | 2500.0 | 2500.0 ,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
메쉬배너,MISSING(실addon 미적재),거치대없음 | 실내용배너거치대 | 실외용배너거치대 | 0.0 | 10000.0 | 23000.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
메쉬현수막,MISSING(실addon 미적재),추가없음 | 끈추가,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
방수포스터,MISSING/가격전용(addon아님),0.0 | 0.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
아크릴쉐이커코롯토,MISSING(실addon 미적재),아크릴스탠드(선택안함) | 아크릴스탠드 | 0.0 | 1400.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
일반현수막,MISSING(실addon 미적재),추가없음 | 큐방(4개)추가 | 끈(4개)추가 | 각목(900이하)+끈(4개) 추가 | 각목(900초과)+끈(4개) 추가 | *가격표참고,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
접착방수포스터,MISSING/가격전용(addon아님),0.0 | 0.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
족자포스터,MISSING(실addon 미적재),추가없음 | 천정형고리 포함 | 0.0 | 4000?,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
지비츠★,MISSING/가격전용(addon아님),500.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
폼보드,MISSING/가격전용(addon아님),0.0 | 0.0,(DB 미적재),"엑셀 추가상품 보유, DB addons 미적재"
금은별색엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
린넨 우드봉 족자,MATCH(parent),엑셀 보유,우드봉,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
말랑증사홀더,MATCH(parent),엑셀 보유,볼체인,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
말랑키링,MATCH(parent),엑셀 보유,볼체인,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
말랑포카홀더,MATCH(parent),엑셀 보유,볼체인,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
스탠다드엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
아크릴 포카키링,MATCH(parent),엑셀 보유,볼체인,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
아크릴키링,MATCH(parent),엑셀 보유,볼체인,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
엽서캘린더,MATCH(parent),엑셀 보유,우드거치대,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
인쇄배경지(OPP봉투타입),MATCH(parent),엑셀 보유,OPP접착봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
인쇄배경지(투명케이스타입),MATCH(parent),엑셀 보유,투명케이스,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
인쇄헤더택,MATCH(parent),엑셀 보유,OPP비접착봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
캔버스 행잉포스터,MATCH(parent),엑셀 보유,우드행거,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
코팅엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
탁상형캘린더,MATCH(parent),엑셀 보유,캘린더봉투 | 캘린더봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
투명엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
프리미엄엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
핑크별색엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
화이트인쇄엽서,MATCH(parent),엑셀 보유,OPP접착봉투 | OPP비접착봉투 | 카드봉투,"양측 parent 일치, addon_prd_cd FK 정합(실상품)"
