sheet,gubun,prd_nm,mes_item_cd,source_values
디지털인쇄,엽서,프리미엄엽서,001-0001,직각 | 둥근 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,코팅엽서,001-0002,무광코팅(단면) | 무광코팅(양면) | 유광코팅(단면) | 유광코팅(양면) | 직각 | 둥근
디지털인쇄,,스탠다드엽서,001-0003,직각 | 둥근 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,투명엽서,001-0004,직각 | 둥근
디지털인쇄,,화이트인쇄엽서,001-0006,
디지털인쇄,,핑크별색엽서,,
디지털인쇄,,금은별색엽서,,
디지털인쇄,,모양엽서,,자유형
디지털인쇄,포토카드,포토카드,001-0012,무광코팅(양면) | 유광코팅(양면) | 직각 | 둥근
디지털인쇄,,투명포토카드,001-0013,직각 | 둥근
디지털인쇄,,종이슬로건,001-0014,무광코팅(양면) | 유광코팅(양면)
디지털인쇄,접지카드,2단접지카드,001-0014,"2단 가로접지
★사이즈선택 : 150x100 / 135x135 / 170x110 | 2단 세로접지
★사이즈선택 : 100x150 / 135x135 / 110x170 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개 | 박(없음) | 박(있음) | 박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 90x140 | ★사이즈선택 : 최소 30x30 / 최대 140x90 | ★사이즈선택 : 최소 30x30 / 최대 125x125 | ★사이즈선택 : 최소 30x30 / 최대 125x125 | ★사이즈선택 : 최소 30x30 / 최대 100x160 | ★사이즈선택 : 최소 30x30 / 최대 160x100 | 금유광 | 은유광 | 동박 | 먹유광 | 청박 | 적박 | 홀로그램 | 트윙클"
디지털인쇄,,미니접지카드,,"2단 가로접지
★사이즈선택 : 90x50 / 86x52 | 2단 세로접지
★사이즈선택 : 50x90 / 53x86 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개 | 박(없음) | 박(있음) | 박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 80x40 | ★사이즈선택 : 최소 30x30 / 최대 40x80 | ★사이즈선택 : 최소 30x30 / 최대 80x40 | ★사이즈선택 : 최소 30x30 / 최대 40x80"
디지털인쇄,,3단접지카드,001-0009,"3단가로접지
★사이즈선택 : 150x100 / 135x135 | 3단세로접지
★사이즈선택 : 100x150 / 135x135 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개 | 박(없음) | 박(있음) | 박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 90x140 | ★사이즈선택 : 최소 30x30 / 최대 140x90 | ★사이즈선택 : 최소 30x30 / 최대 125x125 | ★사이즈선택 : 최소 30x30 / 최대 125x125 | 금유광 | 은유광 | 동박 | 먹유광 | 청박 | 적박 | 홀로그램 | 트윙클"
디지털인쇄,,지그재그엽서,001-0010,6단오시접지 | 6단미싱접지
디지털인쇄,명함,프리미엄명함,003-0001,직각 | 둥근 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개 | 박(없음) | 박(있음) | 박크기(가로x세로) | ★최소 20x20 / 최대 80x40 | 금유광 | 은유광 | 동박 | 먹유광 | 청박 | 적박 | 홀로그램 | 트윙클
디지털인쇄,,코팅명함,003-0002,무광코팅(단면) | 무광코팅(양면) | 유광코팅(단면) | 유광코팅(양면) | 직각 | 둥근
디지털인쇄,,스탠다드명함,003-0003,직각 | 둥근 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,펄명함,003-0004,직각 | 둥근 | 박(없음) | 박(있음) | 박크기(가로x세로) | ★최소 20x20 / 최대 80x40 | 금유광 | 은유광 | 동박 | 먹유광 | 청박 | 적박 | 홀로그램 | 트윙클
디지털인쇄,,모양명함,003-0007,한쪽라운딩 | 나뭇잎 | 큰라운딩 | 클래식 | 자유형
디지털인쇄,,미니모양명함,003-0008,사각라운딩 | 물방울 | 원형 | 자유형
디지털인쇄,,오리지널박명함,003-0009,박(없음) | 박(있음) | 박크기(80 x 40 mm) | 금유광 | 은유광 | 먹유광 | 청박 | 적박 | 동박 | 홀로그램 | 트윙글
디지털인쇄,,형압명함,,직각 | 둥근 | 형압(없음) | 형압(음각) | 형압(양각) | 크기(가로x세로) | ★최소 20x20 / 최대 80x40
디지털인쇄,,투명명함,003-0005,직각 | 둥근
디지털인쇄,,화이트인쇄명함,003-0006,직각 | 둥근
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,없음 | 1줄 | 2줄 | 3줄 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,프리미엄 쿠폰/상품권,003-0014,없음 | 1줄 | 2줄 | 3줄 | 없음 | 1줄 | 2줄 | 3줄 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개 | 박(없음) | 박(있음) | 박크기(가로x세로) | ★최소 30x30 / 최대 130x58 | 금유광 | 은유광 | 먹유광 | 청박 | 적박 | 동박 | 홀로그램 | 트윙글
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,기본형(커팅없음) | 타공형 | 핀고정형 | 북마크1개입 | 스마트톡형 | 기본형(커팅없음) | 핀고정형 | 북마크2개입 | 카드고정형 | 키링형 | 기본형(커팅없음) | 타공형 | 핀고정형 | 카드고정형 | 기본형(커팅없음) | 타공형 | 스마트톡형 | 기본형(커팅없음) | 키링형 | 폰스트랩형 | 기본형(커팅없음) | ★사이즈선택 : 커팅모양다름
디지털인쇄,,인쇄배경지(투명케이스타입),012-0002,기본형 | 상하접지형
디지털인쇄,,인쇄헤더택,012-0003,기본형(접지만) | 타공형
디지털인쇄,,라벨/택,012-0010,사각 | 라운딩 | 삼각 | 팔각 | 사각 | 원형 | 사각리본 | 삼각리본 | 리본 | ★사이즈선택 : 커팅모양다름
디지털인쇄,인쇄홍보물,소량전단지,003-0010,코팅없음 | 무광코팅(단면) | 무광코팅(양면) | 유광코팅(단면) | 유광코팅(양면) | ★종이두께선택시 : 180g이상 코팅가능 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,접지리플렛,003-0011,"코팅없음 | 무광코팅(단면) | 무광코팅(양면) | 유광코팅(단면) | 유광코팅(양면) | ★종이두께선택시 : 180g이상 코팅가능 | 반접지 | 3단접지
★사이즈선택 : A4 / A3 | 4단병풍접지
★사이즈선택 : A4 / A3 | 4단대문접지
★사이즈선택 : A3 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개"
디지털인쇄,,와이드 접지리플렛,003-0012,코팅없음 | 무광코팅(단면) | 무광코팅(양면) | 유광코팅(단면) | 유광코팅(양면) | ★종이두께선택시 : 180g이상 코팅가능 | 3단접지 | 4단대문접지 | 4단병풍접지 | 없음 | 1개 | 2개 | 3개 | 없음 | 1개 | 2개 | 3개
디지털인쇄,,봉투제작,003-0015,
디지털인쇄,,썬캡,003-0016,
스티커,,반칼 자유형 스티커,002-0001,반칼(자유형) | *최대20조각 | *최대40조각
스티커,,반칼 자유형 투명스티커,002-0002,반칼(자유형)
스티커,,반칼 자유형 홀로그램스티커,002-0015,반칼(자유형)
스티커,,낱장 자유형 스티커,002-0003,완칼(자유형) | 5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내
스티커,,낱장 자유형 투명스티커,002-0004,완칼(자유형) | 5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내
스티커,,대형 자유형 스티커,002-0005,완칼(자유형) | 5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내
스티커,,반칼원형스티커,002-0008,원형 25mm (24ea) | 원형 30mm (20ea) | 원형 35mm (15ea) | 원형 40mm (12ea) | 원형 45mm (8ea) | 원형 50mm (6ea) | 원형 55mm (6ea) | 원형 60mm (6ea) | ★사이즈선택 : A5선택시 | 원형 80mm (6ea) | 원형 90mm (6ea) | ★사이즈선택 : A4선택시
스티커,,반칼정사각스티커,002-0009,30x30mm (20ea) | 40x40mm (12ea) | 50x50mm (6ea) | 60x60mm (6ea) | ★사이즈선택 : A5선택시 | 80x80mm (6ea) | 90x90mm (6ea) | ★사이즈선택 : A4선택시
스티커,,반칼직사각스티커,002-0010,20x40mm (20ea) | 20x50mm (15ea) | 20x60mm (15ea) | 30x40mm (16ea) | 30x50mm (12ea) | 30x60mm (12ea) | 40x20mm (24ea) | 40x30mm (15ea) | 50x20mm (16ea) | 50x30mm (10ea) | 60x20mm (16ea) | 60x30mm (10ea) | 60x40mm (8ea) | 90x40mm (6ea) | 90x60mm (3ea) | 120x40mm (4ea) | 120x60mm (3ea) | ★사이즈선택 : A5선택시 | 80x40mm (12ea) | 80x50mm (10ea) | 80x60mm (8ea) | 90x40mm (12ea) | 90x50mm (10ea) | 90x60mm (8ea) | ★사이즈선택 : A4선택시
스티커,,반칼띠지스티커,002-0011,10x190mm (9ea) | 15x190mm (7ea) | 20x190mm (5ea) | 25x190mm (4ea) | 30x190mm (4ea) | 130x10mm (14ea) | 130x15mm (10ea) | 130x20mm (8ea) | 130x25mm (6ea) | 130x30mm (5ea) | ★사이즈선택 : A5선택시 | 20x278mm (8ea) | 30x278mm (5ea) | 40x278mm (4ea) | 50x278mm (3ea) | 60x278mm (3ea) | ★사이즈선택 : A4선택시
스티커,,반칼팬시스티커,002-0012,원형 32mm | 정사각 32mm | 하트 36mm | 하트55mm | 사각분할 | ★사이즈선택 : 124x186선택시
스티커,,반칼팬시투명스티커,,원형 32mm | 정사각 32mm | 하트 36mm | ★사이즈선택 : 124x186선택시
스티커,,소량자유형스티커,002-0006,반칼(자유형) | *1조각
스티커,,스티커팩,002-0016,
스티커,,합판도무송스티커,002-0013,원형 10mm (8EA) | 원형 15mm (8EA) | 원형 20mm (6EA) | 원형 25mm (3EA) | 원형 30mm (2EA) | 원형 35mm (2EA) | 원형 40mm (2EA) | 원형 45mm (1EA) | 원형 50mm (1EA) | 원형 55mm (1EA) | 원형 60mm (1EA) | 정사각 10 x 10mm (8EA) | 정사각 15 x 15mm (8EA) | 정사각 20 x 20mm (6EA) | 정사각 25 x 25mm (3EA) | 정사각 30 x 30mm (2EA) | 정사각 35 x 35mm (2EA) | 정사각 40 x 40mm (2EA) | 정사각 45 x 45mm (1EA) | 정사각 50 x 50mm (1EA) | 정사각 55 x 55mm (1EA) | 정사각 60 x 60mm (1EA) | 정사각 90 x 90mm (1EA) | 직사각 35 x 25mm (2EA) | 직사각 40 x 30mm (2EA) | 직사각 42 x 20mm (2EA) | 직사각 50 x 20mm (2EA) | 직사각 50 x 30mm (2EA) | 직사각 55 x 15mm (2EA) | 직사각 55 x 20mm (2EA) | 직사각 55 x 24mm (2EA) | 직사각 55 x 33mm (2EA) | 직사각 90 x 40mm (2EA) | 직사각 90 x 50mm (1EA) | 직사각 90 x 60mm (1EA) | 직사각 90 x 70mm (1EA) | 직사각 90 x 80mm (1EA)
스티커,,타투스티커,002-0014,
책자,책자,중철책자,006-0001,코팅없음 | 무광코팅(단면) | 유광코팅(단면) | 중철제본
책자,,무선책자,006-0002,"코팅없음 | 무광코팅(단면) | 유광코팅(단면) | 박(없음) | 박(있음) | 형압(없음) | 형압(음각) | 형압(양각) | 크기(가로x세로)
★최소 30x30 / 최대170x170 | 크기(가로x세로) | ★최소 30x30 / 최대 170x170 | 금유광 | 은유광 | 먹유광 | 동박 | 적박 | 청박 | 홀로그램 | 트윙클 | 무선제본"
책자,,PUR책자,006-0003,"코팅없음 | 무광코팅(단면) | 유광코팅(단면) | 박(없음) | 박(있음) | 형압(없음) | 형압(음각) | 형압(양각) | 크기(가로x세로)
★최소 30x30 / 최대170x170 | 크기(가로x세로) | ★최소 30x30 / 최대 170x170 | 금유광 | 은유광 | 먹유광 | 동박 | 적박 | 청박 | 홀로그램 | 트윙클 | PUR제본"
책자,,트윈링책자,006-0004,코팅없음 | 무광코팅(단면) | 유광코팅(단면) | 투명커버없음 | 유광투명커버 | 무광투명커버 | 트윈링제본 | 좌철 | 상철 | 화이트링 | 블랙링 | 메탈링
책자,하드커버책자,하드커버책자,006-0005,무광코팅(단면) | 유광코팅(단면) | 하드커버무선제본 | 화이트면지 | 블랙면지 | 그레이면지
책자,,레더 하드커버책자,006-0006,하드커버무선제본 | 화이트면지 | 블랙면지 | 그레이면지
책자,,하드커버 링책자,006-0007,무광코팅(단면) | 유광코팅(단면) | 하드커버트윈링제본 | 좌철 | 상철 | 화이트면지 | 블랙면지 | 그레이면지 | 인쇄면지 | ★인쇄면지는 하드커버링책자와/레더링바인더만 있음 | 화이트링 | 블랙링 | 메탈링
책자,,링바인더 (보류중),,화이트면지 | 블랙면지 | 그레이면지 | D링 | D링
책자,,레더 링바인더,,화이트면지 | 블랙면지 | 그레이면지 | 인쇄면지 | ★인쇄면지는 하드커버링책자와/레더링바인더만 있음 | D링(31mm) | D링(42mm) | D링(56mm) | ★사이즈선택 : A4선택시
책자,엽서북,엽서북,,무광코팅(단면) | 떡제본
책자,떡메모지,떡메모지,008-0008,떡제본 | 50장1권 | 100장1권
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,하드커버 | 레더하드커버 | 소프트커버 | 하드커버 | 레더하드커버 | 소프트커버 | 하드커버 | 레더하드커버 | 소프트커버 | 하드커버 | 레더하드커버 | 소프트커버 | PUR | PUR | PUR | PUR | PUR | PUR | PUR | PUR | PUR | PUR | PUR | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 그레이 | 10 / 12 / 14 /16 | 10 / 12 / 14 /16 | 4 / 6 / 8 / 10 / 12 / 14 | 10 / 12 / 14 /16 | 10 / 12 / 14 /16 | 10 / 12 / 14 /16 | 10 / 12 / 14 /16 | 4 / 6 / 8 / 10 / 12 / 14 | 10 / 12 / 14 /16 | 10 / 12 / 14 /16 | 4 / 6 / 8 / 10 / 12 / 14
캘린더,탁상형캘린더,탁상형캘린더,007-0001,삼각대(그레이) | 블랙 | 개별포장없음 | 수축포장
캘린더,,미니탁상형캘린더,007-0002,삼각대(블랙) | 블랙 | 개별포장없음 | 수축포장
캘린더,엽서캘린더,엽서캘린더,007-0003,가공없음(재단만) | 우드거치대 | 가공없음(재단만) | 1구타공+끈
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,고리형트윈링제본 | 가공없음(재단만) | 2구타공+끈 | 블랙 | ★고리형트윈링제본선택시만 : 링칼라선택
캘린더,,와이드벽걸이캘린더,007-0005,고리형트윈링제본 | 제본없음(재단만) | 블랙 | ★고리형트윈링제본선택시만 : 링칼라선택
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,삼각대(그레이) | 블랙
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,삼각대(블랙) | 블랙
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,고리형트윈링제본 | 블랙
디자인캘린더(가격포함),,와이드벽걸이캘린더,007-0005,고리형트윈링제본 | 블랙
실사,,아트프린트포스터,004-0001,코팅없음 | 무광코팅 | 유광코팅
실사,,아트페이퍼포스터,004-0002,
실사,,방수포스터,004-0003,무광코팅 | 유광코팅 | 0.0 | 0.0
실사,,투명포스터★,,
실사,,접착방수포스터,004-0004,무광코팅 | 유광코팅 | 0.0 | 0.0
실사,,접착투명포스터,004-0005,
실사,,아트패브릭포스터,004-0006,
실사,,린넨패브릭포스터,004-0007,오버로크 | 오버로크+리본끈 | 말아박기 | 말아박기+면끈 | 봉미싱(7cm)
실사,,캔버스패브릭포스터,004-0008,오버로크
실사,,레더아트프린트,004-0009,
실사,,타이벡프린트,004-0010,
실사,,메쉬프린트,004-0011,
실사,,폼보드,004-0012,무광코팅 | 유광코팅 | 화이트보드 | 블랙보드 | 0.0 | 0.0
실사,,포맥스보드,004-0013,무광코팅 | 유광코팅 | 화이트포맥스(3mm) | 화이트포맥스(5mm)
실사,,프레임리스우드액자,004-0014,무광코팅 | 유광코팅
실사,,레더아트액자,004-0015,
실사,,캔버스 행잉포스터,004-0017,오버로크 | 출력만 | 우드행거+면끈 포함 | 0.0 | ???
실사,,린넨 우드봉 족자,004-0018,오버로크+봉미싱(4cm) | 출력만 | 우드봉+면끈 포함 | 0.0 | ???
실사,,족자포스터,004-0016,사각족자 | 원형족자 | 추가없음 | 천정형고리 포함 | 0.0 | 4000?
실사,,PET배너,005-0001,무광코팅 | 유광코팅 | 4구타공 | 거치대없음 | 실내용배너거치대 | 실외용배너거치대 | 0.0 | 10000.0 | 23000.0
실사,,메쉬배너,005-0002,4구타공 | 거치대없음 | 실내용배너거치대 | 실외용배너거치대 | 0.0 | 10000.0 | 23000.0
실사,,일반현수막,005-0003,열재단 | 타공(4개) | 타공(6개) | 타공(8개) | 양면테입 | 봉미싱 | 추가없음 | 큐방(4개)추가 | 끈(4개)추가 | 각목(900이하)+끈(4개) 추가 | 각목(900초과)+끈(4개) 추가 | *가격표참고
실사,,메쉬현수막,005-0004,재단만 | 타공(4개) | 타공(6개) | 타공(8개) | 추가없음 | 끈추가
실사,,무광시트커팅,005-0005,
실사,,홀로그램 시트커팅,005-0006,
실사,,유광아크릴스티커,005-0007,
실사,,미러아크릴스티커,005-0008,
실사,,미니보드스탠딩,005-0009,
실사,,미니배너,005-0010,무광코팅 | 유광코팅
아크릴,단품형,아크릴키링,009-0001,고리없음 | 은색고리 | 금색고리 | 0.0 | *가격표참고 | *가격표참고
아크릴,,아크릴마그넷,009-0002,자석부착 | *가격표참고
아크릴,,아크릴뱃지,009-0003,원형핀 | 1구자석 | *가격표참고
