IMPORT_컬럼,DB_상품(추정),종이수,종이샘플,비고
소량전단지/접지리플렛,소량전단지·접지리플렛,47,띤또레또 200g|띤또레또 250g|랑데뷰 WH 240g|랑데뷰 WH 310g|리브스디자인 250g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
트윈링내지,트윈링책자-내지,16,몽블랑 100g|몽블랑 130g|몽블랑 160g|백색모조지 100g|백색모조지 120g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
트윈링표지,트윈링책자-표지,28,몽블랑 100g|몽블랑 130g|몽블랑 160g|몽블랑 190g|몽블랑 210g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
무선내지,무선책자-내지(반제품),7,몽블랑 100g|몽블랑 130g|백색모조지 120g|스노우지 120g|아트지 120g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
중철내지,중철책자-내지(반제품),13,몽블랑 100g|몽블랑 130g|몽블랑 160g|몽블랑 190g|백색모조지 120g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
중철표지,중철책자-표지(반제품),13,몽블랑 100g|몽블랑 130g|몽블랑 160g|몽블랑 190g|백색모조지 120g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
2단접지카드 / 3단접지카드 / 미니접지카드,2/3단·미니접지카드,14,띤또레또 200g|랑데뷰 WH 240g|리사이클러스 240g|린넨커버 216g|매쉬멜로우 233g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
무선표지,무선책자-표지(반제품),6,몽블랑 240g|백색모조지 220g|스노우지 250g|스노우지 300g|아트지 250g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
벽걸이캘린더,벽걸이캘린더,22,띤또레또 200g|리브스디자인 250g|리사이클러스 240g|린넨커버 216g|매쉬멜로우 233g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
스탠다드엽서,스탠다드엽서,7,백색모조지 220g|스노우지 200g|스노우지 250g|스노우지 300g|아트지 200g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
프리미엄엽서,프리미엄엽서,21,띤또레또 200g|띤또레또 250g|랑데뷰 WH 240g|리사이클러스 240g|린넨커버 216g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
미니탁상형캘린더,미니탁상형캘린더,7,리사이클러스 240g|린넨커버 216g|매쉬멜로우 233g|몽블랑 190g|스노우지 200g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
엽서캘린더,엽서캘린더,10,띤또레또 200g|리사이클러스 240g|린넨커버 216g|매쉬멜로우 233g|몽블랑 190g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
탁상형캘린더,탁상형캘린더,8,띤또레또 200g|리사이클러스 240g|린넨커버 216g|매쉬멜로우 233g|몽블랑 190g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
프리미엄명함,프리미엄명함,16,띤또레또 200g|띤또레또 250g|랑데뷰 WH 240g|랑데뷰 WH 310g|리브스디자인 250g...,IMPORT 실자재 — 상품마스터 별도설정의 실제 소재
