sheet,gubun,prd_nm,mes_item_cd,source_values
스티커,,합판도무송스티커,002-0013,원형 10mm (8EA) | 원형 15mm (8EA) | 원형 20mm (6EA) | 원형 25mm (3EA) | 원형 30mm (2EA) | 원형 35mm (2EA) | 원형 40mm (2EA) | 원형 45mm (1EA) | 원형 50mm (1EA) | 원형 55mm (1EA) | 원형 60mm (1EA) | 정사각 10 x 10mm (8EA) | 정사각 15 x 15mm (8EA) | 정사각 20 x 20mm (6EA) | 정사각 25 x 25mm (3EA) | 정사각 30 x 30mm (2EA) | 정사각 35 x 35mm (2EA) | 정사각 40 x 40mm (2EA) | 정사각 45 x 45mm (1EA) | 정사각 50 x 50mm (1EA) | 정사각 55 x 55mm (1EA) | 정사각 60 x 60mm (1EA) | 정사각 90 x 90mm (1EA) | 직사각 35 x 25mm (2EA) | 직사각 40 x 30mm (2EA) | 직사각 42 x 20mm (2EA) | 직사각 50 x 20mm (2EA) | 직사각 50 x 30mm (2EA) | 직사각 55 x 15mm (2EA) | 직사각 55 x 20mm (2EA) | 직사각 55 x 24mm (2EA) | 직사각 55 x 33mm (2EA) | 직사각 90 x 40mm (2EA) | 직사각 90 x 50mm (1EA) | 직사각 90 x 60mm (1EA) | 직사각 90 x 70mm (1EA) | 직사각 90 x 80mm (1EA)
스티커,,타투스티커,002-0014,90 x 190 mm
책자,책자,중철책자,006-0001,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,무선책자,006-0002,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,PUR책자,006-0003,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,트윈링책자,006-0004,A5 (148 x 210 mm) | A5 (210 x 148 mm) | A4 (210 x 297 mm) | A4 (297 x 210 mm)
책자,하드커버책자,하드커버책자,006-0005,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,레더 하드커버책자,006-0006,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,하드커버 링책자,006-0007,A5 (148 x 210 mm) | A5 (210 x 148 mm) | A4 (210 x 297 mm) | A4 (297 x 210 mm)
책자,,링바인더 (보류중),,A4 (두께A) 31mm | A4 (두께B) 42mm | A4 (두께B) 56mm
책자,,레더 링바인더,,A4
책자,엽서북,엽서북,,100 x 150 mm | 150 x 100 mm | 135 x 135 mm
책자,떡메모지,떡메모지,008-0008,90 x 90 mm | 70 x 120 mm
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,8 x 8 (200 x 200 mm) | 10 x 10 (250 x 250 mm) | A5 (148 x 210 mm) | A4 (210 x 297 mm)
캘린더,탁상형캘린더,탁상형캘린더,007-0001,220 x 145 mm | 130 x 220 mm
캘린더,,미니탁상형캘린더,007-0002,90 x 100 mm | 148 x 60 mm
캘린더,엽서캘린더,엽서캘린더,007-0003,145 x 145 mm | 220 x 130 mm | 220 x 145 mm | 130  x 220 mm | 148 x 210 mm | 145 x 300 mm
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,210 x 297 mm | 210 x 420 mm | 300 x 420 mm
캘린더,,와이드벽걸이캘린더,007-0005,300 x 625 mm
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,220 x 145 mm | 130 x 220 mm
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,90 x 100 mm | 148 x 60 mm
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,145 x 145 mm
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,210 x 297 mm
디자인캘린더(가격포함),,와이드벽걸이캘린더,007-0005,300 x 625 mm
실사,,아트프린트포스터,004-0001,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,아트페이퍼포스터,004-0002,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~900 | 200~3000
실사,,방수포스터,004-0003,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,투명포스터★,,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 20~120 | 20~3000
실사,,접착방수포스터,004-0004,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,접착투명포스터,004-0005,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,아트패브릭포스터,004-0006,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,린넨패브릭포스터,004-0007,A3세로 (297 x 420 mm) | A3가로 (420 x 297 mm) | A2세로 (420 x 594 mm) | A2가로 (594 x 420 mm) | A1세로 (594 x 841 mm) | A1가로 (841 x 594 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,캔버스패브릭포스터,004-0008,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,레더아트프린트,004-0009,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~600 | 200~3000
실사,,타이벡프린트,004-0010,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,메쉬프린트,004-0011,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~600 | 200~3000
실사,,폼보드,004-0012,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 20~120 | 20~240
실사,,포맥스보드,004-0013,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm)
실사,,프레임리스우드액자,004-0014,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm)
실사,,레더아트액자,004-0015,5x5 (127 x 127 mm) | 5x7 (127 x 178 mm) | 8x8 (203 x 203 mm) | 8x10 (203 x 254 mm) | A4 (210 x 297 mm) | A3 (297 x 420 mm)
실사,,캔버스 행잉포스터,004-0017,A4 (210 x 297 mm) | A3 (297 x 420 mm) | A2 (420 x 594 mm)
실사,,린넨 우드봉 족자,004-0018,A4 | A3 | A2
실사,,족자포스터,004-0016,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 300 x 600mm | 900 x 1200mm
실사,,PET배너,005-0001,600x1800mm
실사,,메쉬배너,005-0002,600x1800mm
실사,,일반현수막,005-0003,5000x900mm | 사용자입력 | 500~1750 | 500~5000
실사,,메쉬현수막,005-0004,900 x 900mm | 900 x 1200mm | 5000 x 900mm | 사용자입력 | 500~900 | 500~3000
실사,,무광시트커팅,005-0005,A4 (210 x 297 mm) | A3 (297 x 420 mm) | A2 (420 x 594 mm)
실사,,홀로그램 시트커팅,005-0006,A4 (210 x 297 mm) | A3 (297 x 420 mm) | A2 (420 x 594 mm)
실사,,유광아크릴스티커,005-0007,290 x 90 mm | 290 x 190 mm | 390 x 290 mm | 590 x 390 mm
실사,,미러아크릴스티커,005-0008,290 x 90 mm | 290 x 190 mm | 390 x 290 mm | 590 x 390 mm
실사,,미니보드스탠딩,005-0009,A5 (148 x 210mm) | A4 (210 x 297mm) | A3 (297 x 420mm)
실사,,미니배너,005-0010,150 x 300 mm | 180 x 420 mm
아크릴,단품형,아크릴키링,009-0001,20 x 30 mm | 30 x 30 mm | 30 x 40 mm | 30 x 70mm | 40 x 40 mm | 40 x 50 mm | 40 x 60 mm | 50 x 50 mm | 사용자입력 | 20~100 | 20~100
아크릴,,아크릴마그넷,009-0002,20 x 20 mm | 30 x 30 mm | 30 x 40 mm | 40 x 40 mm | 40 x 50 mm | 50 x 50 mm | 60 x 60 mm | 사용자입력 | 20~80 | 20~80
아크릴,,아크릴뱃지,009-0003,30 x 30 mm | 40 x 40 mm | 50 x 50 mm | 사용자입력 | 30~80 | 30~80
아크릴,,아크릴집게,009-0004,30 x 30 mm | 40 x 40 mm | 50 x 50 mm | 사용자입력 | 30~60 | 30~60
아크릴,,아크릴스마트톡,009-0005,50 x 50 mm | 60 x 60 mm | 70 x 60 mm | 사용자입력 | 50~80 | 50~80
아크릴,,맥세이프 스마트톡,009-0006,50 x 50 mm | 60 x 60 mm | 70 x 60 mm | 사용자입력 | 50~80 | 50~80
아크릴,,아크릴명찰,009-0007,60 x 20 mm | 70 x 25 mm | 80 x 30 mm | 사용자입력 | 60~80 | 20~50
아크릴,,아크릴명찰(골드실버),,60 x 20 mm | 70 x 25 mm | 80 x 30 mm | 사용자입력 | 60~80 | 20~50
아크릴,,아크릴 머리끈,009-0011,20 x 20 mm | 30 x 30 mm | 40 x 40 mm | 사용자입력 | 20~40 | 20~40
아크릴,,아크릴볼펜,009-0008,20 x 20 mm | 30 x 30 mm | 40 x 40 mm | 사용자입력 | 20~40 | 20~40
아크릴,,아크릴지비츠,,15 x 15 mm | 20 x 20 mm | 25 x 25 mm | 30 x 30 mm | 35 x 35 mm | 사용자입력 | 15~35 | 15~35
아크릴,,아크릴네임택,009-0020,60 x 60 mm | 55 x 86 mm
아크릴,,아크릴 포카키링,009-0010,55 x 86 mm
아크릴,,아크릴 코스터,,100 x 100 mm 원형 | 100 x 100 mm 사각
아크릴,조합형,아크릴자유형스탠드,009-0012,120 x 60 mm | 120 x 90 mm | 120 x 120 mm | 120 x 150 mm | 120 x 180 mm
아크릴,,판아크릴,009-0013,120 x 120 mm | 120 x 180 mm
아크릴,,아크릴포카스탠드,009-0014,68 x 103 mm
아크릴,,아크릴미니파츠,009-0015,120 x 50 mm
아크릴,,아크릴코롯토,,30 x 30 mm | 40 x 40 mm | 50 x 50 mm | 60 x 60 mm | 70 x 70 mm | 80 x 80 mm | 사용자입력 | 30~80 | 30~80
아크릴,,포카코롯토,,55 x 86mm
아크릴,,아크릴카라비너,,40 x 69 mm 자물쇠 | 43 x 71 mm 하트자물쇠 | 59 x 54 mm 하트 | 68 x 70 mm 원형
아크릴,,아크릴코롯토,,사용자입력
아크릴,,아크릴입체코롯토,,사용자입력
아크릴,,아크릴입체블럭,,80*80 | 100*150
아크릴,,아크릴쉐이커★,,50 x 50 mm | 60 x 70 mm | 60 x 80 mm | 60 x 90 mm | 60 x 100 mm | 60 x 110 mm
아크릴,,지비츠★,,15mm x 15mm | 20mm x 20mm | 25mm x 25mm | 30mm x 30mm
문구(가격포함),플래너,만년다이어리(소프트커버),008-0020,130 x 190 mm
문구(가격포함),,만년다이어리(하드커버),008-0021,130 x 190 mm
문구(가격포함),,만년다이어리(레더하드커버),008-0022,130 x 190 mm
문구(가격포함),,만년다이어리(레더소프트커버),008-0023,130 x 190 mm
문구(가격포함),,먼슬리플래너,008-0002,A5 (148 x 210 mm)
문구(가격포함),노트,스프링노트,008-0004,A5 (148 x 210 mm)
문구(가격포함),,스프링수첩,008-0005,90 x 145 mm
문구(가격포함),,메모패드,008-0006,144 x 206 mm | 182 x 257 mm
문구(가격포함),,메모패드(내지커스텀) 준비중,,144 x 206 mm
문구(가격포함),,중철노트,008-0007,A6 (105 x 148 mm)
문구(가격포함),,떡메모지,008-0008,90 x 90 mm | 70 x 120 mm
문구(가격포함),,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,
굿즈파우치(가격포함),소품,틴거울,,무광 75mm
굿즈파우치(가격포함),,컴팩트거울,,무광 75mm
굿즈파우치(가격포함),,카드거울,,
굿즈파우치(가격포함),,사각손거울,,S (75x130 mm) | M (95x166 mm) | L (120x218 mm)
굿즈파우치(가격포함),,블랙사각손거울,,S (75x130 mm) | M (95x166 mm) | L (120x218 mm)
굿즈파우치(가격포함),라이프,레더코스터,,원형 90mm | 사각 90mm
굿즈파우치(가격포함),,코르크코스터,,원형 90mm
굿즈파우치(가격포함),,우드코스터,,원형 90mm | 사각 90mm
굿즈파우치(가격포함),,린넨패브릭코스터,,사각 110mm
굿즈파우치(가격포함),,규조토코스터,,원형 102mm | 사각 100mm
굿즈파우치(가격포함),,머그컵,,11온스
굿즈파우치(가격포함),,워터북보틀,,350ml | 500ml
