prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000001,OPP접착봉투,SIZ_000086,130 x 200 mm (50장),130x200mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000087,160 x 230 mm (50장),160x230mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000001,OPP접착봉투,SIZ_000088,230 x 350 mm (50장),230x350mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000372,60 x 90 mm (20장),60x90mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000372,60 x 90 mm (50장),60x90mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000079,80 x 100 mm (50장),80x100mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000080,80 x 120 mm (50장),80x120mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000081,80 x 180 mm (50장),80x180mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000085,110 x 160 mm (50장),110x160mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000091,110 x 250 mm (50장),110x250mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000092,140 x 180 mm (50장),140x180mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000093,140 x 200 mm (50장),140x200mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000094,150 x 150 mm (50장),150x150mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000002,OPP비접착봉투,SIZ_000095,160 x 250 mm (50장),160x250mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000004,카드봉투,SIZ_000104,화이트 165 x 115 mm (10장),165x115mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000004,카드봉투,SIZ_000104,블랙 165 x 115 mm (10장),165x115mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000005,캘린더봉투,SIZ_000106,240 x 230 mm (10장),240x230mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000005,캘린더봉투,SIZ_000107,150 x 310 mm (10장),150x310mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000009,투명케이스,SIZ_000108,PP투명케이스 42 x 57 x 20 mm (10개),42x57x20mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000009,투명케이스,SIZ_000109,PP투명케이스 75 x 75 x 15 mm (10개),75x75x15mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000009,투명케이스,SIZ_000110,PP투명케이스 75 x 110 x 15 mm (10개),75x110x15mm,1,100,1,1,100,1,,1,100,1,,,,SKIP,
PRD_000011,자석고정용고무판,SIZ_000111,20 x 20 (20개입),20x20(20개입),1,100,1,1,100,1,,1,100,1,,,,SKIP,
