prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000082,하드커버 링책자,SIZ_000253,A5 (210 x 148 mm),A5(210x148mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000088,레더 링바인더,SIZ_000258,A4,A4 (210x297mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000094,엽서북,SIZ_000003,100 x 150 mm,100x150,1,10000,1,1,10000,1,2,2,10000,1,,,,SKIP,권위min 1 < 가격표최소구간 2
PRD_000094,엽서북,SIZ_000124,150 x 100 mm,150x100,1,10000,1,1,10000,1,2,2,10000,1,,,,SKIP,권위min 1 < 가격표최소구간 2
PRD_000094,엽서북,SIZ_000004,135 x 135 mm,135x135,1,10000,1,1,10000,1,2,2,10000,1,,,,SKIP,권위min 1 < 가격표최소구간 2
PRD_000097,떡메모지,SIZ_000119,90 x 90 mm,90x90,3,1000,3,3,1000,3,6,6,1000,3,,,,SKIP,권위min 3 < 가격표최소구간 6
PRD_000097,떡메모지,SIZ_000266,70 x 120 mm,70x120,3,1000,3,3,1000,3,6,6,1000,3,,,,SKIP,권위min 3 < 가격표최소구간 6
PRD_000108,탁상형캘린더,SIZ_000069,220 x 145 mm,220x145,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000109,미니탁상형캘린더,SIZ_000018,90 x 100 mm,90x100,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000110,엽서캘린더,SIZ_000072,145 x 145 mm,145x145,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000111,벽걸이캘린더,SIZ_000050,210 x 297 mm,A4 (210X297),1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000112,와이드벽걸이캘린더,SIZ_000077,300 x 625 mm,300x625,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000016,프리미엄엽서,SIZ_000001,73 x 98 mm,73x98,15,10000,15,15,10000,15,1,15,10000,15,15,1000,15,SKIP,
PRD_000016,프리미엄엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,15,10000,15,1,12,10000,12,12,1000,12,MISMATCH,
PRD_000016,프리미엄엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,15,10000,15,1,8,10000,8,,,,FILL,
PRD_000016,프리미엄엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,15,10000,15,1,6,10000,6,,,,FILL,
PRD_000016,프리미엄엽서,SIZ_000005,95 x 210 mm,95x210,6,10000,6,15,10000,15,1,6,10000,6,,,,FILL,
PRD_000016,프리미엄엽서,SIZ_000006,110 x 170 mm,110x170,4,10000,4,15,10000,15,1,4,10000,4,,,,FILL,
PRD_000016,프리미엄엽서,SIZ_000007,148 x 210 mm,148x210,4,10000,4,15,10000,15,1,4,10000,4,,,,FILL,
PRD_000017,코팅엽서,SIZ_000001,73 x 98 mm,73x98,15,10000,15,15,10000,15,1,15,10000,15,,,,SKIP,
PRD_000017,코팅엽서,SIZ_000002,98 x 98 mm,98x98,12,10000,12,15,10000,15,1,12,10000,12,,,,FILL,
PRD_000017,코팅엽서,SIZ_000003,100 x 150 mm,100x150,8,10000,8,15,10000,15,1,8,10000,8,,,,FILL,
PRD_000017,코팅엽서,SIZ_000004,135 x 135 mm,135x135,6,10000,6,15,10000,15,1,6,10000,6,,,,FILL,
