prd_cd,prd_nm,sheet,cur_min,cur_max,cur_incr,cur_dflt,auth_min,auth_max,auth_incr,band_min,prop_min,prop_max,prop_incr,prop_dflt,verdict,note
PRD_000146,아크릴키링,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000147,아크릴마그넷,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000148,아크릴뱃지,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000149,아크릴집게,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000150,아크릴스마트톡,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000151,맥세이프 스마트톡,acrylic,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000152,아크릴명찰,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000153,아크릴명찰(골드실버),acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000154,아크릴 머리끈,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000155,아크릴볼펜,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000156,아크릴지비츠,acrylic,1,10000,1,100,1,10000,1,1,1,10000,1,,OK,
PRD_000157,아크릴네임택,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000158,아크릴 포카키링,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000159,아크릴 코스터,acrylic,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000160,아크릴자유형스탠드,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000161,판아크릴,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000162,아크릴포카스탠드,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000163,아크릴미니파츠,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000164,아크릴코롯토,acrylic,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000165,포카코롯토,acrylic,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000166,아크릴카라비너,acrylic,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000068,중철책자,booklet,2,1000,1,,2,1000,1,1,2,1000,1,,OK,
PRD_000069,무선책자,booklet,2,1000,1,,2,1000,1,10,10,1000,1,,BAND_CONFLICT,권위min 2 < 가격표최소구간 10 → 10 채택
PRD_000070,PUR책자,booklet,2,1000,1,,2,1000,1,10,10,1000,1,,BAND_CONFLICT,권위min 2 < 가격표최소구간 10 → 10 채택
PRD_000071,트윈링책자,booklet,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000072,하드커버책자,booklet,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000077,레더 하드커버책자,booklet,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000082,하드커버 링책자,booklet,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000088,레더 링바인더,booklet,1,1000,1,,1,1000,1,1,1,1000,1,,OK,
PRD_000094,엽서북,booklet,2,10000,1,,1,10000,1,2,2,10000,1,,PROTECTED,권위min 1 < 가격표최소구간 2 → 2 채택
PRD_000097,떡메모지,stationery,6,1000,3,,3,1000,3,6,6,1000,3,,PROTECTED,권위min 3 < 가격표최소구간 6 → 6 채택
PRD_000108,탁상형캘린더,design-calendar,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000109,미니탁상형캘린더,design-calendar,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000110,엽서캘린더,design-calendar,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000111,벽걸이캘린더,design-calendar,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000112,와이드벽걸이캘린더,design-calendar,1,10000,1,,1,10000,1,1,1,10000,1,,OK,
PRD_000016,프리미엄엽서,digital-print,15,10000,15,,15,10000,15,1,15,10000,15,,OK,
PRD_000017,코팅엽서,digital-print,15,10000,15,,15,10000,15,1,15,10000,15,,OK,
PRD_000018,스탠다드엽서,digital-print,15,10000,15,,15,10000,15,1,15,10000,15,,OK,
PRD_000019,투명엽서,digital-print,12,10000,12,,12,10000,12,1,12,10000,12,,OK,
PRD_000020,화이트인쇄엽서,digital-print,12,10000,12,,12,10000,12,1,12,10000,12,,OK,
PRD_000021,핑크별색엽서,digital-print,12,10000,12,,12,10000,12,,12,10000,12,,OK,
PRD_000022,금은별색엽서,digital-print,12,10000,12,,12,10000,12,,12,10000,12,,OK,
PRD_000023,모양엽서,digital-print,12,10000,12,,12,10000,12,,12,10000,12,,OK,
PRD_000024,포토카드,digital-print,20,10000,20,,20,10000,20,20,20,10000,20,,OK,
PRD_000025,투명포토카드,digital-print,20,10000,20,,20,10000,20,20,20,10000,20,,OK,
PRD_000026,종이슬로건,digital-print,4,10000,4,,4,10000,4,1,4,10000,4,,OK,
PRD_000027,2단접지카드,digital-print,8,10000,8,,8,10000,8,10,10,10000,8,,BAND_CONFLICT,권위min 8 < 가격표최소구간 10 → 10 채택
PRD_000028,미니접지카드,digital-print,30,10000,30,,30,10000,30,,30,10000,30,,OK,
PRD_000029,3단접지카드,digital-print,8,10000,8,,8,10000,8,10,10,10000,8,,BAND_CONFLICT,권위min 8 < 가격표최소구간 10 → 10 채택
PRD_000030,지그재그엽서,digital-print,2,10000,2,,2,10000,2,1,2,10000,2,,OK,
PRD_000031,프리미엄명함,digital-print,100,10000,100,,100,10000,100,200,200,10000,100,,BAND_CONFLICT,권위min 100 < 가격표최소구간 200 → 200 채택
PRD_000032,코팅명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000033,스탠다드명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000034,펄명함,digital-print,100,10000,100,,100,10000,100,200,200,10000,100,,BAND_CONFLICT,권위min 100 < 가격표최소구간 200 → 200 채택
PRD_000035,모양명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000036,미니모양명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000037,오리지널박명함,digital-print,200,1000,100,,200,1000,100,200,200,1000,100,,OK,
PRD_000038,형압명함,digital-print,100,10000,100,,100,10000,100,,100,10000,100,,OK,
PRD_000039,투명명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000040,화이트인쇄명함,digital-print,100,10000,100,,100,10000,100,100,100,10000,100,,OK,
PRD_000041,스탠다드 쿠폰/상품권,digital-print,12,10000,12,,12,10000,12,1,12,10000,12,,OK,
PRD_000042,프리미엄 쿠폰/상품권,digital-print,12,10000,12,,12,10000,12,10,12,10000,12,,OK,
PRD_000043,인쇄배경지(OPP봉투타입),digital-print,20,1000,20,,20,1000,20,1,20,1000,20,,OK,
PRD_000044,인쇄배경지(투명케이스타입),digital-print,20,1000,20,,20,1000,20,1,20,1000,20,,OK,
PRD_000045,인쇄헤더택,digital-print,20,1000,20,,20,1000,20,1,20,1000,20,,OK,
PRD_000046,라벨/택,digital-print,20,1000,20,,20,1000,20,1,20,1000,20,,OK,
PRD_000047,소량전단지,digital-print,2,100000,1,,2,100000,1,1,2,100000,1,,OK,
PRD_000048,접지리플렛,digital-print,2,100000,1,,2,100000,1,1,2,100000,1,,OK,
PRD_000049,와이드 접지리플렛,digital-print,2,100000,1,,2,100000,1,1,2,100000,1,,OK,
PRD_000050,봉투제작,digital-print,1000,5000,1000,,1000,5000,1000,1000,1000,5000,1000,,OK,
PRD_000051,썬캡,digital-print,10,1000,10,,10,1000,10,,10,1000,10,,OK,
PRD_000183,틴거울,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000184,컴팩트거울,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000185,카드거울,goods-pouch,3,10000,3,,3,10000,3,,3,10000,3,,OK,
PRD_000186,사각손거울,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000187,블랙사각손거울,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000188,레더코스터,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000189,코르크코스터,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000190,우드코스터,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000191,린넨패브릭코스터,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000192,규조토코스터,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000193,머그컵,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000194,워터북보틀,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000195,벨벳쿠션,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000196,레더여권케이스,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000197,미니매트,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000198,피크닉매트,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000199,투명부채,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000200,핀버튼,goods-pouch,4,10000,4,,4,10000,4,,4,10000,4,,OK,
PRD_000201,레더스트랩키링,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000202,키캡키링,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000203,LED투명키캡키링,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000204,미니CD앨범,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000205,양말,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000206,반팔티셔츠,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000208,슬로건,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000209,후드티셔츠,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000210,초슬림마우스패드,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000212,극세사클리너,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000213,틴케이스,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000214,자석북마크,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000215,클립보드,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000216,투명클립보드,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000217,만년스탬프,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000219,밴드톡,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000220,폰스트랩,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000221,말랑키링,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000222,말랑증사홀더,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000223,말랑포카홀더,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000224,말랑네임택,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000225,말랑여권케이스,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000226,아크릴쉐이커코롯토,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000227,미니우치와키링,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000228,하트 이미지피켓,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000229,이미지피켓,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000230,레더 플랫 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000231,레더 슬림 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000232,레더 삼각 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000233,레더 볼륨 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000234,레더 스트링 파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000235,레더 스트링 원형파우치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000236,레더 플랫 클러치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
PRD_000237,레더 삼각 클러치,goods-pouch,1,10000,1,,1,10000,1,,1,10000,1,,OK,
