prd_cd,prd_nm,n_price_rows,unit_price,has_formula,min_qty,max_qty,qty_incr,qty_rule,note
PRD_000185,카드거울,1,2500.00,N,3,10000,3,Y,선형 단가×수량 — 구간 함정 없음
PRD_000196,레더여권케이스,1,5000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000205,양말,1,3000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000210,초슬림마우스패드,1,5000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000211,장패드,1,18000.00,N,,,,N,선형 단가×수량 — 구간 함정 없음
PRD_000212,극세사클리너,1,2500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000219,밴드톡,1,4500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000223,말랑포카홀더,1,14000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000224,말랑네임택,1,12000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000225,말랑여권케이스,1,14500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000235,레더 스트링 원형파우치,1,16500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000236,레더 플랫 클러치,1,18000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000237,레더 삼각 클러치,1,20000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000248,타이벡 플랫 클러치,1,12500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000251,레더 플랫 미니파우치,1,6500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000253,레더 삼각 미니파우치,1,7200.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000256,레더 플랫 필통,1,7500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000257,레더 슬림 필통,1,8500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000258,레더 삼각 필통,1,8500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000259,레더 볼륨 필통,1,9500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000260,레더 원형 필통,1,10500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000263,레더토트백,1,31000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000265,린넨 미니에코백,1,16500.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000266,린넨 토트백,1,24000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000272,캔버스 포켓숄더백,1,58000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
PRD_000275,타이벡 보냉 미니백,1,25000.00,N,1,10000,1,Y,선형 단가×수량 — 구간 함정 없음
