prd_cd,prd_nm,authority_price_260610,loaded_unit_price,match
PRD_000185,카드거울,2500,2500,Y
PRD_000196,레더여권케이스,5000,5000,Y
PRD_000205,양말,3000,3000,Y
PRD_000210,초슬림마우스패드,5000,5000,Y
PRD_000211,장패드,18000,18000,Y
PRD_000212,극세사클리너,2500,2500,Y
PRD_000219,밴드톡,4500,4500,Y
PRD_000223,말랑포카홀더,14000,14000,Y
PRD_000224,말랑네임택,12000,12000,Y
PRD_000225,말랑여권케이스,14500,14500,Y
PRD_000235,레더 스트링 원형파우치,16500,16500,Y
PRD_000236,레더 플랫 클러치,18000,18000,Y
PRD_000237,레더 삼각 클러치,20000,20000,Y
PRD_000248,타이벡 플랫 클러치,12500,12500,Y
PRD_000251,레더 플랫 미니파우치,6500,6500,Y
PRD_000253,레더 삼각 미니파우치,7200,7200,Y
PRD_000256,레더 플랫 필통,7500,7500,Y
PRD_000257,레더 슬림 필통,8500,8500,Y
PRD_000258,레더 삼각 필통,8500,8500,Y
PRD_000259,레더 볼륨 필통,9500,9500,Y
PRD_000260,레더 원형 필통,10500,10500,Y
PRD_000263,레더토트백,31000,31000,Y
PRD_000265,린넨 미니에코백,16500,16500,Y
PRD_000266,린넨 토트백,24000,24000,Y
PRD_000272,캔버스 포켓숄더백,58000,58000,Y
PRD_000275,타이벡 보냉 미니백,25000,25000,Y
