comp_cd,proc_cd,siz_width,siz_height,min_qty,unit_price,grade,authority_source
COMP_FOIL_SETUP_SMALL,PROC_000038,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000039,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000040,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000043,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000042,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000041,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000037,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_SETUP_SMALL,PROC_000044,,,,5000,,"price-foil-small-l1.csv B01 B3 (80x40mm=5000 verbatim)"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,200,12200,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량200] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,300,14300,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량300] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,400,16400,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량400] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,500,18500,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량500] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,600,20600,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량600] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,700,22700,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량700] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,800,24800,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량800] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,900,26900,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량900] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,1000,29000,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량1000] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,2000,50000,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량2000] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,3000,71000,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량3000] + B02 면적격자[10][10]→A"
COMP_FOIL_PROC_SMALL_STD,PROC_000038,10,10,4000,92000,A,"price-foil-small-l1.csv B03 일반박 [등급A][수량4000] + B02 면적격자[10][10]→A"
