kind,prd_cd,prd_nm,frm_cd,disp_seq,comp_cd,comp_nm,prc_typ_cd,siz_cd,siz_nm,siz_width,siz_height,opt_cd,mat_cd,proc_cd,min_qty,unit_price,opt_nm,mat_nm
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,600.00,600.00,,,,,12000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1000.00,2800.00,,,,,56000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,600.00,2600.00,,,,,31200.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,800.00,800.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,1400.00,,,,,33600.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1000.00,1000.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,800.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,2000.00,,,,,48000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,600.00,3000.00,,,,,36000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,800.00,3000.00,,,,,48000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,2400.00,,,,,57600.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,600.00,1600.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1000.00,600.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,1200.00,,,,,28800.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,800.00,1400.00,,,,,22400.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1000.00,1200.00,,,,,24000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,600.00,,,,,20000.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,800.00,1800.00,,,,,28800.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,600.00,2200.00,,,,,26400.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,1800.00,,,,,43200.00,,
main,PRD_000118,아트프린트포스터,PRF_POSTER_ARTPRINT,1,COMP_POSTER_ARTPRINT_PHOTO,실사 완제품가 (아트프린트포스터·접착방수포스터·아트패브릭포스터·방수포스터),PRICE_TYPE.01,,,1200.00,1000.00,,,,,24000.00,,
