prd_cd,prd_nm,wgt_cd,sel,qty,total,comps,verdict,note
PRD_000001,OPP접착봉투,WGT_000280,"{""siz_cd"": ""SIZ_000078"", ""bdl_qty"": ""50""}",1,1100,,OK,
PRD_000002,OPP비접착봉투,WGT_000290,"{""siz_cd"": ""SIZ_000372"", ""bdl_qty"": ""50""}",1,900,,OK,
PRD_000004,카드봉투,WGT_000292,"{""opt_cd"": ""OPV-000026"", ""bdl_qty"": ""10"", ""siz_cd"": ""SIZ_000104""}",1,1000,,OK,
PRD_000005,캘린더봉투,WGT_000293,"{""siz_cd"": ""SIZ_000107"", ""bdl_qty"": ""10""}",1,2400,,OK,
PRD_000006,볼체인,WGT_000294,"{""mat_cd"": ""MAT_000448"", ""bdl_qty"": ""3""}",1,1000,,OK,
PRD_000007,와이어링,WGT_000295,"{""mat_cd"": ""MAT_000440""}",1,500,,OK,
PRD_000009,투명케이스,WGT_000401,"{""siz_cd"": ""SIZ_000108"", ""bdl_qty"": ""10"", ""mat_cd"": ""MAT_000532""}",1,,,ERR,사이즈 '42x57x20mm' 선택은 '캘린더봉투·케이스·고무판 완제품가(사이즈×묶음수)' 단가가 등록되지 않아 주문할 수 없습니다; 선택값에 매칭되는 구성요소가
PRD_000011,자석고정용고무판,WGT_000402,"{""siz_cd"": ""SIZ_000111"", ""bdl_qty"": ""20""}",1,,,ERR,사이즈 '20x20mm' 선택은 '캘린더봉투·케이스·고무판 완제품가(사이즈×묶음수)' 단가가 등록되지 않아 주문할 수 없습니다; 묶음수 '20' 선택은 '캘린더봉
PRD_000012,우드거치대,WGT_000296,"{""mat_cd"": ""MAT_000397"", ""siz_cd"": ""SIZ_000528""}",1,4000,,OK,
PRD_000013,우드봉,WGT_000281,"{""siz_cd"": ""SIZ_000529""}",1,7000,,OK,
PRD_000014,우드행거,WGT_000403,"{""siz_cd"": ""SIZ_000532""}",1,16000,,OK,
PRD_000015,만년스탬프 리필잉크,WGT_000404,"{""mat_cd"": ""MAT_000541""}",1,2500,,OK,
