prd_cd,prd_nm,wgt_cd,widget_axes,db_siz,db_mat,raw_siz,raw_mat,db_combo,csv_combo,delta,verdict,note
PRD_000118,아트프린트포스터,WGT_000258,"mat_cd,qty,siz_cd",3,1,5,2,3,3,0,OK,
PRD_000119,아트페이퍼포스터,WGT_000324,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000120,방수포스터,WGT_000325,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000121,접착방수포스터,WGT_000326,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000122,접착투명포스터,WGT_000327,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000123,아트패브릭포스터,WGT_000328,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000124,린넨패브릭포스터,WGT_000259,"OPT_000096,mat_cd,qty,siz_cd",6,1,12,2,6,6,0,OK,
PRD_000125,캔버스패브릭포스터,WGT_000329,"OPT_000099,mat_cd,qty,siz_cd",6,1,9,1,6,6,0,OK,
PRD_000126,레더아트프린트,WGT_000330,"mat_cd,qty,siz_cd",3,1,5,2,3,3,0,OK,
PRD_000127,타이벡프린트,WGT_000331,"mat_cd,qty,siz_cd",3,2,5,3,6,6,0,OK,
PRD_000128,메쉬프린트,WGT_000332,"mat_cd,qty,siz_cd",3,1,5,1,3,3,0,OK,
PRD_000129,폼보드,WGT_000333,"OPT_000281,mat_cd,qty,siz_cd",2,4,4,5,8,8,0,OK,
PRD_000130,포맥스보드,WGT_000442,"OPT_000282,mat_cd,qty,siz_cd",2,4,3,5,8,8,0,OK,
PRD_000131,프레임리스우드액자,WGT_000334,"mat_cd,qty,siz_cd",2,1,3,3,2,2,0,OK,
PRD_000132,레더아트액자,WGT_000335,"mat_cd,qty,siz_cd",6,1,6,7,6,6,0,OK,
PRD_000133,캔버스 행잉포스터,WGT_000336,"OPT_000102,OPT_000283,mat_cd,qty,siz_cd",3,1,6,5,3,3,0,OK,
PRD_000134,린넨우드봉족자,WGT_000260,"OPT_000108,OPT_000266,mat_cd,qty,siz_cd",3,1,6,6,3,3,0,OK,
PRD_000135,족자포스터,WGT_000266,"OPT_000268,mat_cd,qty,siz_cd",5,1,7,3,5,5,0,OK,
PRD_000136,PET배너,WGT_000261,"mat_cd,qty,siz_cd",1,1,1,6,1,1,0,OK,
PRD_000137,메쉬배너,WGT_000337,"mat_cd,qty,siz_cd",1,1,1,3,1,1,0,OK,
PRD_000138,일반현수막,WGT_000262,"OPT_000003,OPT_000004,mat_cd,qty,siz_cd",1,1,1,8,1,1,0,OK,
PRD_000139,메쉬현수막,WGT_000338,"OPT_000023,OPT_000285,mat_cd,qty,siz_cd",3,1,3,3,3,3,0,OK,
PRD_000140,무광시트커팅,WGT_000264,"mat_cd,qty,siz_cd",3,2,6,4,6,6,0,OK,
PRD_000141,홀로그램 시트커팅,WGT_000339,"mat_cd,qty,siz_cd",3,1,6,2,3,3,0,OK,
PRD_000142,유광아크릴스티커,WGT_000265,"mat_cd,qty,siz_cd",4,2,4,4,8,8,0,OK,
PRD_000143,미러아크릴스티커,WGT_000340,"mat_cd,qty,siz_cd",4,2,4,4,8,8,0,OK,
PRD_000144,미니보드스탠딩,WGT_000341,"qty,siz_cd",3,0,6,4,3,3,0,OK,
PRD_000145,미니배너,WGT_000342,"OPT_000286,mat_cd,qty,siz_cd",2,1,2,3,2,2,0,OK,
