prd_cd,prd_nm,wgt_cd,위젯축,간극구성요소,총구성요소,간극축,verdict,note
PRD_000001,OPP접착봉투,WGT_000280,"bdl_qty,qty,siz_cd",0,1,,OK,
PRD_000002,OPP비접착봉투,WGT_000290,"bdl_qty,qty,siz_cd",0,1,,OK,
PRD_000004,카드봉투,WGT_000292,"OPT-000012,bdl_qty,qty,siz_cd",1,1,opt_cd,GAP,
PRD_000005,캘린더봉투,WGT_000293,"bdl_qty,qty,siz_cd",0,1,,OK,
PRD_000006,볼체인,WGT_000294,"bdl_qty,mat_cd,qty",0,1,,OK,
PRD_000007,와이어링,WGT_000295,"mat_cd,qty",0,1,,OK,
PRD_000009,투명케이스,WGT_000401,"bdl_qty,qty,siz_cd",0,1,,OK,
PRD_000011,자석고정용고무판,WGT_000402,"bdl_qty,qty,siz_cd",0,1,,OK,
PRD_000012,우드거치대,WGT_000296,"mat_cd,qty",0,1,,OK,
PRD_000013,우드봉,WGT_000281,"OPT_000292,qty,siz_cd",1,1,mat_cd,GAP,
PRD_000014,우드행거,WGT_000403,"OPT_000293,qty,siz_cd",1,1,mat_cd,GAP,
PRD_000015,만년스탬프 리필잉크,WGT_000404,"mat_cd,qty",0,1,,OK,
PRD_000016,프리미엄엽서,WGT_000242,"mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000017,코팅엽서,WGT_000243,"OPT_000011,mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000018,스탠다드엽서,WGT_000244,"mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000019,투명엽서,WGT_000245,"mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000020,화이트인쇄엽서,WGT_000246,"OPT_000317,OPT_000318,mat_cd,qty,siz_cd",9,10,"coat_side_cnt,print_opt_cd,proc_cd,spot_side_cnt",GAP,
PRD_000021,핑크별색엽서,WGT_000298,"OPT_000315,mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000024,포토카드,WGT_000423,"OPT_000328,OPT_000329,mat_cd,print_opt_cd,qty,siz_cd",2,2,"bdl_qty,opt_cd",GAP,
PRD_000025,투명포토카드,WGT_000433,"OPT_000327,mat_cd,print_opt_cd,qty,siz_cd",1,1,bdl_qty,GAP,
PRD_000026,종이슬로건,WGT_000443,"OPT_000316,mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000027,2단접지카드,WGT_000248,"mat_cd,print_opt_cd,qty,siz_cd",23,25,"coat_side_cnt,proc_cd",GAP,
PRD_000028,미니접지카드,WGT_000304,"mat_cd,print_opt_cd,qty,siz_cd",10,11,"coat_side_cnt,proc_cd",GAP,
PRD_000029,3단접지카드,WGT_000299,"mat_cd,print_opt_cd,qty,siz_cd",23,25,"coat_side_cnt,proc_cd",GAP,
PRD_000030,지그재그엽서,WGT_000297,"mat_cd,print_opt_cd,qty,siz_cd",2,4,proc_cd,GAP,
PRD_000031,프리미엄명함,WGT_000249,"mat_cd,print_opt_cd,qty,siz_cd",9,11,proc_cd,GAP,
PRD_000032,코팅명함,WGT_000314,"OPT_000322,mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000033,스탠다드명함,WGT_000315,"mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000034,펄명함,WGT_000316,"mat_cd,print_opt_cd,qty,siz_cd",3,5,proc_cd,GAP,
PRD_000035,모양명함,WGT_000250,"OPT_000254,mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000036,미니모양명함,WGT_000319,"OPT_000255,mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000037,오리지널박명함,WGT_000251,"mat_cd,qty,siz_cd",3,3,"opt_cd,print_opt_cd",GAP,
PRD_000038,형압명함,WGT_000252,"mat_cd,print_opt_cd,qty,siz_cd",3,4,proc_cd,GAP,
PRD_000039,투명명함,WGT_000317,"mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000040,화이트인쇄명함,WGT_000318,"OPT_000319,OPT_000323,mat_cd,qty,siz_cd",2,2,"print_opt_cd,proc_cd,spot_side_cnt",GAP,
PRD_000041,스탠다드 쿠폰/상품권,WGT_000253,"mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000042,프리미엄 쿠폰/상품권,WGT_000237,"mat_cd,print_opt_cd,qty,siz_cd",21,23,"coat_side_cnt,proc_cd,spot_side_cnt",GAP,
PRD_000043,인쇄배경지(일반형),WGT_000254,"mat_cd,print_opt_cd,qty,siz_cd",2,4,proc_cd,GAP,
PRD_000044,인쇄배경지(커팅형),WGT_000255,"OPT_000265,mat_cd,print_opt_cd,qty,siz_cd",2,4,proc_cd,GAP,
PRD_000045,인쇄헤더택,WGT_000322,"OPT_000280,mat_cd,print_opt_cd,qty,siz_cd",2,4,proc_cd,GAP,
PRD_000046,라벨/택,WGT_000323,"OPT-000010,mat_cd,print_opt_cd,qty,siz_cd",1,3,proc_cd,GAP,
PRD_000047,소량전단지,WGT_000320,"mat_cd,print_opt_cd,qty,siz_cd",9,10,"coat_side_cnt,proc_cd",GAP,
PRD_000048,접지리플렛,WGT_000321,"mat_cd,print_opt_cd,qty,siz_cd",10,11,"coat_side_cnt,proc_cd",GAP,
PRD_000049,와이드 접지리플렛,WGT_000305,"mat_cd,print_opt_cd,qty,siz_cd",10,11,"coat_side_cnt,proc_cd",GAP,
PRD_000050,봉투제작,WGT_000441,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000052,반칼 자유형 스티커,WGT_000437,"OPT_000008,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000053,반칼 자유형 투명스티커,WGT_000256,"OPT_000104,mat_cd,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,"OPT_000214,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000055,낱장 자유형 스티커,WGT_000434,"OPT-000039,OPT_000112,OPT_000277,qty,siz_cd",1,1,mat_cd,GAP,
PRD_000056,낱장 자유형 투명스티커,WGT_000435,"OPT_000216,OPT_000251,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000057,대형 자유형 스티커,WGT_000436,"OPT_000248,OPT_000249,OPT_000278,qty,siz_cd",1,1,mat_cd,GAP,
PRD_000058,반칼원형스티커,WGT_000257,"OPT-000031,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000059,반칼정사각스티커,WGT_000308,"OPT_000162,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000060,반칼직사각스티커,WGT_000309,"OPT_000252,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000061,반칼띠지스티커,WGT_000310,"OPT_000168,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000062,반칼팬시스티커,WGT_000311,"OPT_000171,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000063,반칼팬시투명스티커,WGT_000312,"OPT_000253,OPT_000279,mat_cd,qty,siz_cd",0,1,,OK,
PRD_000067,타투스티커,WGT_000313,"mat_cd,qty,siz_cd",0,1,,OK,
PRD_000068,중철책자,WGT_000420,"mat_cd,pages,print_opt_cd,qty,siz_cd",1,1,proc_cd,GAP,
PRD_000069,무선책자,WGT_000288,"mat_cd,pages,print_opt_cd,qty,siz_cd",7,7,proc_cd,GAP,
PRD_000070,PUR책자,WGT_000429,"mat_cd,pages,print_opt_cd,qty,siz_cd",7,7,proc_cd,GAP,
PRD_000071,트윈링책자,WGT_000428,"OPT_000136,OPT_000275,OPT_000276,mat_cd,pages,print_opt_cd,qty,siz_cd",1,1,proc_cd,GAP,
PRD_000072,하드커버책자,WGT_000430,"OPT_000324,mat_cd,pages,print_opt_cd,qty,siz_cd",0,1,,OK,
PRD_000077,레더하드커버책자,WGT_000432,"mat_cd,pages,print_opt_cd,qty,siz_cd",0,1,,OK,
