prd_cd,prd_nm,wgt_cd,comp_cd,sel,qty,total,verdict,err
PRD_000001,OPP접착봉투,WGT_000280,COMP_ACC_ENV_OPP_ADH,"{""siz_cd"": ""SIZ_000078"", ""bdl_qty"": 50}",1,1100,OK,
PRD_000002,OPP비접착봉투,WGT_000290,COMP_ACC_ENV_OPP_NADH,"{""siz_cd"": ""SIZ_000372"", ""bdl_qty"": 20}",1,600,OK,
PRD_000004,카드봉투,WGT_000292,COMP_ACC_ENV_CLR_BDL,"{""bdl_qty"": 10, ""opt_cd"": ""OPV-000026""}",1,1000,OK,
PRD_000005,캘린더봉투,WGT_000293,COMP_ACC_ENV_ETC,"{""siz_cd"": ""SIZ_000106"", ""bdl_qty"": 10}",1,2500,OK,
PRD_000006,볼체인,WGT_000294,COMP_ACC_PART_MAT,"{""mat_cd"": ""MAT_000448""}",1,1000,OK,
PRD_000007,와이어링,WGT_000295,COMP_ACC_PART_MAT,"{""mat_cd"": ""MAT_000448""}",1,1000,OK,
PRD_000009,투명케이스,WGT_000401,COMP_ACC_ENV_ETC,"{""siz_cd"": ""SIZ_000106"", ""bdl_qty"": 10}",1,2500,OK,
PRD_000011,자석고정용고무판,WGT_000402,COMP_ACC_ENV_ETC,"{""siz_cd"": ""SIZ_000106"", ""bdl_qty"": 10}",1,2500,OK,
PRD_000012,우드거치대,WGT_000296,COMP_ACC_PART_MAT,"{""mat_cd"": ""MAT_000448""}",1,1000,OK,
PRD_000013,우드봉,WGT_000281,COMP_ACC_WOOD_SIZ,"{""siz_cd"": ""SIZ_000529""}",1,7000,OK,
PRD_000014,우드행거,WGT_000403,COMP_ACC_WOOD_SIZ,"{""siz_cd"": ""SIZ_000529""}",1,7000,OK,
PRD_000015,만년스탬프 리필잉크,WGT_000404,COMP_ACC_PART_MAT,"{""mat_cd"": ""MAT_000448""}",1,1000,OK,
PRD_000016,프리미엄엽서,WGT_000242,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",15,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000017,코팅엽서,WGT_000243,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",15,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000018,스탠다드엽서,WGT_000244,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",15,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000019,투명엽서,WGT_000245,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",12,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000020,화이트인쇄엽서,WGT_000246,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",12,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
PRD_000021,핑크별색엽서,WGT_000298,COMP_PRINT_DIGITAL_S1,"{""print_opt_cd"": ""POPT_000001"", ""proc_cd"": ""PROC_000004"", ""plt_siz_cd"": ""SIZ_000077""}",12,,ERR,[COMP_PRINT_DIGITAL_S1] 판수 환산 불가(판형/완제품사이즈 확인); [COMP_PRINT_SPOT_WHITE_S1] 판수 환산 불가(판형/완제품사이즈 확인); [
