prd_cd,prd_nm,a3_verdict,a3_matched,a3_value_mismatch,a3_candidate_ok,a3_candidate_mismatch,a3_missing,a3_extra,a3_unresolved,a3_basis
PRD_000118,아트프린트포스터,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000119,아트페이퍼포스터,PASS,39,0,0,0,0,0,0,일치 39건 + 후보일치 0건
PRD_000120,방수포스터,PASS,104,0,0,0,0,0,0,일치 104건 + 후보일치 0건
PRD_000121,접착방수포스터,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000122,접착투명포스터,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000123,아트패브릭포스터,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000124,린넨패브릭포스터,PASS,52,0,0,0,0,5,0,일치 52건 + 후보일치 0건
PRD_000125,캔버스패브릭포스터,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000126,레더아트프린트,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000127,타이벡프린트,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000128,메쉬프린트,PASS,52,0,0,0,0,0,0,일치 52건 + 후보일치 0건
PRD_000129,폼보드,FAIL,0,0,3,1,0,0,2,값 불일치 1건
PRD_000130,포맥스보드,PASS,0,0,4,0,0,0,2,일치 0건 + 후보일치 4건
PRD_000131,프레임리스우드액자,PASS,2,0,0,0,1,0,0,일치 2건 + 후보일치 0건
PRD_000132,레더아트액자,PASS,6,0,0,0,0,0,0,일치 6건 + 후보일치 0건
PRD_000133,캔버스 행잉포스터,PASS,3,0,0,0,0,3,0,일치 3건 + 후보일치 0건
PRD_000134,린넨우드봉족자,PASS,3,0,0,0,0,0,0,일치 3건 + 후보일치 0건
PRD_000135,족자포스터,PASS,3,0,2,0,0,0,0,일치 3건 + 후보일치 2건
PRD_000136,PET배너,PASS,0,0,1,0,0,0,0,일치 0건 + 후보일치 1건
PRD_000137,메쉬배너,PASS,0,0,1,0,0,0,0,일치 0건 + 후보일치 1건
PRD_000138,일반현수막,PASS,80,0,0,0,0,10,0,일치 80건 + 후보일치 0건
PRD_000139,메쉬현수막,PASS,48,0,0,0,0,6,0,일치 48건 + 후보일치 0건
PRD_000140,무광시트커팅,UNVERIFIED,0,0,0,0,0,0,0,권위 블록 미대응 — 대조 불가
PRD_000141,홀로그램 시트커팅,UNVERIFIED,0,0,0,0,0,0,0,권위 블록 미대응 — 대조 불가
PRD_000142,유광아크릴스티커,UNVERIFIED,0,0,0,0,0,0,0,권위 블록 미대응 — 대조 불가
PRD_000143,미러아크릴스티커,UNVERIFIED,0,0,0,0,0,0,0,권위 블록 미대응 — 대조 불가
PRD_000144,미니보드스탠딩,UNVERIFIED,0,0,0,0,0,0,0,권위 블록 미대응 — 대조 불가
PRD_000145,미니배너,PASS,0,0,10,0,0,0,0,일치 0건 + 후보일치 10건
