tmpl_cd,tmpl_nm,base_prd_cd,base_nm,base_state,combo_yn,base_formula,live_price,price_rows,addon_links,auth_price,auth_row,match,verdict,flags
TMPL-000081,OPP비접착봉투 140 x 200 mm (50장),PRD_000002,OPP비접착봉투,LIVE,N,Y,1400.0,1,1,1400.0,22,exact,OK,
TMPL-000082,OPP비접착봉투 150 x 150 mm (50장),PRD_000002,OPP비접착봉투,LIVE,N,Y,1300.0,1,0,1300.0,23,exact,OK-주의,P5 고아
TMPL-000083,OPP비접착봉투 160 x 250 mm (50장),PRD_000002,OPP비접착봉투,LIVE,N,Y,1500.0,1,1,1500.0,24,exact,OK,
TMPL-000084,행택끈 사각검정 (100개),PRD_000010,행택끈,LIVE,N,N,3000.0,1,0,3000.0,52,exact,OK-주의,P5 고아
TMPL-000085,행택끈 사각백색 (100개),PRD_000010,행택끈,LIVE,N,N,3000.0,1,0,3000.0,53,exact,OK-주의,P5 고아
TMPL-000086,행택끈 사각마사 (100개),PRD_000010,행택끈,LIVE,N,N,4000.0,1,0,4000.0,54,exact,OK-주의,P5 고아
TMPL-000087,자석고정용고무판 20 x 20 (20개입),PRD_000011,자석고정용고무판,LIVE,N,Y,1000.0,1,0,1000.0,55,exact,OK-주의,P5 고아
TMPL-000092,아크릴거치대,PRD_000309,아크릴거치대,DEAD,N,N,1400.0,1,1,,,,UNVERIFIED,P3 권위미대응; N2 baseDEAD(단가보유·가격정상)
TMPL-000096,천정고리(2개1세트),PRD_000008,천정고리,DEAD,N,N,6500.0,1,1,6500.0,48,exact,OK-주의,N2 baseDEAD(단가보유·가격정상)
TMPL-000097,린넨우드봉족자-A4-우드봉+면끈 포함,PRD_000134,린넨우드봉족자,LIVE,Y,Y,13000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000098,린넨우드봉족자-A3-우드봉+면끈 포함,PRD_000134,린넨우드봉족자,LIVE,Y,Y,18000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000099,린넨우드봉족자-A2-우드봉+면끈 포함,PRD_000134,린넨우드봉족자,LIVE,Y,Y,28000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000100,워터북보틀-워터북보틀 500ml,PRD_000194,워터북보틀,LIVE,Y,Y,9300.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000101,워터북보틀-워터북보틀 350ml,PRD_000194,워터북보틀,LIVE,Y,Y,9000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000102,규조토코스터-사각(100x100mm),PRD_000192,규조토코스터,LIVE,Y,N,5000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000103,규조토코스터-원형(102mm),PRD_000192,규조토코스터,LIVE,Y,N,5000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000104,폼보드-A2 (420X594mm)-화이트보드,PRD_000129,폼보드,LIVE,Y,Y,12000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000105,폼보드-A2 (420X594mm)-블랙보드,PRD_000129,폼보드,LIVE,Y,Y,14000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000106,폼보드-A3 (297x420mm)-화이트보드,PRD_000129,폼보드,LIVE,Y,Y,7000.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000107,폼보드-A3 (297x420mm)-블랙보드,PRD_000129,폼보드,LIVE,Y,Y,8500.0,1,0,,,,UNVERIFIED,P3 권위미대응; P5 고아
TMPL-000108,우드봉-270mm,PRD_000013,우드봉,LIVE,Y,Y,7000.0,2,0,7000.0,57,fuzzy,OK-주의,P5 고아
TMPL-000109,우드봉-360mm,PRD_000013,우드봉,LIVE,Y,Y,9800.0,1,0,9800.0,58,fuzzy,OK-주의,P5 고아
TMPL-000110,우드봉-480mm,PRD_000013,우드봉,LIVE,Y,Y,12000.0,1,0,12000.0,59,fuzzy,OK-주의,P5 고아
TMPL-000111,우드행거-230mm,PRD_000014,우드행거,LIVE,Y,Y,16000.0,1,0,16000.0,60,fuzzy,OK-주의,P5 고아
TMPL-000112,우드행거-320mm,PRD_000014,우드행거,LIVE,Y,Y,18000.0,1,0,18000.0,61,fuzzy,OK-주의,P5 고아
TMPL-000113,우드행거-440mm,PRD_000014,우드행거,LIVE,Y,Y,20000.0,1,0,20000.0,62,fuzzy,OK-주의,P5 고아
TMPL-000115,배너거치대 (실내용),PRD_000315,배너거치대 (실내용),LIVE,N,N,7000.0,1,2,7000.0,가격표!포스터사인!232,fuzzy,OK,
TMPL-000116,배너거치대 (실외용-단면),PRD_000316,배너거치대 (실외용-단면),LIVE,N,N,23000.0,1,2,23000.0,가격표!포스터사인!233,fuzzy,OK,
TMPL-000117,배너거치대 (실외용-양면),PRD_000317,배너거치대 (실외용-양면),LIVE,N,N,25000.0,1,2,25000.0,가격표!포스터사인!234,fuzzy,OK,
TMPL-000120,포맥스보드-A3(297x420mm)-포맥스(화이트) 3mm,PRD_000130,포맥스보드,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000121,포맥스보드-A3(297x420mm)-포맥스(화이트) 5mm,PRD_000130,포맥스보드,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000122,포맥스보드-A2(420x594mm)-포맥스(화이트) 3mm,PRD_000130,포맥스보드,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000123,포맥스보드-A2(420x594mm)-포맥스(화이트) 5mm,PRD_000130,포맥스보드,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000124,미니배너-150x300mm,PRD_000145,미니배너,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000125,미니배너-180x420mm,PRD_000145,미니배너,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000126,캔버스 행잉포스터-A2 (420X594mm)-우드행거+면끈 포함,PRD_000133,캔버스 행잉포스터,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000127,캔버스 행잉포스터-A4(210x297mm)-우드행거+면끈 포함,PRD_000133,캔버스 행잉포스터,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000128,캔버스 행잉포스터-A3 (297x420mm)-우드행거+면끈 포함,PRD_000133,캔버스 행잉포스터,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000129,레더아트액자-A4(210x297mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000130,레더아트액자-A3(297x420mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000131,레더아트액자-5x5(127x127mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000132,레더아트액자-5x7(127x178mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000133,레더아트액자-8x8(203x203mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
TMPL-000134,레더아트액자-8x10(203x254mm),PRD_000132,레더아트액자,LIVE,Y,Y,,0,0,,,,OK-주의,N1 단가없음(base계산 위임); P5 고아
