prd_cd,prd_nm,wgt_cd,siz_nm,mat_nm,supply,err
PRD_000118,아트프린트포스터,WGT_000258,A1 (594X841mm),인화지,20000,
PRD_000118,아트프린트포스터,WGT_000258,A2 (420X594mm),인화지,12000,
PRD_000118,아트프린트포스터,WGT_000258,A3 (297x420mm),인화지,12000,
PRD_000119,아트페이퍼포스터,WGT_000324,A1 (594X841mm),매트지,20000,
PRD_000119,아트페이퍼포스터,WGT_000324,A2 (420X594mm),매트지,12000,
PRD_000119,아트페이퍼포스터,WGT_000324,A3 (297x420mm),매트지,12000,
PRD_000120,방수포스터,WGT_000325,A1 (594X841mm),PET,20000,
PRD_000120,방수포스터,WGT_000325,A2 (420X594mm),PET,12000,
PRD_000120,방수포스터,WGT_000325,A3 (297x420mm),PET,12000,
PRD_000121,접착방수포스터,WGT_000326,A1 (594X841mm),PVC,20000,
PRD_000121,접착방수포스터,WGT_000326,A2 (420X594mm),PVC,12000,
PRD_000121,접착방수포스터,WGT_000326,A3 (297x420mm),PVC,12000,
PRD_000122,접착투명포스터,WGT_000327,A1 (594X841mm),투명PVC,55000,
PRD_000122,접착투명포스터,WGT_000327,A2 (420X594mm),투명PVC,16000,
PRD_000122,접착투명포스터,WGT_000327,A3 (297x420mm),투명PVC,16000,
PRD_000123,아트패브릭포스터,WGT_000328,A1 (594X841mm),그래픽천,20000,
PRD_000123,아트패브릭포스터,WGT_000328,A2 (420X594mm),그래픽천,12000,
PRD_000123,아트패브릭포스터,WGT_000328,A3 (297x420mm),그래픽천,12000,
PRD_000124,린넨패브릭포스터,WGT_000259,A1세로(594x841mm),린넨(화이트),30000,
PRD_000124,린넨패브릭포스터,WGT_000259,A1가로 (841x594mm),린넨(화이트),30000,
PRD_000124,린넨패브릭포스터,WGT_000259,A2세로 (420x594mm),린넨(화이트),17000,
PRD_000124,린넨패브릭포스터,WGT_000259,A2가로(594x420mm),린넨(화이트),17000,
PRD_000124,린넨패브릭포스터,WGT_000259,A3세로 (297x420mm),린넨(화이트),17000,
PRD_000124,린넨패브릭포스터,WGT_000259,A3가로 (420x297mm),린넨(화이트),17000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A1세로(594x841mm),캔버스(옥스포드),35000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A1가로 (841x594mm),캔버스(옥스포드),35000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A2세로 (420x594mm),캔버스(옥스포드),19000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A2가로(594x420mm),캔버스(옥스포드),19000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A3세로 (297x420mm),캔버스(옥스포드),19000,
PRD_000125,캔버스패브릭포스터,WGT_000329,A3가로 (420x297mm),캔버스(옥스포드),19000,
PRD_000126,레더아트프린트,WGT_000330,A1 (594X841mm),레더(화이트),35000,
PRD_000126,레더아트프린트,WGT_000330,A2 (420X594mm),레더(화이트),19000,
PRD_000126,레더아트프린트,WGT_000330,A3 (297x420mm),레더(화이트),19000,
PRD_000127,타이벡프린트,WGT_000331,A1 (594X841mm),타이벡(하드),35000,
PRD_000127,타이벡프린트,WGT_000331,A1 (594X841mm),타이벡(소프트),35000,
PRD_000127,타이벡프린트,WGT_000331,A2 (420X594mm),타이벡(하드),19000,
PRD_000127,타이벡프린트,WGT_000331,A2 (420X594mm),타이벡(소프트),19000,
PRD_000127,타이벡프린트,WGT_000331,A3 (297x420mm),타이벡(하드),19000,
PRD_000127,타이벡프린트,WGT_000331,A3 (297x420mm),타이벡(소프트),19000,
PRD_000128,메쉬프린트,WGT_000332,A1 (594X841mm),메쉬,35000,
PRD_000128,메쉬프린트,WGT_000332,A2 (420X594mm),메쉬,19000,
PRD_000128,메쉬프린트,WGT_000332,A3 (297x420mm),메쉬,19000,
PRD_000129,폼보드,WGT_000333,A2 (420X594mm),A3 폼보드(화이트) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000129,폼보드,WGT_000333,A2 (420X594mm),A3 폼보드(블랙) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000129,폼보드,WGT_000333,A2 (420X594mm),A2 폼보드(화이트) 5mm,12000,
PRD_000129,폼보드,WGT_000333,A2 (420X594mm),A2 폼보드(블랙) 5mm,14000,
PRD_000129,폼보드,WGT_000333,A3 (297x420mm),A3 폼보드(화이트) 5mm,6000,
PRD_000129,폼보드,WGT_000333,A3 (297x420mm),A3 폼보드(블랙) 5mm,8500,
PRD_000129,폼보드,WGT_000333,A3 (297x420mm),A2 폼보드(화이트) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000129,폼보드,WGT_000333,A3 (297x420mm),A2 폼보드(블랙) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000130,포맥스보드,WGT_000442,A2(420x594mm),A3 포맥스(화이트) 3mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000130,포맥스보드,WGT_000442,A2(420x594mm),A2 포맥스(화이트) 3mm,13000,
PRD_000130,포맥스보드,WGT_000442,A2(420x594mm),A3 포맥스(화이트) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000130,포맥스보드,WGT_000442,A2(420x594mm),A2 포맥스(화이트) 5mm,16000,
PRD_000130,포맥스보드,WGT_000442,A3(297x420mm),A3 포맥스(화이트) 3mm,8500,
PRD_000130,포맥스보드,WGT_000442,A3(297x420mm),A2 포맥스(화이트) 3mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000130,포맥스보드,WGT_000442,A3(297x420mm),A3 포맥스(화이트) 5mm,10000,
PRD_000130,포맥스보드,WGT_000442,A3(297x420mm),A2 포맥스(화이트) 5mm,,현재 선택하신 사양은 가격을 계산할 수 없습
PRD_000131,프레임리스우드액자,WGT_000334,A2(420x594mm),유포지,23000,
PRD_000131,프레임리스우드액자,WGT_000334,A3(297x420mm),유포지,16000,
PRD_000132,레더아트액자,WGT_000335,5x5(127x127mm),레더(화이트),9000,
PRD_000132,레더아트액자,WGT_000335,5x7(127x178mm),레더(화이트),10000,
PRD_000132,레더아트액자,WGT_000335,8x10(203x254mm),레더(화이트),13000,
PRD_000132,레더아트액자,WGT_000335,8x8(203x203mm),레더(화이트),11000,
PRD_000132,레더아트액자,WGT_000335,A3(297x420mm),레더(화이트),21000,
PRD_000132,레더아트액자,WGT_000335,A4(210x297mm),레더(화이트),16000,
PRD_000133,캔버스 행잉포스터,WGT_000336,A2 (420X594mm),캔버스(옥스포드),20000,
PRD_000133,캔버스 행잉포스터,WGT_000336,A3 (297x420mm),캔버스(옥스포드),10500,
PRD_000133,캔버스 행잉포스터,WGT_000336,A4(210x297mm),캔버스(옥스포드),6000,
PRD_000134,린넨우드봉족자,WGT_000260,A2,린넨(화이트),16000,
PRD_000134,린넨우드봉족자,WGT_000260,A3,린넨(화이트),8200,
PRD_000134,린넨우드봉족자,WGT_000260,A4,린넨(화이트),6000,
PRD_000135,족자포스터,WGT_000266,300x600mm,PET,15000,
PRD_000135,족자포스터,WGT_000266,900x1200mm,PET,32000,
PRD_000135,족자포스터,WGT_000266,A1 (594X841mm),PET,22000,
PRD_000135,족자포스터,WGT_000266,A2 (420X594mm),PET,15000,
PRD_000135,족자포스터,WGT_000266,A3 (297x420mm),PET,13000,
PRD_000136,PET배너,WGT_000261,600x1800mm,PET,22000,
PRD_000137,메쉬배너,WGT_000337,600x1800mm,메쉬,38000,
PRD_000138,일반현수막,WGT_000262,5000x900mm,현수막천,,선택하신 사이즈가 주문 가능한 범위를 초과했
PRD_000139,메쉬현수막,WGT_000338,5000x900mm,메쉬,,선택하신 사이즈가 주문 가능한 범위를 초과했
PRD_000139,메쉬현수막,WGT_000338,900x1200mm,메쉬,21600,
PRD_000139,메쉬현수막,WGT_000338,900x900mm,메쉬,20000,
PRD_000140,무광시트커팅,WGT_000264,A2 (420X594mm),시트커팅지(화이트),32000,
PRD_000140,무광시트커팅,WGT_000264,A2 (420X594mm),시트커팅지(블랙),32000,
PRD_000140,무광시트커팅,WGT_000264,A3 (297x420mm),시트커팅지(화이트),11000,
PRD_000140,무광시트커팅,WGT_000264,A3 (297x420mm),시트커팅지(블랙),11000,
PRD_000140,무광시트커팅,WGT_000264,A4(210x297mm),시트커팅지(화이트),6000,
PRD_000140,무광시트커팅,WGT_000264,A4(210x297mm),시트커팅지(블랙),6000,
PRD_000141,홀로그램 시트커팅,WGT_000339,A2 (420X594mm),시트커팅지(홀로그램),32000,
PRD_000141,홀로그램 시트커팅,WGT_000339,A3 (297x420mm),시트커팅지(홀로그램),16000,
PRD_000141,홀로그램 시트커팅,WGT_000339,A4(210x297mm),시트커팅지(홀로그램),8000,
PRD_000142,유광아크릴스티커,WGT_000265,290x190mm,아크릴(블랙) 3mm,14000,
PRD_000142,유광아크릴스티커,WGT_000265,290x190mm,아크릴(화이트) 3mm,14000,
PRD_000142,유광아크릴스티커,WGT_000265,290x90mm,아크릴(블랙) 3mm,9000,
PRD_000142,유광아크릴스티커,WGT_000265,290x90mm,아크릴(화이트) 3mm,9000,
PRD_000142,유광아크릴스티커,WGT_000265,390x290mm,아크릴(블랙) 3mm,32000,
PRD_000142,유광아크릴스티커,WGT_000265,390x290mm,아크릴(화이트) 3mm,32000,
PRD_000142,유광아크릴스티커,WGT_000265,590x390mm,아크릴(블랙) 3mm,37000,
PRD_000142,유광아크릴스티커,WGT_000265,590x390mm,아크릴(화이트) 3mm,37000,
PRD_000143,미러아크릴스티커,WGT_000340,290x190mm,아크릴(실버) 3mm,18000,
PRD_000143,미러아크릴스티커,WGT_000340,290x190mm,아크릴(골드) 3mm,18000,
PRD_000143,미러아크릴스티커,WGT_000340,290x90mm,아크릴(실버) 3mm,11000,
PRD_000143,미러아크릴스티커,WGT_000340,290x90mm,아크릴(골드) 3mm,11000,
PRD_000143,미러아크릴스티커,WGT_000340,390x290mm,아크릴(실버) 3mm,29000,
PRD_000143,미러아크릴스티커,WGT_000340,390x290mm,아크릴(골드) 3mm,29000,
PRD_000143,미러아크릴스티커,WGT_000340,590x390mm,아크릴(실버) 3mm,50000,
PRD_000143,미러아크릴스티커,WGT_000340,590x390mm,아크릴(골드) 3mm,50000,
PRD_000144,미니보드스탠딩,WGT_000341,A3 (297x420mm),,26000,
PRD_000144,미니보드스탠딩,WGT_000341,A4(210x297mm),,18000,
PRD_000144,미니보드스탠딩,WGT_000341,A5(148x210mm),,14000,
PRD_000145,미니배너,WGT_000342,150x300mm,PET,,bad_qty
PRD_000145,미니배너,WGT_000342,180x420mm,PET,26000,
