prd_cd,opt_grp_cd,opt_grp_nm,sel_typ_cd,min_sel_cnt,max_sel_cnt,mand_yn,disp_seq,use_yn,del_yn
PRD_000072,OPT_000064,면지색,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000077,OPT_000065,면지색,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000082,OPT_000066,면지색,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000088,OPT_000067,면지색,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000140,OPT_000068,색상,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000142,OPT_000069,색상,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000197,OPT_000070,색상,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000198,OPT_000071,색상,SEL_TYPE.01,1,1,Y,1,Y,N
PRD_000217,OPT_000072,잉크색,SEL_TYPE.01,1,1,Y,1,Y,N
