prd_cd,mat_cd,usage_cd,dep_proc_cd,dflt_yn,disp_seq
PRD_000146,MAT_000192,USAGE.07,,Y,1
PRD_000147,MAT_000192,USAGE.07,,Y,1
PRD_000148,MAT_000192,USAGE.07,,Y,1
PRD_000149,MAT_000192,USAGE.07,,Y,1
PRD_000150,MAT_000192,USAGE.07,,Y,1
PRD_000151,MAT_000192,USAGE.07,,Y,1
PRD_000152,MAT_000192,USAGE.07,,Y,1
PRD_000154,MAT_000192,USAGE.07,,Y,1
PRD_000155,MAT_000192,USAGE.07,,Y,1
PRD_000156,MAT_000192,USAGE.07,,Y,1
PRD_000157,MAT_000192,USAGE.07,,Y,1
PRD_000158,MAT_000192,USAGE.07,,Y,1
PRD_000159,MAT_000192,USAGE.07,,Y,1
PRD_000160,MAT_000192,USAGE.07,,Y,1
PRD_000161,MAT_000192,USAGE.07,,Y,1
PRD_000162,MAT_000192,USAGE.07,,Y,1
PRD_000163,MAT_000192,USAGE.07,,Y,1
PRD_000164,MAT_000192,USAGE.07,,Y,1
PRD_000165,MAT_000192,USAGE.07,,Y,1
PRD_000166,MAT_000192,USAGE.07,,Y,1
