prd_cd,qty_unit_typ_cd,nonspec_yn,nonspec_width_min,nonspec_width_max,nonspec_height_min,nonspec_height_max
PRD_000001,,N,,,,
PRD_000002,,N,,,,
PRD_000003,,N,,,,
PRD_000004,,N,,,,
PRD_000005,,N,,,,
PRD_000006,,N,,,,
PRD_000007,,N,,,,
PRD_000008,,N,,,,
PRD_000009,,N,,,,
PRD_000010,,N,,,,
PRD_000011,,N,,,,
PRD_000012,,N,,,,
PRD_000013,,N,,,,
PRD_000014,,N,,,,
PRD_000015,,N,,,,
PRD_000016,,N,,,,
PRD_000017,,N,,,,
PRD_000018,,N,,,,
PRD_000019,,N,,,,
PRD_000020,,N,,,,
PRD_000021,,N,,,,
PRD_000022,,N,,,,
PRD_000023,,N,,,,
PRD_000024,,N,,,,
PRD_000025,,N,,,,
PRD_000026,,N,,,,
PRD_000027,,N,,,,
PRD_000028,,N,,,,
PRD_000029,,N,,,,
PRD_000030,,N,,,,
PRD_000031,,N,,,,
PRD_000032,,N,,,,
PRD_000033,,N,,,,
PRD_000034,,N,,,,
PRD_000035,,N,,,,
PRD_000036,,N,,,,
PRD_000037,,N,,,,
PRD_000038,,N,,,,
PRD_000039,,N,,,,
PRD_000040,,N,,,,
PRD_000041,,N,,,,
PRD_000042,,N,,,,
PRD_000043,,N,,,,
PRD_000044,,N,,,,
PRD_000045,,N,,,,
PRD_000046,,N,,,,
PRD_000047,,N,,,,
PRD_000048,,N,,,,
PRD_000049,,N,,,,
PRD_000050,,N,,,,
PRD_000051,,N,,,,
PRD_000052,,N,,,,
PRD_000053,,N,,,,
PRD_000054,,N,,,,
PRD_000055,,N,,,,
PRD_000056,,N,,,,
PRD_000057,,N,,,,
PRD_000058,,N,,,,
PRD_000059,,N,,,,
PRD_000060,,N,,,,
PRD_000061,,N,,,,
PRD_000062,,N,,,,
PRD_000063,,N,,,,
PRD_000064,,N,,,,
PRD_000065,,N,,,,
PRD_000066,,N,,,,
PRD_000067,,N,,,,
PRD_000068,,N,,,,
PRD_000069,,N,,,,
PRD_000070,,N,,,,
PRD_000071,,N,,,,
PRD_000072,,N,,,,
PRD_000077,,N,,,,
PRD_000082,,N,,,,
PRD_000088,,N,,,,
PRD_000094,,N,,,,
PRD_000097,,N,,,,
PRD_000100,,N,,,,
PRD_000108,,N,,,,
PRD_000109,,N,,,,
PRD_000110,,N,,,,
PRD_000111,,N,,,,
PRD_000112,,N,,,,
PRD_000118,,Y,,,,
PRD_000119,,Y,,,,
PRD_000120,,Y,,,,
PRD_000121,,Y,,,,
PRD_000122,,Y,,,,
PRD_000123,,Y,,,,
PRD_000124,,Y,,,,
PRD_000125,,Y,,,,
PRD_000126,,Y,,,,
PRD_000127,,Y,,,,
PRD_000128,,Y,,,,
PRD_000129,,N,,,,
PRD_000130,,N,,,,
PRD_000131,,N,,,,
PRD_000132,,N,,,,
PRD_000133,,N,,,,
PRD_000134,,N,,,,
PRD_000135,,N,,,,
PRD_000136,,N,,,,
PRD_000137,,N,,,,
PRD_000138,,Y,,,,
PRD_000139,,Y,,,,
PRD_000140,,N,,,,
PRD_000141,,N,,,,
PRD_000142,,N,,,,
PRD_000143,,N,,,,
PRD_000144,,N,,,,
PRD_000145,,N,,,,
