prd_cd,proc_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt,del_yn,del_dt
PRD_000018,PROC_000027,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000018,PROC_000028,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000027,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000029,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000027,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000028,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000031,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,PROC_000027,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000033,PROC_000028,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000043,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000042,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000041,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000037,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000042,PROC_000044,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000047,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000047,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000048,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000048,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,PROC_000060,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,PROC_000071,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000049,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000053,PROC_000054,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000054,PROC_000054,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000056,PROC_000053,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000066,PROC_000055,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000068,PROC_000018,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000068,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000068,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000038,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000019,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000015,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000039,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000076,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000014,N,1,2026-06-03 12:46:02.974607,,N,
PRD_000069,PROC_000040,N,1,2026-06-03 12:46:02.974607,,N,
