product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,선택(옵션)_선택,선택(옵션)_가격,가격,가공(옵션)_가공,가공(옵션)_가격,제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,구간할인적용테이블,Z,AA,AB,AC,AD,AE
14684,타이벡 스트링 파우치,,0,174,,14684,,타이벡 스트링 파우치,M,,210 x 520,,,타이벡스트링파우치,JPG,패브릭인쇄,Y,Y,,,10000,,,1,10000,1,,,,,,,,,
14684,타이벡 스트링 파우치,,1,175,,,,,L,,250 x 620,,,,JPG,패브릭인쇄,Y,Y,,,12000,,,1,10000,1,,,,,,,,,
14684,타이벡 스트링 파우치,,2,176,,,,,XL,,320 x 820,,,,JPG,패브릭인쇄,Y,Y,,,15000,,,1,10000,1,,,,,,,,,
14685,타이벡 플랫 클러치,,0,177,,14685,,타이벡 플랫 클러치,,,640 x 230,,,타이벡플랫클러치,JPG,패브릭인쇄,Y,Y,,,12500,,,1,10000,1,,,,,,,,,
14687,메쉬슬림파우치,메쉬파우치,0,179,메쉬파우치,14687,,메쉬슬림파우치,M,,220 x 294,,,메쉬슬림파우치,JPG,패브릭인쇄,Y,Y,,,8600,,,1,10000,1,,,,,,,,,
14687,메쉬슬림파우치,메쉬파우치,1,180,,,,,L,,260 x 374,,,,JPG,패브릭인쇄,Y,Y,,,10000,,,1,10000,1,,,,,,,,,
14688,메쉬볼륨파우치,,0,181,,14688,,메쉬볼륨파우치,직사각L,,380 x 454,,,,JPG,패브릭인쇄,Y,Y,,,15000,,,1,10000,1,,,,,,,,,
14690,레더 플랫 미니파우치,미니파우치,0,183,미니파우치,14690,,레더 플랫 미니파우치,,,130 x 240,,,,JPG,패브릭인쇄,Y,Y,,,6500,,,1,10000,1,,,,,,,,,
14691,레더 슬림 미니파우치,,0,184,,14691,,레더 슬림 미니파우치,직사각,,130 x 194,,,,JPG,패브릭인쇄,Y,Y,,,6000,,,1,10000,1,,,,,,,,,
14691,레더 슬림 미니파우치,,1,185,,,,,정사각,,140 x 254,,,,JPG,패브릭인쇄,Y,Y,,,6500,,,1,10000,1,,,,,,,,,
