product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),내지파일사양_MES ITEM_CD,내지파일사양_블리드,내지파일사양_작업사이즈,내지파일사양_재단사이즈,내지파일사양_파일명약어,내지파일사양_출력파일,내지파일사양_폴더,내지종이(필수),내지인쇄(필수),내지페이지(필수)_최소,내지페이지(필수)_최대,내지페이지(필수)_증가,표지파일사양_MES ITEM_CD,표지파일사양_블리드,표지파일사양_작업사이즈,표지파일사양_파일명약어,표지파일사양_출력파일,표지파일사양_폴더,표지종이(필수),표지인쇄(필수),표지옵션(옵션)_표지코팅(옵션),표지옵션(옵션)_투명커버(옵션),박(표지) / 형압 (옵션)_박/형압가공,박(표지) / 형압 (옵션)_크기,박(표지) / 형압 (옵션)_박칼라,제본(필수),제본(옵션)_제본방향(옵션),제본(옵션)_면지(옵션),제본(옵션)_링컬러(옵션),제본(옵션)_바인더링(옵션),제본(옵션)_제본(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,주문방법(필수)_업로드,주문방법(필수)_편집기,개별포장(옵션),COMMENT,AR,AS,AT
14592,중철책자,책자,0,3,책자,14592,006-0001,중철책자,A5 (148 x 210 mm),006-5006,2,150 x 214,148 x 210,중철,PDF,책자,*별도설정,양면,4,28,4,006-5005,2,300 x 214,[내지파일]_cover,PDF,디지털인쇄,*별도설정,단면,코팅없음,,,,,중철제본,,,,,,2,1000,1,Y,,,중철책자 표지 AI / 내지 AI,,,
14592,중철책자,책자,1,4,,,,,A4 (210 x 297 mm),,3,213 x 303,210 x 297,중철,,책자,,,4,28,4,,3,426 x 303,,,디지털인쇄,,양면,무광코팅(단면),,,,,,,,,,,2,1000,1,,,,중철책자 표지 AI / 내지 AI,,,
14592,중철책자,책자,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,유광코팅(단면),,,,,,,,,,,,,,,,,,,,
14593,무선책자,,0,7,,14593,006-0002,무선책자,A5 (148 x 210 mm),006-5008,2,150 x 214,148 x 210,무선,PDF,책자,*별도설정,양면,24,300,2,006-5007,5,,[내지파일]_cover,PDF,책자,*별도설정,단면,코팅없음,,박(없음),"크기(가로x세로)
★최소 30x30 / 최대170x170",금유광,무선제본,,,,,,2,1000,1,Y,,개별포장없음,"무선책자 표지(3,5,10,20mm) AI / 내지 AI",,,
14593,무선책자,,1,8,,,,,A4 (210 x 297 mm),,3,213 x 303,210 x 297,무선,,책자,,,24,300,2,,5,,,,책자,,양면,무광코팅(단면),,박(있음),,은유광,,,,,,,2,1000,1,,,수축포장,"무선책자 표지(3,5,10,20mm) AI / 내지 AI",,,
14593,무선책자,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,유광코팅(단면),,,,먹유광,,,,,,,,,,,,,,,,
14593,무선책자,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동박,,,,,,,,,,,,,,,,
14593,무선책자,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,,,,,,,,,,
14593,무선책자,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,,,,,,,,,,
14593,무선책자,,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,,,,,,,,,,
14593,무선책자,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,,,,,,,,,,
14593,무선책자,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(없음),크기(가로x세로),,,,,,,,,,,,,,,,,
14593,무선책자,,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(음각),★최소 30x30 / 최대 170x170,,,,,,,,,,,,,,,,,
14593,무선책자,,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(양각),,,,,,,,,,,,,,,,,,
14594,PUR책자,,0,21,,14594,006-0003,PUR책자,A5 (148 x 210 mm),,2,150 x 214,148 x 210,PUR,PDF,디지털인쇄,*별도설정,단면,24,300,2,,5,,[내지파일]_cover,PDF,디지털인쇄,*별도설정,단면,코팅없음,,박(없음),"크기(가로x세로)
★최소 30x30 / 최대170x170",금유광,PUR제본,,,,,,2,1000,1,Y,,개별포장없음,"무선책자 표지(3,5,10,20mm) AI / 내지 AI",,,
14594,PUR책자,,1,22,,,,,A4 (210 x 297 mm),,3,213 x 303,210 x 297,PUR,,디지털인쇄,,양면,24,300,2,,5,,,,디지털인쇄,,양면,무광코팅(단면),,박(있음),,은유광,,,,,,,2,1000,1,,,수축포장,"무선책자 표지(3,5,10,20mm) AI / 내지 AI",,,
14594,PUR책자,,2,23,,,,,,,,,,,,,,,,,,,,*책등에따라다름,,,,,,유광코팅(단면),,,,먹유광,,,,,,,,,,,,,,,,
14594,PUR책자,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동박,,,,,,,,,,,,,,,,
14594,PUR책자,,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,,,,,,,,,,
14594,PUR책자,,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,,,,,,,,,,
14594,PUR책자,,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,,,,,,,,,,
14594,PUR책자,,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,,,,,,,,,,
14594,PUR책자,,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(없음),크기(가로x세로),,,,,,,,,,,,,,,,,
14594,PUR책자,,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(음각),★최소 30x30 / 최대 170x170,,,,,,,,,,,,,,,,,
14594,PUR책자,,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(양각),,,,,,,,,,,,,,,,,,
14595,트윈링책자,,0,33,,14595,006-0004,트윈링책자,A5 (148 x 210 mm),006-5011,2,150 x 214,148 x 210,트윈링,PDF,디지털인쇄,*별도설정,단면,8,100,2,006-5010,2,150 x 214,,PDF,디지털인쇄,*별도설정,단면,코팅없음,투명커버없음,,,,트윈링제본,좌철,,화이트링,,,1,1000,1,Y,,개별포장없음,링책자 표지 AI / 내지 AI,,,
14595,트윈링책자,,1,34,,,,,A5 (210 x 148 mm),,2,214 x 150,210 x 148,트윈링,,디지털인쇄,,양면,,,,,2,214 x 150,,,디지털인쇄,,양면,무광코팅(단면),유광투명커버,,,,,상철,,블랙링,,,1,1000,1,,,수축포장,링책자 표지 AI / 내지 AI,,,
14595,트윈링책자,,2,35,,,,,A4 (210 x 297 mm),,3,216 x 303,210 x 297,트윈링,,디지털인쇄,,,,,,,3,213 x 303,,,디지털인쇄,,,유광코팅(단면),무광투명커버,,,,,,,메탈링,,,1,1000,1,,,,링책자 표지 AI / 내지 AI,,,
14595,트윈링책자,,3,36,,,,,A4 (297 x 210 mm),,3,303 x 213,297 x 210,트윈링,,디지털인쇄,,,,,,,3,303 x 213,,,디지털인쇄,,,,,,,,,,,,,,1,1000,1,,,,링책자 표지 AI / 내지 AI,,,
14596,하드커버책자,하드커버책자,0,38,하드커버책자,14596,006-0005,하드커버책자,A5 (148 x 210 mm),,2,150 x 214,148 x 210,PUR하드,PDF,디지털인쇄,*별도설정,단면,24,300,2,,,,,PDF,디지털인쇄,전용지,단면,무광코팅(단면),,,,,하드커버무선제본,,화이트면지,,,,1,1000,1,Y,,개별포장없음,"무선책자 하드커거(10,18mm) AI / 내지 AI",,,
14596,하드커버책자,하드커버책자,1,39,,,,,A4 (210 x 297 mm),,3,213 x 303,210 x 150,PUR하드,,디지털인쇄,,양면,24,300,2,,,,,,,,,유광코팅(단면),,,,,,,블랙면지,,,,1,1000,1,,,수축포장,"무선책자 하드커거(10,18mm) AI / 내지 AI",,,
14596,하드커버책자,하드커버책자,2,40,,,,,,,,,,,,,,,,,,,,*책등에따라다름,,,,,,,,,,,,,그레이면지,,,,,,,,,,,,,
14567,레더 하드커버책자,,0,42,,14567,006-0006,레더 하드커버책자,A5 (148 x 210 mm),,2,150 x 214,148 x 210,PUR하드,PDF,디지털인쇄,*별도설정,단면,24,300,2,,,,,PDF,특수인쇄,레더(화이트),단면,,,,,,하드커버무선제본,,화이트면지,,,,1,1000,1,Y,,개별포장없음,"무선책자 하드커거(10,18mm) AI / 내지 AI",,,
14567,레더 하드커버책자,,1,43,,,,,A4 (210 x 297 mm),,3,213 x 303,210 x 150,PUR하드,,실사출력,,양면,24,300,2,,,,,,,,,,,,,,,,블랙면지,,,,1,1000,1,,,수축포장,"무선책자 하드커거(10,18mm) AI / 내지 AI",,,
14567,레더 하드커버책자,,2,44,,,,,,,,,,,,,,,,,,,,*책등에따라다름,,,,,,,,,,,,,그레이면지,,,,,,,,,,,,,
14598,하드커버 링책자,,0,46,,14598,006-0007,하드커버 링책자,A5 (148 x 210 mm),,2,150 x 214,148 x 210,트윈링하드,PDF,디지털인쇄,*별도설정,단면,8,100,2,,,,,PDF,디지털인쇄,전용지,단면,무광코팅(단면),,,,,하드커버트윈링제본,좌철,화이트면지,화이트링,,,1,1000,1,Y,,개별포장없음,링책자 하드커버표지 AI / 내지 AI,,,
14598,하드커버 링책자,,1,47,,,,,A5 (210 x 148 mm),,2,214 x 150,210 x 150,트윈링하드,,디지털인쇄,,양면,8,100,2,,,,,,,,,유광코팅(단면),,,,,,상철,블랙면지,블랙링,,,1,1000,1,,,수축포장,링책자 하드커버표지 AI / 내지 AI,,,
