product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),접지(옵션),제작수량(필수)_건수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_모서리,후가공(옵션)_오시,후가공(옵션)_미싱,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,가격공식,AO,AP,AQ,AR
14531,스탠다드엽서,,4,23,,,,,148 x 210 mm,6,1,150 x 212,148 x 210,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14531,스탠다드엽서,,5,24,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트레싱지봉투 160x110 mm 20장,,,,,,
14759,투명엽서,,0,26,,14759,001-0004,투명엽서,98 x 98 mm,8,1,100 x 100,98 x 98,315x467,투명엽서,PDF(+W),디지털인쇄,Y,,투명PET 260g,단면,화이트인쇄(없음),,,,,,,,,12,10000,12,직각,,,,,,,,엽서봉투 ★사이즈선택 : 100x150,,[인쇄-,,,,
14759,투명엽서,,1,27,,,,,100 x 150 mm,6,1,102 x 152,100 x 150,,,,,,,반투명PET 260g,,화이트인쇄(단면),,,,,,,,,8,10000,8,둥근,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14759,투명엽서,,2,28,,,,,135 x 135 mm,4,1,137 x 137,135 x 135,,,,,,,,,화이트인쇄(양면),,,,,,,,,6,10000,6,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14759,투명엽서,,3,29,,,,,148 x 210 mm,,1,150 x 212,148 x 210,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14759,투명엽서,,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14759,투명엽서,,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트레싱지봉투 160x110 mm 20장,,,,,,
14761,화이트인쇄엽서,,0,33,,14761,001-0006,화이트인쇄엽서,98 x 98 mm,,1,100 x 100,98 x 98,316x467,별색엽서,PDF(+WC),디지털인쇄,Y,,큐리어스스킨 블랙 270g,,화이트인쇄(없음),클리어인쇄(없음),,,,,,,,12,10000,12,,,,,,,,,엽서봉투 ★사이즈선택 : 100x150,,,,,,
14761,화이트인쇄엽서,,1,34,,,,,100 x 150 mm,,1,102 x 152,100 x 150,,,,,,,큐리어스스킨 레드 270g,,화이트인쇄(단면),클리어인쇄(단면),,,,,,,,8,10000,8,,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,클리어인쇄(단면)
14761,화이트인쇄엽서,,2,35,,,,,135 x 135 mm,,1,137 x 137,135 x 135,,,,,,,큐리어스스킨 바이올렛 270g,,화이트인쇄(양면),클리어인쇄(양면),,,,,,,,6,10000,6,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14761,화이트인쇄엽서,,3,36,,,,,148 x 210 mm,,1,150 x 212,148 x 210,,,,,,,큐리어스스킨 다크블루 270g,,,,,,,,,,,4,10000,4,,,,,,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트레싱지봉투 160x110 mm 20장,,,,,,
14761,화이트인쇄엽서,,6,40,,,,핑크별색엽서,98 x 98 mm,,1,100 x 100,98 x 98,316x467,별색엽서,PDF(+P),디지털인쇄,Y,,몽블랑190,단면,,,핑크인쇄(없음),,,,,,,12,10000,12,,,,,,,,,엽서봉투 ★사이즈선택 : 100x150,,,별색엽서_100x100_큐레드270_D_PWGSC_[거래처]_[파일번호]_[주문자]_[수량],,,
14761,화이트인쇄엽서,,7,41,,,,,100 x 150 mm,,1,102 x 152,100 x 150,,,,,,,몽블랑240,양면,,,핑크인쇄(단면),,,,,,,8,10000,8,,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14761,화이트인쇄엽서,,8,42,,,,,135 x 135 mm,,1,137 x 137,135 x 135,,,,,,,아코팩(웜화이트)250,,,,핑크인쇄(양면),,,,,,,6,10000,6,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14761,화이트인쇄엽서,,9,43,,,,,148 x 210 mm,,1,150 x 212,148 x 210,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,11,46,,,,금은별색엽서,98 x 98 mm,,1,100 x 100,98 x 98,316x467,별색엽서,PDF(+GS),디지털인쇄,Y,,몽블랑190,단면,,,,금색인쇄(없음),은색인쇄(없음),,,,,12,10000,12,,,,,,,,,엽서봉투 ★사이즈선택 : 100x150,,,별색엽서_100x100_큐레드270_D_GS_[거래처]_[파일번호]_[주문자]_[수량],,,
14761,화이트인쇄엽서,,12,47,,,,,100 x 150 mm,,1,102 x 152,100 x 150,,,,,,,몽블랑240,양면,,,,금색인쇄(단면),은색인쇄(단면),,,,,8,10000,8,,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14761,화이트인쇄엽서,,13,48,,,,,135 x 135 mm,,1,137 x 137,135 x 135,,,,,,,아코팩(웜화이트)250,,,,,금색인쇄(양면),은색인쇄(양면),,,,,6,10000,6,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14761,화이트인쇄엽서,,14,49,,,,,148 x 210 mm,,1,150 x 212,148 x 210,,,,,,,,,,,,,,,,,,4,10000,4,,,,,,,,,카드봉투(화이트) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,15,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,카드봉투(블랙) 165x115 mm 50장,,,,,,
14761,화이트인쇄엽서,,16,52,,,,모양엽서,90 x 90 mm,,1,100 x 100,90 x 90,316x467,커팅엽서,PDF,디지털인쇄,Y,,몽블랑190,단면,,,,,,,자유형,,,12,10000,12,,,,,,,,,,,,커팅엽서_,,,
14761,화이트인쇄엽서,,17,53,,,,,,,,,,,,,,,,몽블랑240,양면,,,,,,,,,,,,,,,,,,,,,,,,,,,
14761,화이트인쇄엽서,,18,54,,,,,,,,,,,,,,,,아코팩(웜화이트)250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14536,포토카드,포토카드,0,56,포토카드,14536,001-0012,포토카드,55 x 86 mm,,1,57 x 88,55 x 86,316x467,포토카드,PDF,디지털인쇄,Y,Y,아트300,단면,화이트인쇄(단면),,,,,무광코팅(양면),,,,20,10000,20,직각,,,,,,,,,,,포카_57x88_아트300_D_[거래처]_[파일번호]_[주문자]_[수량],,,
14536,포토카드,포토카드,1,57,,,,,,,,,,,,,,,,,양면,,,,,,유광코팅(양면),,,,,,,둥근,,,,,,,,,,,,,,
14763,투명포토카드,,0,59,,14763,001-0013,투명포토카드,55 x 86 mm,,1,57 x 88,55 x 86,315x467,포토카드,PDF(+W),디지털인쇄,Y,Y,투명PET 260g,단면,화이트인쇄(단면),,,,,,,,,20,10000,20,직각,,,,,,,,,,,포카_57x88_투명260_S_[거래처]_[파일번호]_[주문자]_[수량],,,
14763,투명포토카드,,1,60,,,,,,,,,,,,,,,,반투명PET 260g,,,,,,,,,,,,,,둥근,,,,,,,,,,,,,,
14537,종이슬로건,,0,62,,14537,001-0014,종이슬로건,300 x 100 mm,,1,302 x 102,300 x 100,316x467,슬로건,PDF,디지털인쇄,Y,,아트300,단면,,,,,,무광코팅(양면),,,,4,10000,4,,,,,,,,,,,,,,,
14537,종이슬로건,,1,63,,,,,400 x 145 mm,,1,402 x 147,400 x 145,316x467,,,,,,,양면,,,,,,유광코팅(양면),,,,2,10000,2,,,,,,,,,,,,,,,
14532,2단접지카드,접지카드,0,65,접지카드,14532,001-0014,2단접지카드,100 x 150 mm,8,1,202 x 152,200 x 150,316x467,2단접지,PDF,디지털인쇄,Y,,*별도설정,양면,,,,,,,,"2단 가로접지
★사이즈선택 : 150x100 / 135x135 / 170x110",,8,10000,8,,,,없음,없음,박(없음),"박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 90x140",금유광,,,,2단접지_202 x 152_몽블랑240_D_[거래처]_[파일번호]_[주문자]_[수량],,,
14532,2단접지카드,접지카드,1,66,,,,,150 x 100 mm,8,1,152 x 202,150 x 200,,,,,,,,,,,,,,,,"2단 세로접지
★사이즈선택 : 100x150 / 135x135 / 110x170",,8,10000,8,,,,1개,1개,박(있음),★사이즈선택 : 최소 30x30 / 최대 140x90,은유광,,,,,,,
14532,2단접지카드,접지카드,2,67,,,,,135 x 135 mm,8,2,274 x 139,270 x 135,,,,,,,,,,,,,,,,,,8,10000,8,,,,2개,2개,,★사이즈선택 : 최소 30x30 / 최대 125x125,동박,,,,,,,
14532,2단접지카드,접지카드,3,68,,,,,,8,2,139 x 274,135 x 270,,,,,,,,,,,,,,,,,,8,10000,8,,,,3개,3개,,★사이즈선택 : 최소 30x30 / 최대 125x125,먹유광,,,,,,,
14532,2단접지카드,접지카드,4,69,,,,,110 x 170 mm,8,2,224 x 174,220 x 170,,,,,,,,,,,,,,,,,,8,10000,8,,,,,,,★사이즈선택 : 최소 30x30 / 최대 100x160,청박,,,,,,,
14532,2단접지카드,접지카드,5,70,,,,,170 x 110 mm,10,2,174 x 224,170 x 220,,,,,,,,,,,,,,,,,,8,10000,8,,,,,,,★사이즈선택 : 최소 30x30 / 최대 160x100,적박,,,,,,,
14532,2단접지카드,접지카드,6,71,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14532,2단접지카드,접지카드,7,72,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,
14532,2단접지카드,접지카드,8,73,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14532,2단접지카드,접지카드,9,74,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14532,2단접지카드,접지카드,10,75,,,,미니접지카드,90 x 50 mm,,1,92 x 104,90 x 100,316x467,접지명함,PDF,디지털인쇄,Y,,*별도설정,양면,,,,,,,,"2단 가로접지
★사이즈선택 : 90x50 / 86x52",,30,10000,30,,,,없음,없음,박(없음),"박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 80x40",,,,,,,,
14532,2단접지카드,접지카드,11,76,,,,,50 x 90 mm,,1,,,,,,,,,,,,,,,,,,"2단 세로접지
★사이즈선택 : 50x90 / 53x86",,,,,,,,1개,1개,박(있음),★사이즈선택 : 최소 30x30 / 최대 40x80,,,,,,,,
14532,2단접지카드,접지카드,12,77,,,,,86 x 52 mm,,,88 x 106,86 x 104,316x467,,,,,,,,,,,,,,,,,,,,,,,2개,2개,,★사이즈선택 : 최소 30x30 / 최대 80x40,,,,,,,,
14532,2단접지카드,접지카드,13,78,,,,,52 x  86 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,3개,3개,,★사이즈선택 : 최소 30x30 / 최대 40x80,,,,,,,,
14533,3단접지카드,,0,85,,14533,001-0009,3단접지카드,100 x 150 mm,,1,300 x 152,298 x 150,316x467,3단접지,PDF,디지털인쇄,Y,,*별도설정,양면,,,,,,,,"3단가로접지
★사이즈선택 : 150x100 / 135x135",,8,10000,8,,,,없음,없음,박(없음),"박크기(가로x세로)
★사이즈선택 : 최소 30x30 / 최대 90x140",금유광,,,,3단접지_300x152_몽블랑240_D_[거래처]_[파일번호]_[주문자]_[수량],,,
14533,3단접지카드,,1,86,,,,,150 x 100 mm,,1,152 x 300,150 x 298,316x467,,,,,,,,,,,,,,,"3단세로접지
★사이즈선택 : 100x150 / 135x135",,8,10000,8,,,,1개,1개,박(있음),★사이즈선택 : 최소 30x30 / 최대 140x90,은유광,,,,,,,
14533,3단접지카드,,2,87,,,,,135 x 135 mm,,2,407 x 139,403 x 135,316x467,,,,,,,,,,,,,,,,,8,10000,8,,,,2개,2개,,★사이즈선택 : 최소 30x30 / 최대 125x125,동박,,,,,,,
14533,3단접지카드,,3,88,,,,,135 x 135 mm,,2,139 x 407,135 x 403,316x467,,,,,,,,,,,,,,,,,8,10000,8,,,,3개,3개,,★사이즈선택 : 최소 30x30 / 최대 125x125,먹유광,,,,,,,
14533,3단접지카드,,4,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,
14533,3단접지카드,,5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,
14533,3단접지카드,,6,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14533,3단접지카드,,7,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,
14534,지그재그엽서,,0,94,,14534,001-0010,지그재그엽서,600 x 150 mm,,2,604 x 154,600 x 150,330x660,지그재그,PDF,디지털인쇄,Y,,몽블랑130g,양면,,,,,,,,6단오시접지,,2,10000,2,,,,,,,,,,,,지그재그_604x154_몽블랑130_D_[거래처]_[파일번호]_[주문자]_[수량],,,
14534,지그재그엽서,,1,95,,,,,150 x 600 mm,,2,154 x 604,150 x 600,330x660,,,,,,,,,,,,,,,6단미싱접지,,,,,,,,,,,,,,,,,,,
14551,프리미엄명함,명함,0,97,명함,14551,003-0001,프리미엄명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,명함,PDF,디지털인쇄,Y,,*별도설정,단면,,,,,,,,,Y,100,10000,100,직각,,,없음,없음,박(없음),박크기(가로x세로),금유광,,,,명함_92x52_몽블랑240_D_[거래처]_[파일번호]_[주문자]_[수량],,,
14551,프리미엄명함,명함,1,98,,,,,90 x 55 mm,,1,92 x 57,90 x 55,316x467,,,,,,,양면,,,,,,,,,,,,,둥근,,,1개,1개,박(있음),★최소 20x20 / 최대 80x40,은유광,,,,,,,
14551,프리미엄명함,명함,2,99,,,,,86 x 52 mm,,1,88 x 54,86 x 52,316x467,,,,,,,,,,,,,,,,,,,,,,,2개,2개,,,동박,,,,,,,
14551,프리미엄명함,명함,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3개,3개,,,먹유광,,,,,,,
14551,프리미엄명함,명함,4,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,
14551,프리미엄명함,명함,5,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,
14551,프리미엄명함,명함,6,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14551,프리미엄명함,명함,7,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,
14550,코팅명함,,0,107,,14550,003-0002,코팅명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,코팅명함,PDF,디지털인쇄,Y,,아트250,단면,,,,,,무광코팅(단면),,,Y,100,10000,100,직각,,,,,,,,,,,,,,
14550,코팅명함,,1,108,,,,,86 x 52 mm,,1,88 x 54,86 x 52,316x467,,,,,,아트300,양면,,,,,,무광코팅(양면),,,,,,,둥근,,,,,,,,,,,,,,
14550,코팅명함,,2,109,,,,,,,,,,,,,,,,,,,,,,,유광코팅(단면),,,,,,,,,,,,,,,,,,,,,
14550,코팅명함,,3,110,,,,,,,,,,,,,,,,,,,,,,,유광코팅(양면),,,,,,,,,,,,,,,,,,,,,
14549,스탠다드명함,,0,112,,14549,003-0003,스탠다드명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,명함,PDF,디지털인쇄,Y,,백모조220,단면,,,,,,,,,Y,100,10000,100,직각,,,없음,없음,,,,,,,,,,
14549,스탠다드명함,,1,113,,,,,86 x 52 mm,,1,88 x 54,86 x 52,316x467,,,,,,아트250,양면,,,,,,,,,,,,,둥근,,,1개,1개,,,,,,,,,,
14549,스탠다드명함,,2,114,,,,,,,,,,,,,,,,아트300,,,,,,,,,,,,,,,,,2개,2개,,,,,,,,,,
14549,스탠다드명함,,3,115,,,,,,,,,,,,,,,,스노우250,,,,,,,,,,,,,,,,,3개,3개,,,,,,,,,,
14549,스탠다드명함,,4,116,,,,,,,,,,,,,,,,스노우300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14552,펄명함,,0,118,,14552,003-0004,펄명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,명함,PDF,디지털인쇄,Y,,스타드림(다이아)240,단면,,,,,,,,,Y,100,10000,100,직각,,,,,박(없음),박크기(가로x세로),금유광,,,,,,,
14552,펄명함,,1,119,,,,,,,,,,,,,,,,스타드림(실버)240,양면,,,,,,,,,,,,,둥근,,,,,박(있음),★최소 20x20 / 최대 80x40,은유광,,,,,,,
14552,펄명함,,2,120,,,,,,,,,,,,,,,,스타드림(골드)240,,,,,,,,,,,,,,,,,,,,,동박,,,,,,,
14552,펄명함,,3,121,,,,,,,,,,,,,,,,스타드림(로츠쿼츠)240,,,,,,,,,,,,,,,,,,,,,먹유광,,,,,,,
14552,펄명함,,4,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,
14552,펄명함,,5,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,
14552,펄명함,,6,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14552,펄명함,,7,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙클,,,,,,,
14553,모양명함,,0,127,,14553,003-0007,모양명함,90 x 50 mm,,5,100 x 60,90 x 50,316x467,커팅명함,PDF,디지털인쇄,Y,,몽블랑240,단면,,,,,,,한쪽라운딩,,Y,100,10000,100,,,,,,,,,,,,,,,
14553,모양명함,,1,128,,,,,,,,,,,,AI,*아이마크,,,,양면,,,,,,,나뭇잎,,,,,,,,,,,,,,,,,,,,
14553,모양명함,,2,129,,,,,,,,,,,,,,,,,,,,,,,,큰라운딩,,,,,,,,,,,,,,,,,,,,
14553,모양명함,,3,130,,,,,,,,,,,,,,,,,,,,,,,,클래식,,,,,,,,,,,,,,,,,,,,
14553,모양명함,,4,131,,,,,,,,,,,,,,,,,,,,,,,,자유형,,,,,,,,,,,,,,,,,,,,
14554,미니모양명함,,0,133,,14554,003-0008,미니모양명함,50 x 50 mm,,5,60 x 60,50 x 50,316x467,커팅명함,PDF,디지털인쇄,Y,,몽블랑240,단면,,,,,,,사각라운딩,,Y,100,10000,100,,,,,,,,,,,,,,,
14554,미니모양명함,,1,134,,,,,,,,,,,,AI,*아이마크,,,,양면,,,,,,,물방울,,,,,,,,,,,,,,,,,,,,
14554,미니모양명함,,2,135,,,,,,,,,,,,,,,,,,,,,,,,원형,,,,,,,,,,,,,,,,,,,,
14554,미니모양명함,,3,136,,,,,,,,,,,,,,,,,,,,,,,,자유형,,,,,,,,,,,,,,,,,,,,
14555,오리지널박명함,,0,138,,14555,003-0009,오리지널박명함,90 x 50 mm,,,90 x 50,90 x 50,,박명함,AI,박명함,Y,,큐리어스스킨 화이트 270g,,,,,,,,,,Y,200,1000,100,,,,,,박(없음),박크기(80 x 40 mm),금유광,,,,,,,
14555,오리지널박명함,,1,139,,,,,,,,,,,,,,,,큐리어스스킨 블랙 270g,,,,,,,,,,,,,,,,,,,박(있음),,은유광,,,,,,,
14555,오리지널박명함,,2,140,,,,,,,,,,,,,,,,큐리어스스킨 레드 270g,,,,,,,,,,,,,,,,,,,,,먹유광,,,,,,,
14555,오리지널박명함,,3,141,,,,,,,,,,,,,,,,큐리어스스킨 바이올렛 270g,,,,,,,,,,,,,,,,,,,,,청박,,,,,,,
14555,오리지널박명함,,4,142,,,,,,,,,,,,,,,,큐리어스스킨 다크블루 270g,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,
14555,오리지널박명함,,5,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동박,,,,,,,
14555,오리지널박명함,,6,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14555,오리지널박명함,,7,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,트윙글,,,,,,,
14555,오리지널박명함,,8,146,,,,형압명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,형압명함,PDF,디지털인쇄,Y,,*별도설정,단면,,,,,,,,,Y,100,10000,100,직각,,,,,형압(없음),크기(가로x세로),,,,,,,,
14555,오리지널박명함,,9,147,,,,,,,,,,,,,,,,,양면,,,,,,,,,,,,,둥근,,,,,형압(음각),★최소 20x20 / 최대 80x40,,,,,,,,
14555,오리지널박명함,,10,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,형압(양각),,,,,,,,,
22950,투명명함,,0,150,,22950,003-0005,투명명함,90 x 50 mm,,1,92 x 52,90 x 50,315x467,투명명함,PDF(W),디지털인쇄,Y,,투명PET 260g,단면,화이트인쇄(단면),,,,,,,,Y,100,10000,100,직각,,,,,,,,,,,,,,
22950,투명명함,,1,151,,,,,,,,,,,,,,,,반투명PET 260g,,,,,,,,,,,,,,둥근,,,,,,,,,,,,,,
