product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),접지(옵션),제작수량(필수)_건수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_모서리,후가공(옵션)_오시,후가공(옵션)_미싱,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),박(앞면) / 박(뒷면) / 형압 (옵션)_박/형압 가공,박(앞면) / 박(뒷면) / 형압 (옵션)_크기,박(앞면) / 박(뒷면) / 형압 (옵션)_박칼라,추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,가격공식,AO,AP,AQ,AR
22953,화이트인쇄명함,,0,153,,22953,003-0006,화이트인쇄명함,90 x 50 mm,,1,92 x 52,90 x 50,316x467,별색명함,PDF(W/C),디지털인쇄,Y,,큐리어스스킨 블랙 270g,,,클리어인쇄(없음),,,,,,,Y,100,10000,100,직각,,,,,,,,,,,,,,
22953,화이트인쇄명함,,1,154,,,,,,,,,,,,,,,,큐리어스스킨 레드 270g,,화이트인쇄(단면),클리어인쇄(단면),,,,,,,,,,,둥근,,,,,,,,,,,,,,
22953,화이트인쇄명함,,2,155,,,,,,,,,,,,,,,,큐리어스스킨 바이올렛 270g,,화이트인쇄(양면),클리어인쇄(양면),,,,,,,,,,,,,,,,,,,,,,,,,
22953,화이트인쇄명함,,3,156,,,,,,,,,,,,,,,,큐리어스스킨 다크블루 270g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14560,스탠다드 쿠폰/상품권,상품권,0,158,상품권,14560,003-0013,스탠다드 쿠폰/상품권,148 x 68 mm,,2,152 x 72,148 x 68,316x467,상품권,PDF,디지털인쇄,Y,,백색모조지 100g,단면,,,,,,,,,,12,10000,12,,없음,없음,없음,없음,,,,,,,,,,
14560,스탠다드 쿠폰/상품권,상품권,1,159,,,,,148 x 75 mm,,2,152 x 79,148 x 75,316x467,,,,,,아트지 150g,양면,,,,,,,,,,10,10000,10,,1줄,1줄,1개,1개,,,,,,,,,,
14560,스탠다드 쿠폰/상품권,상품권,2,160,,,,,,,,,,,,,,,,스노우지 150g,,,,,,,,,,,,,,,2줄,2줄,2개,2개,,,,,,,,,,
14560,스탠다드 쿠폰/상품권,상품권,3,161,,,,,,,,,,,,,,,,몽블랑 130g,,,,,,,,,,,,,,,3줄,3줄,3개,3개,,,,,,,,,,
14561,프리미엄 쿠폰/상품권,,0,163,,14561,003-0014,프리미엄 쿠폰/상품권,148 x 68 mm,,2,152 x 72,148 x 68,316x467,상품권,PDF,디지털인쇄,Y,,몽블랑190,단면,,,,,,,,,,12,10000,12,,없음,없음,없음,없음,박(없음),박크기(가로x세로),금유광,,,,,,,
14561,프리미엄 쿠폰/상품권,,1,164,,,,,148 x 75 mm,,2,152 x 79,148 x 75,316x467,,,,,,스타드림(다이아)240,양면,,,,,,,,,,10,10000,10,,1줄,1줄,1개,1개,박(있음),★최소 30x30 / 최대 130x58,은유광,,,,,,,
14561,프리미엄 쿠폰/상품권,,2,165,,,,,,,,,,,,,,,,스타드림(실버)240,,,,,,,,,,,,,,,2줄,2줄,2개,2개,,,먹유광,,,,,,,
14561,프리미엄 쿠폰/상품권,,3,166,,,,,,,,,,,,,,,,스타드림(골드)240,,,,,,,,,,,,,,,3줄,3줄,3개,3개,,,청박,,,,,,,
14561,프리미엄 쿠폰/상품권,,4,167,,,,,,,,,,,,,,,,스타드림(로츠쿼츠)240,,,,,,,,,,,,,,,,,,,,,적박,,,,,,,
14561,프리미엄 쿠폰/상품권,,5,168,,,,,,,,,,,,,,,,클래식 크래스트 스티플 270,,,,,,,,,,,,,,,,,,,,,동박,,,,,,,
14561,프리미엄 쿠폰/상품권,,6,169,,,,,,,,,,,,,,,,한지170,,,,,,,,,,,,,,,,,,,,,홀로그램,,,,,,,
14561,프리미엄 쿠폰/상품권,,7,170,,,,,,,,,,,,,,,,켄도250,,,,,,,,,,,,,,,,,,,,,트윙글,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,0,172,배경지,14716,012-0001,인쇄배경지(OPP봉투타입),76 x 100 mm,,2,80x104,76 x 100,316x467,배경지,PDF,디지털인쇄,Y,,스노우250,단면,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 76x100,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,1,173,,,,,,,5,86x110,76 x 100,,,AI,*아이마크,,,,양면,,,,,,,타공형,,,,,,,,,,,,,,OPP접착봉투 80x120 mm 50장,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,2,174,,,,,,,5,86x110,76 x 100,,,,,,,,,,,,,,,핀고정형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,3,175,,,,,,,5,86x110,76 x 100,,,,,,,,,,,,,,,북마크1개입,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,4,176,,,,,,,5,86x110,76 x 100,,,,,,,,,,,,,,,스마트톡형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,5,177,,,,,76 x 120 mm,,2,80 x 124,76 x 120,316x467,배경지,PDF,,Y,,,,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 76x120,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,6,178,,,,,,,5,86 x 130,76 x 120,,,AI,*아이마크,,,,,,,,,,,핀고정형,,,,,,,,,,,,,,OPP접착봉투 80x120 mm 50장,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,7,179,,,,,,,5,86 x 130,76 x 120,,,,,,,,,,,,,,,북마크2개입,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,8,180,,,,,,,5,86 x 130,76 x 120,,,,,,,,,,,,,,,카드고정형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,9,181,,,,,,,5,86 x 130,76 x 120,,,,,,,,,,,,,,,키링형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,10,182,,,,,86 x 120 mm,,2,90 x 124,86 x 120,316x467,배경지,PDF,,Y,,,,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 86x120,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,11,183,,,,,,,5,96 x 130,86 x 120,,,AI,*아이마크,,,,,,,,,,,타공형,,,,,,,,,,,,,,OPP접착봉투 90x120 mm 50장,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,12,184,,,,,,,5,96 x 130,86 x 120,,,,,,,,,,,,,,,핀고정형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,13,185,,,,,,,5,96 x 130,86 x 120,,,,,,,,,,,,,,,카드고정형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,14,186,,,,,94 x 94 mm,,2,98 x 98,94 x 94,316x467,배경지,PDF,,Y,,,,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 94x94,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,15,187,,,,,,,5,104 x 104,94 x 94,,,AI,*아이마크,,,,,,,,,,,타공형,,,,,,,,,,,,,,OPP접착봉투 100x100 mm 50장,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,16,188,,,,,,,5,104 x 104,94 x 94,,,,,,,,,,,,,,,스마트톡형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,17,189,,,,,62 x 180 mm,,2,66 x 184,62 x 180,316x467,배경지,PDF,,Y,,,,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 62x180,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,18,190,,,,,,,5,72 x 190,62 x 180,,,AI,*아이마크,,,,,,,,,,,키링형,,,,,,,,,,,,,,OPP접착봉투 70x200 mm 50장,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,19,191,,,,,,,5,72 x 190,62 x 180,,,,,,,,,,,,,,,폰스트랩형,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,20,192,,,,,,,5,72 x 190,62 x 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,21,193,,,,,105 x 160 mm,,2,115 x 170,105 x 160,316x467,배경지,PDF,,Y,,,,,,,,,,기본형(커팅없음),,,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 105x160,,,,,,
14716,인쇄배경지(OPP봉투타입),배경지,22,194,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : 커팅모양다름,,,,,,,,,,,,,,OPP접착봉투 110x160 mm 50장,,,,,,
14728,인쇄배경지(투명케이스타입),,0,196,,14728,012-0002,인쇄배경지(투명케이스타입),74 x 74 mm,,2,78 x 78,74 x 74,316x467,배경지,PDF,디지털인쇄,Y,,스노우250,단면,,,,,,,,기본형,,20,1000,20,,,,,,,,,투명케이스 ★사이즈선택 : 74x74,,,,,,
14728,인쇄배경지(투명케이스타입),,1,197,,,,,,,2,78 x 152,74 x 148,,,,,Y,,,양면,,,,,,,,상하접지형,,,,,,,,,,,,,PP투명케이스 75x75x15mm 50개,,,,,,
14728,인쇄배경지(투명케이스타입),,2,198,,,,,74 x 109 mm,,2,78 x 113,74 x 109,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,투명케이스 ★사이즈선택 : 74x109,,,,,,
14728,인쇄배경지(투명케이스타입),,3,199,,,,,,,2,78 x 222,74 x 218,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,PP투명케이스 75x110x15mm 50개,,,,,,
14717,인쇄헤더택,,0,201,,14717,012-0003,인쇄헤더택,80 x 80mm,,2,84 x 84,80 x 80,316x467,헤더택,PDF,디지털인쇄,Y,,스노우250,단면,,,,,,,,기본형(접지만),,20,1000,20,,,,,,,,,봉투 ★사이즈선택 : 80x80,,,,,,
14717,인쇄헤더택,,1,202,,,,,110 x 80mm,,2,114 x 84,110 x 80,,,,,,,,,,,,,,,,타공형,,,,,,,,,,,,,OPP비접착봉투 80x120 mm 50장,,,,,,
14717,인쇄헤더택,,2,203,,,,,140 x 80mm,,2,144 x 84,140 x 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,봉투 ★사이즈선택 : 110x80,,,,,,
14717,인쇄헤더택,,3,204,,,,,160 x 80mm,,2,164 x 84,160 x 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP비접착봉투 110x160 mm 50장,,,,,,
14717,인쇄헤더택,,4,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP비접착봉투 110x250 mm 50장,,,,,,
14717,인쇄헤더택,,5,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,봉투 ★사이즈선택 : 140x80,,,,,,
14717,인쇄헤더택,,6,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP비접착봉투 140x180 mm 50장,,,,,,
14717,인쇄헤더택,,7,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,봉투 ★사이즈선택 : 160x80,,,,,,
14717,인쇄헤더택,,8,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP비접착봉투 160x250 mm 50장,,,,,,
14724,라벨/택,,0,211,,14724,012-0010,라벨/택,40 x 80 mm,,5,50 x 90,40 x 80,316x467,라벨택,PDF,디지털인쇄,Y,,몽블랑240,단면,,,,,,,사각,,,20,1000,20,,,,,,,,,,,,,,,
14724,라벨/택,,1,212,,,,,,,,,,,,AI,*아이마크,,,,양면,,,,,,,라운딩,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,2,213,,,,,,,,,,,,,,,,,,,,,,,,삼각,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,3,214,,,,,,,,,,,,,,,,,,,,,,,,팔각,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,4,215,,,,,50 x 50 mm,,5,60 x 60,50 x 50,316x467,라벨택,PDF,,Y,,,,,,,,,,사각,,,20,1000,20,,,,,,,,,,,,,,,
14724,라벨/택,,5,216,,,,,,,,,,,,AI,*아이마크,,,,,,,,,,,원형,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,6,217,,,,,25 x 110 mm,,5,35 x 120,25 x 110,316x467,라벨택,PDF,,Y,,,,,,,,,,사각리본,,,20,1000,20,,,,,,,,,,,,,,,
14724,라벨/택,,7,218,,,,,,,,,,,,AI,*아이마크,,,,,,,,,,,삼각리본,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,8,219,,,,,,,,,,,,,,,,,,,,,,,,리본,,,,,,,,,,,,,,,,,,,,
14724,라벨/택,,9,220,,,,,,,,,,,,,,,,,,,,,,,,★사이즈선택 : 커팅모양다름,,,,,,,,,,,,,,,,,,,,
14556,소량전단지,인쇄홍보물,0,222,인쇄홍보물,14556,003-0010,소량전단지,A5 (148 x 210mm),,2,152 x 214,148 x 210,316x467,전단지,PDF,디지털인쇄,Y,,*별도설정,단면,,,,,,코팅없음,,,,2,100000,1,,,,없음,없음,,,,,,,,,,
14556,소량전단지,인쇄홍보물,1,223,,,,,A4 (210 x 297mm),,3,216 x 303,210 x 297,316x467,,,,Y,,,양면,,,,,,무광코팅(단면),,,,,,,,,,1개,1개,,,,,,,,,,
14556,소량전단지,인쇄홍보물,2,224,,,,,A3 (297 x 420mm),,3,303 x 426,297 x 420,316x467,,,,Y,,,,,,,,,무광코팅(양면),,,,,,,,,,2개,2개,,,,,,,,,,
14556,소량전단지,인쇄홍보물,3,225,,,,,A3+ (300 x 440mm),,3,306 x 446,300 x 440,316x467,,,,Y,,,,,,,,,유광코팅(단면),,,,,,,,,,3개,3개,,,,,,,,,,
14556,소량전단지,인쇄홍보물,4,226,,,,,,,,,,,,,,,,,,,,,,,유광코팅(양면),,,,,,,,,,,,,,,,,,,,,
14556,소량전단지,인쇄홍보물,5,227,,,,,,,,,,,,,,,,,,,,,,,★종이두께선택시 : 180g이상 코팅가능,,,,,,,,,,,,,,,,,,,,,
14558,접지리플렛,,0,229,,14558,003-0011,접지리플렛,A5 (반접지),,2,214 x 152,210 x 148,316x467,리플렛,PDF,디지털인쇄,Y,,*별도설정,양면,,,,,,코팅없음,,반접지,,2,100000,1,,,,없음,없음,,,,,,,,,,
14558,접지리플렛,,1,230,,,,,A4 (반접지),,3,303 x 216,297 x 210,316x467,,,,,,,,,,,,,무광코팅(단면),,"3단접지
★사이즈선택 : A4 / A3",,,,,,,,1개,1개,,,,,,,,,,
14558,접지리플렛,,2,231,,,,,A4 (3단접지),,3,303 x 216,297 x 210,316x467,,,,,,,,,,,,,무광코팅(양면),,"4단병풍접지
★사이즈선택 : A4 / A3",,,,,,,,2개,2개,,,,,,,,,,
14558,접지리플렛,,3,232,,,,,A4 (4단병풍접지),,3,302 x 216,297 x 210,316x467,,,,,,,,,,,,,유광코팅(단면),,"4단대문접지
★사이즈선택 : A3",,,,,,,,3개,3개,,,,,,,,,,
14558,접지리플렛,,4,233,,,,,A3 (반접지),,3,426 x 303,420 x 297,316x467,,,,,,,,,,,,,유광코팅(양면),,,,,,,,,,,,,,,,,,,,,
14558,접지리플렛,,5,234,,,,,A3 (3단접지),,3,425 x 303,419 x 297,316x467,,,,,,,,,,,,,★종이두께선택시 : 180g이상 코팅가능,,,,,,,,,,,,,,,,,,,,,
14558,접지리플렛,,6,235,,,,,A3 (4단병풍접지),,3,426 x 303,420 x 297,316x467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14558,접지리플렛,,7,236,,,,,A3 (4단대문접지),,3,424 x 303,418 x 297,316x467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14559,와이드 접지리플렛,,0,238,,14559,003-0012,와이드 접지리플렛,3절 (3단접지),,3,635 x 303,629 x 297,330x660,리플렛,PDF,디지털인쇄,Y,,아트지 150g,양면,,,,,,코팅없음,,3단접지,,2,100000,1,,,,없음,없음,,,,,,,,,,
14559,와이드 접지리플렛,,1,239,,,,,3절 (4단대문접지),,3,644 x 303,638 x 297,330x660,,,,,,스노우지 250g,,,,,,,무광코팅(단면),,4단대문접지,,,,,,,,1개,1개,,,,,,,,,,
14559,와이드 접지리플렛,,2,240,,,,,3절 (4단병풍접지),,3,646 x 303,640 x 297,330x660,,,,,,몽블랑 130g,,,,,,,무광코팅(양면),,4단병풍접지,,,,,,,,2개,2개,,,,,,,,,,
14559,와이드 접지리플렛,,3,241,,,,,,,,,,,,,,,,몽블랑 190g,,,,,,,유광코팅(단면),,,,,,,,,,3개,3개,,,,,,,,,,
14559,와이드 접지리플렛,,4,242,,,,,,,,,,,,,,,,몽블랑 240g,,,,,,,유광코팅(양면),,,,,,,,,,,,,,,,,,,,,
14559,와이드 접지리플렛,,5,243,,,,,,,,,,,,,,,,,,,,,,,★종이두께선택시 : 180g이상 코팅가능,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,0,244,,22940,003-0015,봉투제작,티켓봉투,,,225 x 193,,,합판봉투,AI,합판인쇄,Y,,모조 120g,,,,,,,,,,,1000,5000,1000,,,,,,,,,,,,,,,
22940,봉투제작,,1,245,,,,,소봉투,,,238 x 262,,,,,,,,레자크체크백색 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,2,246,,,,,자켓봉투,,,262 x 238,,,,,,,,레자크줄무늬백색 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,3,247,,,,,대봉투,,,510 x 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,4,248,,,,,,,,,,,,*파일재작업 후 주문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,5,250,,,003-0016,썬캡,313 x 400 mm,,,313 x 400,,,썬캡,PDF,디지털인쇄,,,아이보리300,단면,,,,,,,,,,10,1000,10,,,,,,,,,,,,,,,
22940,봉투제작,,6,251,,,,,,,,,,,,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22940,봉투제작,,7,258,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
★의 빨간글씨는 옵션선택시 제약조건입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
모든 디지털인쇄 종이는 MES와 통합관리해야함 (별도로 설정해야하며, 입력되어 있더라도 무시)
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
AN열은 무시해주세요
모든 항목은 Figma를 참고해주세요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
