product_key,prd_nm,gubun,variant_idx,excel_row,01 엽서,02 스티커,03 인쇄홍보물,04 포스터,05 사인,06 책자,07 캘린더,08 문구,09 아크릴,10 라이프,11 에코백,12 포장,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
반칼 자유형 스티커,아트프린트포스터,프리미엄엽서,0,3,프리미엄엽서,반칼 자유형 스티커,프리미엄명함,아트프린트포스터,PET배너,중철책자,탁상형캘린더,만년다이어리(레더소프트커버),아크릴키링,틴거울,레더 플랫 파우치,인쇄배경지(OPP봉투타입),,,,,,,,,,,,,,
반칼 자유형 투명스티커,아트페이퍼포스터,코팅엽서,0,4,코팅엽서,반칼 자유형 투명스티커,코팅명함,아트페이퍼포스터,메쉬배너,무선책자,미니탁상형캘린더,만년다이어리(레더하드커버),아크릴마그넷,컴팩트거울,레더 슬림 파우치,인쇄배경지(투명케이스타입),,,,,,,,,,,,,,
반칼 자유형 홀로그램스티커,방수포스터,스탠다드엽서,0,5,스탠다드엽서,반칼 자유형 홀로그램스티커,스탠다드명함,방수포스터,일반현수막,PUR책자,엽서캘린더,만년다이어리(소프트커버),아크릴뱃지,카드거울,레더 삼각 파우치,인쇄헤더택,,,,,,,,,,,,,,
소량 자유형 스티커,접착방수포스터,투명엽서,0,6,투명엽서,소량 자유형 스티커,펄명함,접착방수포스터,메쉬현수막,트윈링책자,,만년다이어리(하드커버),아크릴집게,사각손거울,레더 볼륨 파우치,,,,,,,,,,,,,,,
낱장 자유형 스티커,접착투명포스터,화이트인쇄엽서,0,7,화이트인쇄엽서,낱장 자유형 스티커,투명명함,접착투명포스터,,,▶︎벽걸이캘린더,먼슬리플래너,아크릴스마트톡,블랙사각손거울,레더 스트링 파우치,▶︎봉투/케이스,,,,,,,,,,,,,,
낱장 자유형 투명스티커,,핑크별색엽서,0,8,핑크별색엽서,낱장 자유형 투명스티커,화이트인쇄명함,,▶︎시트커팅/스티커,▶︎하드커버,벽걸이캘린더,,맥세이프 스마트톡,,레더 스트링 원형파우치,OPP접착봉투,,,,,,,,,,,,,,
대형 자유형 스티커,▶︎패브릭포스터,금은별색엽서,0,9,금은별색엽서,대형 자유형 스티커,모양명함,▶︎패브릭포스터,무광시트커팅,하드커버책자,와이드벽걸이캘린더,,아크릴명찰,▶︎라이프,레더 플랫 클러치,OPP비접착봉투,,,,,,,,,,,,,,
대형 자유형 스티커,▶︎패브릭포스터,금은별색엽서,1,10,모양엽서,,미니모양명함,아트패브릭포스터,홀로그램시트커팅,레더하드커버책자,,▶︎노트,골드실버아크릴명찰,머그컵,레더 삼각 클러치,투명케이스,,,,,,,,,,,,,,
▶︎규격 스티커,린넨패브릭포스터,,0,11,,▶︎규격 스티커,오리지널박명함,린넨패브릭포스터,유광아크릴스티커,하드커버링책자,▶︎부자재,스프링노트,아크릴볼펜,아이스머그컵,레더아이패드/노트북파우치,카드봉투,,,,,,,,,,,,,,
반칼 원형 스티커,캔버스패브릭포스터,▶︎접지카드,0,12,▶︎접지카드,반칼 원형 스티커,형압명함,캔버스패브릭포스터,미러아크릴스티커,,→캘린더봉투,스프링수첩,아크릴지비츠,레더코스터,,트레싱지봉투,,,,,,,,,,,,,,
반칼 정사각 스티커,,2단접지카드,0,13,2단접지카드,반칼 정사각 스티커,,,→대형스티커,▶︎포토북,→우드거치대,메모패드,아크릴네임택,코르크코스터,▶︎패브릭파우치,캘린더봉투,,,,,,,,,,,,,,
반칼직사각스티커,▶︎아트프린트,3단접지카드,0,14,3단접지카드,반칼직사각스티커,▶︎전단지/리플랫,▶︎아트프린트,,심플모던포토북,→우드행거,중철노트,아크릴포카키링,우드코스터,캔버스 플랫 파우치,,,,,,,,,,,,,,,
반칼띠지스티커,레더아트프린트,미니접지카드,0,15,미니접지카드,반칼띠지스티커,소량전단지,레더아트프린트,▶︎POP,여행포토북,,떡메모지,아크릴코스터,규조토코스터,캔버스 삼각 파우치,▶︎라벨/포장스티커,,,,,,,,,,,,,,
반칼팬시스티커,타이벡프린트,지그재그엽서,0,16,지그재그엽서,반칼팬시스티커,접지리플렛,타이벡프린트,미니스탠딩보드,큐티키즈포토북,▶︎디자인캘린더,,아크릴머리끈,린넨코스터,캔버스 스트랩 라벨파우치,라벨/택,,,,,,,,,,,,,,
반칼팬시투명스티커,메쉬프린트,,0,17,,반칼팬시투명스티커,와이드접지리플랫,메쉬프린트,미니배너,,탁상형캘린더,▶︎홀더/클립보드,아크릴카라비너,→아크릴코스터,광목 스트링 라벨파우치,→반칼원형스티커,,,,,,,,,,,,,,
합판도무송스티커,,▶︎엽서북,0,18,▶︎엽서북,합판도무송스티커,,,,,엽서캘린더,레더링바인더,,워터북보틀,린넨 스트링 파우치,→반칼띠지스티커,,,,,,,,,,,,,,
합판도무송스티커,,▶︎엽서북,1,19,엽서북,,▶︎쿠폰/상품권,▶︎보드액자,,,벽걸이캘린더,클립보드,▶︎조합형,극세사클리너,,,,,,,,,,,,,,,,
▶︎특수스티커,폼보드,,0,20,,▶︎특수스티커,스탠다드 쿠폰/상품권,폼보드,,,,투명클립보드,아크릴자유형스탠드,극세사타월,▶︎타이벡파우치,▶︎포장부자재,,,,,,,,,,,,,,
타투스티커,포맥스보드,▶︎포토카드,0,21,▶︎포토카드,타투스티커,프리미엄 상품권/쿠폰,포맥스보드,,,,,판아크릴,벨벳쿠션,타이벡 플랫 파우치,자석고정용고무판,,,,,,,,,,,,,,
타투스티커,포맥스보드,▶︎포토카드,1,22,포토카드,,,프레임리스액자,,,,▶︎데스크소품,아크릴포카스탠드,→아크릴마그넷,타이벡 슬림 파우치,,,,,,,,,,,,,,,
▶︎스티커팩,레더아트액자,투명포토카드,0,23,투명포토카드,▶︎스티커팩,▶︎봉투/홀더 외,레더아트액자,,,,만년스탬프,,,타이벡 삼각 파우치,▶︎상품액세서리,,,,,,,,,,,,,,
스티커팩,족자포스터,종이슬로건,0,24,종이슬로건,스티커팩,봉투제작,족자포스터,,,,자석북마크,▶︎코롯토,,타이벡 스트링 파우치,우드거치대,,,,,,,,,,,,,,
